Time,10.0.1,10.0,5.0,5.0.2,5.0.1,2.5,2.5.3,2.5.2,2.5.1,1.25,1.25.1,1.25.3,1.25.2,0.782,0.782.1,0.625.1,0.625,0.625.2,0.313.1,0.313.2,0.313,0.156.3,0.156.1,0.156,0.156.2
3,36.88194,18.7982,21.54444,24.31918,14.87945,31.20286,14.16389,17.01014,9.328767,19.7274,11.12055,14.85972,8.545833,,,10.71127,14.77042,14.46944,29.04521,7.941667,7.717568,33.64627,15.29863,3.974648,4.545205
7,35.68194,23.78869,21.86027,23.51806,14.63333,33.69589,17.78784,15.95942,8.792857,20.1411,10.48472,14.81644,6.655714,3.741667,4.706757,11.96575,14.01528,13.12535,30.64795,7.487324,7.567123,34.20448,14.82432,4.213699,3.712
18,32.12603,37.62713,18.87397,15.05,12.08451,39.91944,17.61351,10.90746,10.32083,16.68611,11.15946,10.86986,7.222535,5.143836,4.316901,12.76438,9.933333,7.842466,31.2375,9.358667,9.344928,32.32609,16.33333,3.881081,4.278378
21,34.35087,41.00978,21.29104,14.66164,13.41408,42.10833,17.71507,12.38857,10.06351,19.44932,13.4375,12.55072,8.059722,6.111268,4.992958,16.73514,10.22568,8.427778,33.66761,11.59189,10.14595,35.23043,18.64932,4.872603,4.820548
24,36.57571,44.05612,23.70811,13.848,14.23836,43.35556,18.49583,15.05882,10.18904,21.4137,14.828,12.8,8.005634,6.110667,5.702778,19.70986,10.24789,9.29863,35.81781,13.57123,10.98873,35.82464,20.59444,5.25,6.829452
26,39.25882,45.96081,26.81972,13.73014,14.95205,44.71571,19.93562,15.275,9.894521,23.36301,16.02714,12.93676,8.16338,8.049296,5.698649,22.65972,9.519444,11.17639,37.79429,15.85342,10.93108,37.85942,20.83056,5.720548,8.838356
29,41.29104,47.44762,29.76575,12.52192,15.81127,45.13803,22.51233,15.48696,9.0125,25.95333,18.04384,13.40286,8.071831,10.59296,5.476056,25.15417,9.930986,12.40714,39.44789,17.43699,10.92297,38.54706,23.45833,5.879167,9.921739
31,44.23562,47.62578,32.28939,12.68108,16.50986,46.38714,25.06197,16.49265,8.818056,27.10714,18.69189,13.7274,7.670833,12.89,6.362857,25.54932,9.863889,14.66111,40.79861,19.03188,11.88514,39.67567,25.5589,6.079452,10.71389
34,46.26027,47.57709,34.7,14.36486,16.95278,47.31644,107.2685,17.99589,9.469444,28.10548,20.49333,13.97353,7.694521,18.10556,7.828378,25.51389,9.609459,16.15139,41.92703,20.08378,12.5274,40.80429,27.05915,6.147945,9.884932
37,47.87313,47.78808,36.55417,16.72432,18.05479,47.94167,29.32714,19.75735,9.583099,30.8,22.56111,15.02899,7.880822,21.82466,8.601389,24.93521,9.940845,18.06528,42.75743,21.03944,11.87361,42.23889,28.45068,6.377027,9.108
39,50.22029,48.28707,38.16622,18.54932,19.91944,48.22143,31.5863,21.83824,9.861972,30.03288,23.66027,15.22941,8.09726,26.88767,9.741667,24.97183,10.62361,19.02162,43.58784,21.96389,12.60278,42.54348,29.74789,6.789041,9.279452
42,53.13382,50.20303,40.08429,23.51389,21.46933,48.80286,31.70833,23.74444,9.736111,30.6411,23.84865,15.31765,8.280556,29.62329,9.604225,23.58472,10.40139,20.36438,44.09861,22.43378,12.47639,43.73768,30.87105,6.7875,8.090541
44,52.04328,51.5643,40.8137,32.06575,23.26301,48.46849,32.30822,25.16269,9.792537,30.21781,25.10548,14.90597,8.360811,31.1125,8.968056,25.14306,11.64933,21.34865,44.0,24.44444,12.27838,44.93188,31.68378,6.580822,7.6875
47,54.94706,53.74616,41.1625,38.72329,25.85,49.56027,30.62639,25.69275,10.19315,30.21096,24.66892,14.62388,8.909589,32.60909,10.67887,25.35417,14.55571,20.87083,45.26389,24.41233,12.0662,43.91176,32.01268,6.405479,6.5375
50,53.57727,54.02344,41.97945,40.87534,27.62222,49.1274,29.45147,25.98088,10.15616,28.89028,24.84795,79.56912,8.519118,45.91014,11.4589,24.42083,18.35616,20.99,46.59595,24.2726,12.45833,43.74348,32.75,6.267568,6.280282
52,54.78143,54.2083,43.38493,42.47123,29.28649,49.94189,28.14444,26.28903,10.74167,28.08611,25.53472,13.84143,8.63662,33.81791,11.64722,25.81096,19.99859,22.24143,46.81781,24.32055,12.62083,43.59855,32.85417,6.073973,5.292754
55,56.45797,54.48558,43.51507,44.01733,29.93425,50.4125,29.32394,26.59718,10.86111,27.16389,26.07714,13.37941,9.088,30.89722,12.00548,26.64085,22.1,97.06164,46.64085,24.64459,12.14861,44.25075,32.55811,5.912329,4.801389
57,55.78971,54.67043,44.07397,45.36986,31.34933,50.63472,29.63472,25.50294,10.98919,26.81622,26.34286,13.20149,9.330986,29.35333,11.40833,26.47973,22.4169,21.81408,46.77727,24.89324,12.46429,44.73971,33.03857,5.529167,4.336232
60,57.18971,54.94771,44.82535,45.66429,32.22055,51.36712,29.45068,25.90294,10.91268,25.73151,26.25915,13.25072,9.533784,29.57826,9.978082,28.05139,24.66479,20.26479,46.9137,24.80139,12.25833,45.22647,32.82838,5.077027,4.250685
63,58.06176,55.22499,44.86027,45.7726,32.93286,51.72192,29.28592,24.98406,10.91127,25.24028,26.43973,13.06667,9.659722,26.92899,9.669444,27.63099,26.81806,19.03733,47.62174,24.95205,11.20274,45.46471,31.9375,5.044444,3.712329
65,58.19412,55.40985,45.6,46.43944,33.71286,52.26986,28.62466,25.2831,11.58767,25.04814,25.75068,14.42714,9.508219,25.75294,9.283562,27.20135,28.48082,19.38219,47.21714,25.74444,11.17808,45.3209,32.51389,4.909333,3.213889
68,59.78529,56.2759,45.65286,46.32603,34.23889,52.68611,29.40411,25.82319,11.73514,24.856,25.74028,14.71765,9.530556,24.09853,8.834286,27.65139,30.01528,19.28356,47.96528,25.3662,10.54028,45.59701,32.91918,4.973611,3.032394
71,59.30147,57.29428,45.72714,46.33246,34.95405,52.61081,29.51972,100.4304,10.8589,24.33836,25.12676,15.43913,9.727778,26.45362,8.914085,27.52055,30.18514,18.06806,48.05342,25.86286,9.704225,44.87246,31.75833,4.364384,2.529167
73,60.5403,57.98554,45.43056,46.33889,34.86389,53.07973,28.18889,99.93676,11.33108,24.13288,24.34167,17.27353,9.263889,22.80746,8.534328,27.65972,27.7507,17.30139,47.01594,25.61268,10.39859,45.0597,31.86944,4.662162,2.546479
76,61.91594,59.2345,45.18767,46.55694,35.14795,53.53056,28.41549,23.14493,11.06,23.47324,25.21389,19.78529,10.14658,15.79718,8.390278,28.22394,28.33194,15.60548,48.05,25.06056,10.01096,44.85661,31.16849,59.55541,2.559722
79,61.39429,60.2796,45.98056,46.56901,35.56389,53.85205,28.48472,23.48841,11.48889,23.97639,24.99315,20.05441,9.5,14.51857,8.404054,28.88667,27.00411,16.55972,48.05,24.81111,10.13472,44.65352,31.77917,4.251351,2.245205
81,63.12059,60.73029,45.74714,47.16027,36.07973,53.94658,26.27361,21.41014,11.36111,23.83611,24.62466,22.12239,9.0375,12.45068,7.787671,29.59589,26.89296,15.6338,47.94225,24.65797,9.769565,45.56027,30.73714,4.015278,2.039189
84,62.31594,61.35189,45.65,47.94583,36.87083,53.81806,24.98904,22.30435,11.17297,23.19315,24.40822,20.73235,9.173239,12.06812,6.842466,28.73611,25.24143,14.58333,48.17808,23.9,10.59041,45.18261,30.49861,4.172222,2.041892
87,63.28261,61.85577,44.90845,48.57973,36.87534,54.17083,24.49028,95.11449,10.83836,22.80563,24.46056,81.72364,9.216438,7.073529,6.894366,30.1625,24.54,15.26389,47.52808,24.87397,10.33288,45.24433,112.1386,4.118056,1.571831
89,62.71471,62.20252,44.87298,48.35,37.17465,54.55342,24.28451,21.5942,10.99041,22.9125,100.2254,27.7791,9.895714,5.178571,7.256338,30.30833,24.10704,15.51644,46.87808,24.23288,10.42778,45.30606,29.66197,4.116667,1.740845
92,62.61493,62.78103,44.8375,49.49861,37.44857,54.64648,24.6125,20.7,10.85694,21.71667,23.59859,25.86618,9.241667,5.215068,7.29589,29.82817,23.28732,16.06944,47.05616,24.1507,10.24521,45.4507,29.9875,4.161111,1.602817
95,63.27246,63.39432,44.17397,50.03662,38.32676,55.03803,24.0662,20.59118,11.21714,20.65,23.45694,21.02647,9.55,4.791781,7.791429,30.26712,95.84444,16.40972,47.38767,100.2931,9.359722,43.75652,29.0507,4.128767,1.549315
