Time,2.4.1,2.4,2.4.2,1.2.3,1.2.2,1.2.1,1.2,0.6,0.6.2,0.6.1,0.6.3,0.3.1,0.3,0.3.2,0.15,0.15.2,0.15.1,0.075.3,0.075.1,0.075.2,0.075,0.038,0.038.1,0.019.3,0.019.2,0.019,0.019.1
0,15.5434,12.62264,,6.934247,5.233784,5.818056,,,,2.132877,6.571233,4.39,7.090541,8.15,7.865217,2.169863,6.210811,4.855405,6.988406,2.343396,4.414286,10.55294,6.321918,49.76111,49.29178,6.355556,6.168493
4,24.64121,30.70278,21.29286,112.3622,12.30833,21.66486,21.41887,,17.77755,90.49589,6.677616,27.93333,14.37907,8.365278,10.00153,5.038889,10.28451,11.75541,12.95147,6.892,12.41216,19.92115,11.24521,28.40556,23.14225,7.339623,11.26301
6,33.73902,18.08533,8.184722,22.36849,6.1375,5.890667,4.745946,14.05147,5.28125,9.654795,6.784,22.11111,7.252055,61.74133,12.13784,3.098611,7.267568,9.175342,9.82029,5.701351,9.090278,18.22027,9.77973,25.11507,21.924,6.369863,6.527397
9,35.2334,14.47067,8.152113,21.72,5.560811,5.017808,4.123288,12.57639,4.042466,8.6,5.856164,20.90405,7.748611,6.086486,11.52162,2.002778,6.789189,9.517808,10.52571,5.948,10.07671,16.76111,8.850667,18.22329,14.1125,6.189189,4.891781
11,36.72778,13.30563,9.026027,20.97887,5.704054,6.70411,8.563014,12.20685,4.273973,8.045205,6.327397,21.15753,8.947945,6.760274,11.05278,1.642466,6.887671,10.5473,12.25811,5.488571,6.558333,15.61622,8.425333,15.24722,5.966197,6.272222,4.532432
14,38.21918,15.33649,12.58169,19.7831,5.405405,6.782192,9.194595,12.2,4.484932,8.143056,63.3875,11.08472,9.805556,8.165333,11.18919,1.677027,7.42027,12.70278,15.53582,5.77027,5.768919,14.5,7.742029,11.45205,3.968056,6.536111,60.02603
17,41.08836,18.65,14.075,19.49324,5.578378,6.060274,12.52432,75.52162,11.47838,10.17027,6.977027,13.72703,11.0831,8.238889,12.99306,1.779452,6.863889,15.83056,15.79403,6.228,6.505405,13.5411,7.585333,9.932877,4.673611,7.193056,5.127397
19,43.95753,28.43699,15.65068,19.6274,6.289041,5.826667,10.65556,14.17838,13.62222,11.42635,8.762162,18.43151,14.93973,8.845205,12.9973,1.777027,8.078873,17.87857,87.87391,6.378082,7.35,13.92222,7.710959,10.90135,4.398611,9.9,5.932877
22,47.82639,38.63108,18.74306,20.52466,7.038889,6.149296,8.484932,18.67808,16.49595,12.68243,16.28767,23.49863,25.55694,12.43425,14.00541,56.87534,11.15972,18.76761,19.88873,5.843243,9.128169,12.77808,7.622535,13.54789,3.863889,10.85775,7.070833
24,51.12055,42.48082,22.31667,22.60556,9.030137,7.139189,6.771622,27.35556,18.52603,15.19467,25.25342,26.4137,28.74608,19.99028,12.43288,5.771233,15.50676,19.33699,17.73108,59.66338,12.50685,12.03288,7.636986,13.23611,5.665753,13.22192,9.189041
