Time,20.0.2,20.0.3,20.0,20.0.1,10.0,10.0.3,10.0.2,10.0.1,5.0.2,5.0.1,5.0,2.5.1,2.5,1.25.1,1.25,0.625.2,0.625.3,0.625.1,0.625,0.313.2,0.313.1,0.313,0.156
0,116.1519,29.16027,25.09189,27.55211,33.45254,30.9137,22.29583,27.41408,18.76866,8.138356,4.972222,16.77432,4.317143,14.38108,10.59452,12.94133,8.948611,8.547297,4.160811,20.16486,74.76081,8.501408,11.03333
3,84.56093,38.67332,39.14525,41.47536,34.60208,32.67977,24.47222,27.15704,15.25522,7.843122,7.436111,48.2604,4.843707,14.71451,9.46726,12.08418,7.047954,8.453254,4.335885,19.48784,12.96486,8.194366,9.528571
14,52.97,48.18636,53.19861,55.39861,35.75161,34.44583,26.64861,26.9,11.74179,7.547887,9.9,79.74648,5.37027,15.04795,8.34,11.22703,5.147297,8.359211,4.510959,13.43571,12.06849,8.167568,9.907937
16,54.03378,53.24507,57.23562,57.888,37.78767,37.66986,31.1527,29.9027,13.47681,9.540278,11.53973,15.65694,4.736111,16.36667,12.42329,13.29863,7.9,11.07429,4.812676,14.12361,14.51918,8.208333,11.79459
19,55.95278,53.8125,59.6625,59.24167,40.27042,40.38082,34.07857,34.42297,12.52361,11.256,13.07917,87.54521,4.795833,16.77606,14.12297,14.61233,11.60571,11.56389,5.064865,15.17733,15.74028,8.684932,14.80405
22,56.94028,58.03714,60.23378,60.01549,42.57432,43.00811,36.59867,37.60822,12.73239,12.75493,14.08219,20.44085,5.40411,18.16806,14.23944,15.76575,15.83824,12.44521,5.738356,16.72571,17.17568,9.531944,16.56712
24,57.25479,60.14028,60.62,59.85972,45.27945,43.68082,38.31667,42.47945,14.05,14.5589,14.13108,100.5554,5.158108,19.47083,15.93973,17.06027,19.36324,13.32297,5.805714,18.55278,17.94167,9.283333,18.65342
27,58.04714,59.34861,60.76486,59.50972,48.93562,45.05068,40.33425,46.46712,14.72329,17.59429,14.03521,27.90278,5.610667,19.68451,16.71408,18.42432,21.45942,13.58904,6.262857,21.60972,19.04348,8.876712,20.68169
29,57.71944,61.04167,60.63649,59.18356,51.80694,46.70822,41.47324,50.0726,15.70147,20.23889,14.34857,31.33143,5.466216,20.68333,19.0411,18.21944,22.40735,13.95946,6.304167,25.6,25.41884,8.83662,21.64189
32,58.76081,62.10135,60.95417,58.00135,54.83611,47.78333,42.32778,50.24722,19.96269,21.90405,14.63333,34.24658,5.567123,20.79306,20.48194,18.16761,21.79429,13.55833,6.73662,30.09014,23.27333,9.641667,23.07162
34,59.57297,61.30676,60.75884,57.95,56.6589,48.38056,43.26486,50.79028,23.82754,23.63944,15.07857,36.79589,5.151429,20.73562,21.16286,18.44789,21.29429,13.61972,7.193151,33.28378,20.59863,10.47778,22.79863
37,59.70139,61.33014,60.56351,57.65556,58.16757,49.19859,44.36944,51.33333,29.72254,25.06986,15.34247,37.59726,5.50411,21.56849,22.20417,18.35479,19.33014,13.04306,7.305479,35.10845,18.45,10.58056,21.53425
40,60.25556,61.99041,60.17746,56.48056,58.90972,50.03562,44.97826,51.41831,33.32059,26.1411,15.61757,38.17222,6.221127,21.64324,22.39595,18.65417,19.17917,12.20274,7.271233,35.66081,20.53944,10.30704,20.84459
42,60.38732,61.85676,59.83151,56.54583,59.10959,50.64306,45.9791,51.1507,39.58971,26.70959,15.68919,39.07778,6.297143,21.59861,21.24384,17.76216,18.35714,12.49178,7.6375,36.46111,21.10278,10.09583,22.11644
45,60.40267,60.97123,59.50563,56.08108,59.625,50.5863,47.84306,50.625,41.38971,26.51127,15.76081,38.4589,6.090541,22.04054,20.99722,17.70972,16.6875,11.8831,7.475676,35.6411,22.47639,10.80694,22.23836
48,60.61781,62.49189,59.54167,55.61806,59.70278,51.98767,53.26286,51.72958,39.65588,26.38889,16.05833,38.83662,6.234247,23.12083,20.91408,17.96027,16.01857,12.34247,7.113889,34.99859,22.73562,11.08873,21.35417
50,61.44167,61.86986,58.64595,55.39722,59.78056,51.68333,53.51212,51.96338,37.48261,26.64324,15.28082,39.00139,5.459459,22.55068,20.52192,17.73521,15.71233,12.55915,7.155556,35.05068,22.42571,12.12267,21.02361
