Time,4.0.1,4.0,4.0.2,4.0.3,2.0,2.0.3,2.0.1,2.0.2,1.0,1.0.1,0.5.1,0.5.2,0.5,0.25.1,0.25,0.125.1,0.125.2,0.125,0.063.1,0.063,0.031,0.031.1
0,20.30946,18.69861,8.034722,5.384,4.045902,6.677333,4.3,4.682432,8.845205,5.19863,,6.332432,6.598649,4.333784,2.865753,4.635135,4.945946,5.545946,9.641096,12.73151,6.304054,2.776389
4,46.43836,35.36757,20.63014,15.6925,24.44038,28.18904,15.4863,13.04079,29.34444,21.54865,26.21867,12.80411,12.27397,14.73243,4.730667,11.66027,7.668493,7.868,15.50685,17.21622,7.725676,7.101351
6,36.77973,23.99459,11.48571,16.60686,18.24459,16.99167,8.50137,3.487324,24.74247,12.99571,21.71831,10.41216,8.078378,9.963514,4.212676,8.714865,6.951389,6.554054,13.27808,15.35753,10.54533,7.569863
9,35.09467,22.96216,12.69041,18.08425,22.25068,15.43973,7.565753,2.794521,24.32794,11.45,23.38219,10.34085,7.14058,9.351351,4.347297,7.75,7.681944,7.113158,13.31918,14.82639,10.10405,7.658904
12,34.02466,20.325,13.2,19.64621,24.46892,14.97162,8.494595,3.086301,26.53699,12.84306,24.69861,12.44521,7.598649,11.53973,4.773611,7.772603,7.961111,7.852857,12.99726,16.49315,71.95541,9.179167
14,35.33067,19.75068,14.57838,20.97891,26.53889,16.66447,10.30145,3.872973,27.85811,13.69863,26.88169,13.69452,8.452703,14.65135,4.686111,8.231507,9.772603,8.183784,12.57222,16.62083,10.99589,9.845205
17,38.34267,21.63194,83.84932,23.72056,28.55068,18.752,10.38971,4.449315,29.85205,85.01389,29.18082,14.92838,10.09459,16.27162,5.108108,9.617568,9.649296,8.543662,12.66667,86.44595,74.44306,12.56111
19,46.63243,29.05753,19.34384,25.8826,30.77123,20.70857,9.186957,7.260274,30.02877,19.87917,31.50278,20.38194,11.5493,18.22838,5.375342,9.178082,10.8875,8.95,13.89861,19.23562,12.90548,14.99452
22,55.08108,37.32,23.72192,29.27803,32.77671,22.31644,10.47794,15.12083,33.00833,23.96081,33.37083,31.9411,14.5137,20.35139,5.778571,10.63662,11.09437,10.28649,14.71081,19.68592,13.57639,16.76533
24,60.13676,45.80137,31.22143,31.78454,35.17945,25.36622,11.03649,23.16471,34.39178,25.44306,34.76806,42.79167,17.87857,22.54167,6.075676,76.88429,13.55479,11.18082,16.27297,21.13108,14.19595,18.48904
27,62.51486,53.89861,38.23108,35.90251,37.24595,29.44533,10.84189,31.13333,36.57671,28.96164,37.02877,47.97671,21.35139,102.5549,6.770833,15.68767,16.70667,13.07361,20.37534,23.46164,81.80139,18.83243
30,63.31944,58.75405,44.91194,39.99801,39.79306,32.62192,13.35211,34.78358,37.22676,32.92676,38.69859,45.1274,23.95616,25.41644,7.032877,19.39437,19.23836,16.85915,25.70845,24.90685,16.39452,18.975
32,63.35556,61.23649,51.58592,42.74438,41.64366,36.32639,14.26892,34.31471,40.38256,33.46438,39.91916,43.53288,27.53425,26.89595,7.80274,23.85616,24.64507,22.55342,32.216,27.75753,17.80946,18.54306
35,64.36351,61.85946,54.42639,44.84643,43.02714,38.56849,18.52973,36.55441,43.53836,34.6726,41.13973,42.97465,30.87945,28.92133,8.330556,29.76338,30.26806,29.27333,37.06533,28.30822,18.20278,18.95
38,64.39041,62.49306,56.30143,46.94847,44.23699,40.18169,23.15395,37.89855,48.16164,36.58056,42.1527,40.27534,33.66667,30.33333,9.0,33.43836,34.75676,35.43521,40.1,30.2973,18.7027,18.44306
40,65.30405,62.21389,57.75441,48.34983,46.84054,41.50833,27.59726,39.27647,51.1726,37.95479,43.65405,38.72286,35.32055,32.32973,10.04932,37.60845,35.75867,38.6726,41.60563,30.50685,18.91667,17.52877
43,65.11096,63.77568,60.28493,50.45188,48.03333,42.47162,30.89589,39.11594,53.92192,38.92162,44.07123,37.28767,37.25882,33.35352,10.74459,38.67917,37.188,41.58082,40.47397,31.90563,19.85616,86.2726
45,64.50822,63.13521,61.54348,51.85324,49.70274,43.57465,34.96957,40.90435,55.11486,40.46027,44.85676,35.69857,38.42297,33.9973,10.87867,39.248,36.81667,41.76351,40.33143,31.99118,20.3,16.84306
48,64.86351,63.46438,61.83824,53.95528,50.50959,44.38784,38.17733,39.81029,57.32877,41.28649,45.2863,113.9163,37.60746,33.81892,11.69041,40.89167,40.81268,38.74028,40.18889,33.25811,20.768,15.10972
51,64.6411,63.08082,64.15493,56.05733,51.28514,46.03514,40.38219,39.78841,58.96164,42.33151,46.87945,32.03235,36.73188,32.79189,11.92917,41.59014,39.77536,34.63194,40.65753,33.35362,20.24085,14.23649
53,64.05405,62.68333,64.23913,57.45869,52.08919,46.82329,42.92029,39.34429,59.28767,41.00959,46.76216,31.12917,35.93182,34.89722,12.21389,41.87973,40.73529,30.55342,40.1863,33.24776,20.78194,12.89865
56,63.60811,63.35205,63.60857,59.56073,52.91757,47.19863,44.21571,40.28391,59.84444,40.12361,46.99583,29.36,35.08194,34.05135,11.08551,41.88919,39.075,24.81757,40.1473,32.9942,20.37123,12.62429
59,63.99306,63.78667,63.91029,61.66278,53.05405,47.42192,46.29733,41.22353,60.30137,40.30135,47.37703,28.34521,34.27206,34.11733,10.3137,41.92603,37.99706,20.67733,40.8863,31.8,19.50282,11.22778
61,63.74306,63.24324,62.94328,63.06414,53.60959,48.20133,48.30685,40.31791,61.06351,38.20833,47.59189,26.84429,32.58,34.475,9.556944,41.48857,36.51714,18.02329,39.59444,31.44521,19.41781,10.17568
64,63.85,63.15278,61.54795,65.16618,54.22466,48.50274,49.25479,40.22429,61.12703,35.89178,47.73472,26.22429,33.86857,33.50548,8.879167,40.82429,36.05147,16.33151,39.15972,30.60143,19.90946,9.376389
66,63.77606,62.71389,62.84658,65.97915,54.17973,49.13889,50.01081,41.34714,62.33014,33.65833,48.06081,24.84714,33.1597,33.16944,8.687838,40.45286,36.43188,15.76081,37.52778,29.73286,18.67123,8.815068
69,63.66986,63.15753,63.44054,67.15667,54.66301,49.06301,50.99861,40.4971,59.76301,31.32568,47.02676,26.93333,30.45735,32.98108,8.011111,39.46438,35.44493,15.89054,37.20811,110.4772,18.232,8.554795
72,63.15811,63.10135,64.89315,68.36857,54.81781,49.84247,52.44459,41.06471,60.31644,28.06667,46.88571,25.65217,29.68261,32.52192,7.556757,38.27162,37.12754,16.16806,37.54861,29.40563,19.09315,7.493243
74,63.54189,63.72055,65.16986,68.88004,55.4,50.12027,51.71351,41.39855,60.91127,28.26197,47.90139,26.83714,29.94429,32.83429,7.047222,38.13194,35.70147,16.42432,38.22933,28.33768,19.44306,8.002703
77,63.76164,63.21233,71.63188,68.96589,56.01096,50.66849,53.30541,42.48971,60.17286,25.95833,47.78514,27.14925,29.49706,31.74667,6.369444,37.71233,34.7209,16.57778,37.46528,27.78261,19.43836,7.554795
80,63.40405,63.5294,74.74286,68.79634,56.05946,50.63151,52.97808,39.95362,61.46667,24.12778,47.75694,27.22388,28.51884,31.34933,5.866197,37.30541,32.73714,17.73919,37.85068,28.43188,18.94306,6.963768
82,64.40946,63.84648,76.72029,68.62788,56.66892,50.51127,53.7027,40.08904,62.34658,23.01111,48.34459,27.975,27.60896,30.57568,5.748611,36.09583,32.37714,18.85,37.23043,27.35441,19.4726,6.992958
85,63.91389,63.49571,78.38281,68.33809,57.39863,51.18889,53.76,39.78571,62.32206,22.69444,48.88472,29.06806,27.28261,30.09296,5.684932,35.29178,32.47826,19.06351,36.75694,26.87397,19.53784,7.083562
88,64.69452,63.53425,,68.13015,57.65946,50.93288,52.88108,40.06324,62.23108,94.79583,48.14028,30.51857,26.55797,29.63973,5.360811,35.21389,30.81912,18.78611,35.06389,26.02174,19.20411,6.845946
90,66.01622,63.1375,,68.18353,58.83425,50.76806,54.05942,40.37808,62.69333,21.36486,47.58767,29.91618,25.71364,29.05,5.229167,33.11806,30.77612,18.64143,35.64861,24.95652,19.09444,7.278082
93,66.5726,62.625,,68.25996,58.52432,51.26712,54.34722,39.74714,62.69306,22.28169,47.51096,30.72388,24.37353,28.14324,5.054795,33.06528,29.66618,18.45405,35.67042,24.48806,19.1973,6.260563
