Time,1.5.2,1.5.1,1.5,0.75.3,0.75.2,0.75.1,0.75,0.375.1,0.375.3,0.375,0.375.2,0.1875.3,0.1875.2,0.1875.1,0.1875,0.0938.3,0.0938,0.0938.2,0.0938.1,0.0469.1,0.0469.2,0.0469.3,0.0469,0.0234.3,0.0234.1,0.0234,0.0234.2,0.0117.1,0.0117.2,0.0117
0,32.55775,21.9,18.25479,30.40822,24.83056,18.14366,14.45,19.73768,12.44493,11.36098,8.6,16.3913,24.24583,22.88933,12.43944,23.12113,19.78082,21.15694,12.34521,41.69265,9.248611,12.83288,13.5,17.43088,4.554098,7.811111,8.168919,9.563889,21.17391,12.05211
3,35.8627,24.81892,33.2105,35.67887,22.49726,19.39718,21.88356,25.64627,20.81233,15.35068,17.21918,22.09722,26.95694,25.14429,18.66164,32.90278,23.73056,20.55479,13.69014,43.41029,8.753425,13.31111,13.12361,13.96667,61.62361,7.0375,7.578082,9.50137,29.30124,11.675
15,39.16765,27.73784,48.1662,41.30139,34.0625,20.08816,29.78169,34.67681,41.29577,33.06047,35.52703,42.15634,33.875,21.20548,20.83151,48.87246,36.2125,11.29571,6.830137,39.11667,12.52857,13.25417,11.37123,15.24054,10.43962,7.357746,6.230556,11.18732,37.42857,13.55616
17,50.92192,28.0589,46.7625,43.67465,40.35405,35.13014,29.69041,42.44203,45.12778,38.77027,39.572,45.10811,39.80676,25.43288,26.85342,49.39733,39.70283,16.41515,9.026027,40.39552,14.96933,17.07324,12.47162,23.29429,15.256,9.507143,6.277333,13.54324,37.40137,16.88507
20,59.66027,43.7,45.70845,45.61507,43.03194,43.48767,30.98873,46.67286,47.02778,41.80137,41.81111,48.12113,44.07027,29.06892,31.73099,51.03699,43.19315,24.88767,10.00137,43.39,20.8411,21.53919,14.79014,115.6979,92.35479,14.80548,7.936232,15.89167,36.5,20.45753
22,62.41096,56.51389,47.67778,47.91507,45.36712,47.32714,33.16575,51.19265,48.92778,43.50548,43.71216,50.53944,48.55753,34.71233,37.30822,50.84928,45.42817,32.54459,18.92917,46.61912,24.68267,26.82676,19.74306,40.19577,23.86486,19.43288,9.535616,19.34384,37.32794,24.55139
25,65.26027,61.83243,53.87606,49.55571,47.37183,48.99315,37.71096,54.30588,49.63514,44.61667,44.85334,53.0,51.20556,39.96164,43.63662,51.59315,47.88333,39.94932,24.5274,50.88088,29.9589,29.72027,25.00417,44.2,26.76438,24.64795,11.02133,22.64861,35.92192,27.67361
28,66.53288,66.00822,59.88933,51.32162,48.24722,49.65857,42.25616,57.36567,50.44384,45.7726,45.99452,55.22059,55.00278,49.6027,46.82055,52.5913,49.46,44.44054,35.57432,55.89857,32.85068,34.73562,29.51667,46.18514,29.82222,110.7913,12.50282,26.04247,36.73056,29.15616
30,68.86667,68.41389,65.47361,52.92917,48.13333,49.9,45.66528,60.13529,51.23662,47.58571,47.12027,57.12239,62.36176,54.00833,50.97778,54.97397,51.07887,46.96027,41.60417,57.41159,37.80141,36.74521,30.425,48.36944,32.33521,31.8411,15.94521,29.26389,35.34722,31.00417
33,70.11111,70.06667,67.99178,55.09167,48.38056,49.65139,49.57123,62.65821,52.89865,49.49189,48.25676,58.25588,62.9791,55.55616,52.32973,55.0875,52.9029,48.87324,43.99792,58.92836,40.73973,38.68904,33.87945,50.21912,35.12639,33.5973,18.9875,33.08857,36.2589,33.10563
35,69.80694,71.85694,70.12603,57.25417,48.77067,50.28514,52.60137,64.32353,54.19583,51.5,49.80548,60.20282,69.18,58.11571,53.87397,58.1125,54.56389,49.87639,46.39167,60.76324,43.10139,40.17534,36.06438,50.91806,37.66301,36.33944,96.44865,36.70556,36.92466,35.1527
38,71.99863,72.30139,70.7,59.68904,49.87973,50.93333,55.26389,64.26957,56.35205,53.54028,51.71355,60.13099,60.80597,59.5589,54.67887,58.8,55.20541,50.792,47.75811,61.69706,44.36712,40.62329,38.47778,52.9,40.02714,38.37067,25.53803,39.496,34.11944,36.73836
41,71.7,72.4411,70.92714,61.77083,51.49722,51.21111,57.02361,63.13043,56.73944,55.17222,53.62162,64.19242,61.13478,61.75856,56.22162,60.3375,54.90411,51.49859,48.53514,61.24493,46.13944,42.67222,41.59863,53.36575,41.81357,40.21622,28.35811,41.91733,33.95946,37.91233
