,8.0,4.0,4.0.1,4.0.2,4.0.3,2.0,2.0.1,2.0.2,1.0,1.0.1,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.125,0.125.1,0.125.2,0.125.3
0,16.09726,6.457143,4.949206,3.929577,10.14054,6.275,2.005479,,4.170833,2.620548,4.416981,5.903125,3.99863,5.265714,2.445902,6.6,4.856164,2.35,8.053425,5.176712,5.615714
4,34.65,25.77547,96.28679,16.33889,24.71781,20.81481,10.332,20.64595,16.41389,9.982432,9.077358,10.1863,7.305634,7.989333,4.404762,5.501389,8.472464,1.89589,8.887523,7.412329,5.565672
6,21.38649,18.34113,12.04706,6.606757,13.71389,13.95616,4.60411,13.22639,11.69178,4.128378,6.20274,7.031944,5.461644,4.936111,3.498611,4.534211,6.8125,1.789056,9.721622,6.121127,5.098592
9,18.11757,10.90678,71.68732,6.043836,14.38514,12.38933,3.197297,10.47333,10.51622,3.7,6.355405,64.83288,5.935211,5.047222,3.636111,3.823288,6.569485,1.682222,9.665333,6.261972,4.449275
12,12.76757,10.46438,41.53414,5.940278,12.09178,11.58356,3.387671,10.69054,11.76533,3.694521,6.7,6.869444,6.376056,4.808333,4.109722,3.418056,6.326471,1.6475,8.945946,5.890541,4.394118
14,11.22432,10.14648,11.38095,6.008042,11.66892,12.06892,4.978082,10.95556,12.73425,3.465753,7.334247,7.186301,8.3,60.11081,4.567123,3.475676,6.124324,1.837183,8.860274,6.060274,4.494521
17,10.98919,11.20137,11.88133,6.075806,76.59583,14.39589,6.105479,12.36849,13.12973,3.586111,7.729167,6.294521,9.004054,4.867568,4.805479,3.130137,6.646667,2.026866,9.236486,6.526665,4.462319
19,11.82097,12.80137,13.46712,5.937838,17.80274,15.70811,7.338356,13.24324,13.71892,3.661333,8.476712,6.825333,9.60274,4.42973,5.00274,3.095946,6.663235,2.129759,9.462162,6.993056,4.734783
22,19.83243,14.62568,18.14028,6.190411,28.1831,20.08611,8.518056,12.64028,15.40811,3.55,9.287671,7.335616,12.23151,5.078082,5.278378,3.045946,6.175362,2.232653,8.306944,7.943243,5.1264710000000004
24,49.78378,20.46757,23.696,7.083099,36.348,23.2625,10.94324,14.4625,16.09315,3.594667,9.195833,7.010959,13.2831,5.477027,5.558904,2.964789,7.110294,3.383077,71.30137,8.694595,5.708696
27,52.25946,27.83239,29.75541,8.513953,41.19054,24.84648,13.34133,18.63425,17.42778,4.305714,10.65068,6.861644,15.72394,5.796,5.634667,3.52973,8.036111,4.390541,10.87568,9.913699,5.169565
30,54.73514,32.29017,36.68846,22.40345,41.70986,26.59178,14.9125,20.932,18.65135,4.56087,11.01351,6.741667,17.65405,5.873611,6.804167,3.822222,8.155556,5.320548,11.87733,11.15915,5.164384
32,53.96438,36.74795,40.23871,31.94028,42.94857,28.80685,86.90137,30.46849,19.26216,4.634722,11.67778,7.2,19.2875,7.373973,7.173611,4.365753,9.740278,6.638889,14.47973,13.52603,5.427027
35,54.56216,39.33425,44.05616,36.35067,44.95493,30.81667,19.444,38.08333,20.06027,4.893151,12.74932,7.561644,20.03521,10.57639,7.842466,4.956164,12.81944,66.50676,17.78356,16.36027,4.882353
38,55.444,41.62297,45.95556,38.40676,47.35616,32.9375,21.01486,43.31389,20.57333,4.536986,13.19589,7.923288,21.028,16.11429,9.665278,8.667123,21.16164,7.963889,20.73333,19.33151,5.914667
