Time,8.0,4.0.1,4.0.3,4.0,4.0.2,2.0.2,2.0,2.0.1,1.0,1.0.1,0.5.1,0.5.2,0.5,0.5.3,0.25.2,0.25,0.25.1,0.125.1,0.125.2,0.125.3,0.125
0,16.09726,4.949206,10.14054,6.457143,3.929577,,6.275,2.005479,4.170833,2.620548,5.903125,3.99863,4.416981,5.265714,4.856164,2.445902,6.6,8.053425,5.176712,5.615714,2.35
4,34.65,96.28679,24.71781,25.77547,16.33889,20.64595,20.81481,10.332,16.41389,9.982432,10.1863,7.305634,9.077358,7.989333,8.472464,4.404762,5.501389,8.887523,7.412329,5.565672,1.89589
6,21.38649,12.04706,13.71389,18.34113,6.606757,13.22639,13.95616,4.60411,11.69178,4.128378,7.031944,5.461644,6.20274,4.936111,6.8125,3.498611,4.534211,9.721622,6.121127,5.098592,1.789056
9,18.11757,71.68732,14.38514,10.90678,6.043836,10.47333,12.38933,3.197297,10.51622,3.7,64.83288,5.935211,6.355405,5.047222,6.569485,3.636111,3.823288,9.665333,6.261972,4.449275,1.682222
12,12.76757,41.53414,12.09178,10.46438,5.940278,10.69054,11.58356,3.387671,11.76533,3.694521,6.869444,6.376056,6.7,4.808333,6.326471,4.109722,3.418056,8.945946,5.890541,4.394118,1.6475
14,11.22432,11.38095,11.66892,10.14648,6.008042,10.95556,12.06892,4.978082,12.73425,3.465753,7.186301,8.3,7.334247,60.11081,6.124324,4.567123,3.475676,8.860274,6.060274,4.494521,1.837183
17,10.98919,11.88133,76.59583,11.20137,6.075806,12.36849,14.39589,6.105479,13.12973,3.586111,6.294521,9.004054,7.729167,4.867568,6.646667,4.805479,3.130137,9.236486,6.526665,4.462319,2.026866
19,11.82097,13.46712,17.80274,12.80137,5.937838,13.24324,15.70811,7.338356,13.71892,3.661333,6.825333,9.60274,8.476712,4.42973,6.663235,5.00274,3.095946,9.462162,6.993056,4.734783,2.129759
22,19.83243,18.14028,28.1831,14.62568,6.190411,12.64028,20.08611,8.518056,15.40811,3.55,7.335616,12.23151,9.287671,5.078082,6.175362,5.278378,3.045946,8.306944,7.943243,5.126471,2.232653
24,49.78378,23.696,36.348,20.46757,7.083099,14.4625,23.2625,10.94324,16.09315,3.594667,7.010959,13.2831,9.195833,5.477027,7.110294,5.558904,2.964789,71.30137,8.694595,5.708696,3.383077
27,52.25946,29.75541,41.19054,27.83239,8.513953,18.63425,24.84648,13.34133,17.42778,4.305714,6.861644,15.72394,10.65068,5.796,8.036111,5.634667,3.52973,10.87568,9.913699,5.169565,4.390541
30,54.73514,36.68846,41.70986,32.29017,22.40345,20.932,26.59178,14.9125,18.65135,4.56087,6.741667,17.65405,11.01351,5.873611,8.155556,6.804167,3.822222,11.87733,11.15915,5.164384,5.320548
32,53.96438,40.23871,42.94857,36.74795,31.94028,30.46849,28.80685,86.90137,19.26216,4.634722,7.2,19.2875,11.67778,7.373973,9.740278,7.173611,4.365753,14.47973,13.52603,5.427027,6.638889
35,54.56216,44.05616,44.95493,39.33425,36.35067,38.08333,30.81667,19.444,20.06027,4.893151,7.561644,20.03521,12.74932,10.57639,12.81944,7.842466,4.956164,17.78356,16.36027,4.882353,66.50676
38,55.444,45.95556,47.35616,41.62297,38.40676,43.31389,32.9375,21.01486,20.57333,4.536986,7.923288,21.028,13.19589,16.11429,21.16164,9.665278,8.667123,20.73333,19.33151,5.914667,7.963889
40,56.90548,48.22958,48.55652,43.9274,40.45753,44.71096,35.71522,22.42222,21.57333,4.608451,9.093243,22.425,15.28493,22.52222,22.48056,12.09067,14.66389,24.97671,94.48889,5.659701,6.157534
43,56.26896,49.85946,49.63243,45.99315,41.55479,44.72466,37.56458,23.52329,21.84306,4.317333,15.67162,23.94722,16.76849,22.94247,27.24225,16.34324,27.26806,30.52361,22.62055,6.698571,6.421622
