,10.0,5.0,5.0.1,5.0.2,2.5,2.5.1,2.5.2,1.25,1.25.1,0.63,0.63.1,0.63.2,0.31,0.31.1,0.31.2,0.31.3,0.16
0,9.65,8.12973,2.964865,18.26316,7.447945,10.17286,9.697297,4.394521,8.539726,18.47838,85.8589,12.58919,3.779452,11.99867,7.264384,13.15915,4.613699
4,27.55694,5.693333,14.97027,34.69167,17.15479,15.96849,14.26471,8.121918,19.23378,32.85775,26.84247,13.72055,6.49726,19.23973,7.860563,14.32778,4.204054
6,20.29722,3.409333,7.130137,31.98919,10.71892,13.49577,11.78873,5.2,17.86806,32.42297,24.09718,11.70822,5.30137,15.53151,7.931507,77.31351,3.832432
9,21.7137,3.480556,6.793333,33.68108,10.22639,11.50274,12.3,4.549315,16.83421,33.56714,23.81644,11.768,5.116438,13.88904,7.246479,12.47027,59.15753
12,24.33378,3.493056,7.244,34.1973,10.47606,12.94028,11.55135,6.284932,17.39315,35.23288,111.1703,13.44595,5.19589,14.27059,7.487671,14.86267,4.747887
14,27.89104,3.767647,8.437838,35.70274,9.072,13.17534,10.54507,9.433333,20.03243,37.19583,33.04324,13.79444,5.12973,14.65857,6.806849,16.15616,6.00137
17,33.66557,3.929545,9.144595,35.97397,9.957746,14.50205,9.795833,11.83514,21.68649,39.81081,34.81111,14.09726,5.804225,13.49697,7.460274,18.06027,7.049315
19,36.74404,3.947692,9.693056,37.97568,10.76944,15.82877,9.778378,14.07945,23.45417,41.53151,31.51667,14.8411,6.210959,13.23919,6.638356,20.15342,8.158904
22,39.8225,4.126027,12.8973,38.67297,9.701389,16.46806,10.41127,17.59041,25.57123,43.07162,32.88082,16.77746,6.186111,13.44658,6.748649,22.31111,9.732877
24,41.69375,5.406944,15.76667,40.51389,9.770423,19.2625,11.25,19.08056,27.88378,44.97222,35.54583,17.13151,6.616216,11.82432,6.517808,22.94932,11.03014
27,42.89324,37.91351,18.69726,42.40959,9.212676,20.73014,24.26757,19.83194,28.80417,46.34865,36.92639,18.72192,7.010959,12.22533,6.114865,24.26056,13.21233
