,10.0,5.0,5.0.1,5.0.2,2.5,2.5.1,2.5.2,1.25,1.25.1,0.63,0.63.1,0.63.2,0.31,0.31.1,0.31.2,0.31.3,0.16
0,9.65,8.12973,2.964865,18.26316,7.447945,10.17286,9.697297,4.394521,8.539726,18.47838,85.8589,12.58919,3.779452,11.99867,7.264384,13.15915,4.613699
4,15.461109139161177,3.2522803947392203,5.291480936428114,31.178573463191874,10.879321194994478,14.261059045803089,13.677134701462144,3.547632805503286,16.870273239552766,30.343584526312885,26.84247,11.92051647451967,5.057661866624136,17.096314318002733,7.901929812891243,8.91430076365269,4.204054
6,18.54935926913667,3.364212683650287,6.005287715968212,32.26250208622808,10.622554511654368,13.909892623927497,12.893500484526374,5.116186109467545,17.74286052750478,32.046226903398086,24.09718,12.29678912387745,5.121809793189969,16.197959748057134,7.706821741508063,10.785818434161614,3.832432
9,21.786949415689392,3.4828717735517305,6.747712947322447,33.32991287739645,10.381786587849307,13.639584754586076,12.099152542787541,6.707166621569808,18.64183833232763,33.79929860742717,23.81644,12.681924785068908,5.214019527846982,15.346503078117873,7.521224335052045,12.639436419307593,59.15753
12,25.155559547223316,3.6054711732492715,7.512599396201913,34.39722039667004,10.1673609688286,13.3793951841015,11.315549981919947,8.314975876545873,19.556108325292982,35.5893516805206,111.1703,13.062908245304731,5.330937105728553,14.494395103232602,7.337373704217204,14.477110330363198,4.747887
14,28.81458085605667,3.729644358550961,8.451296166220136,35.4749546446668,10.095645927827642,13.745537100148535,10.619554869238593,9.955183979858829,20.524387965146694,37.47224545662907,33.04324,13.70370491534146,5.527088845751994,14.030385534336398,7.162733989074759,16.3406879119292,5.0109580000000165
17,32.45646831177407,3.8644406430528537,10.02086437468918,36.57949487038102,10.010519572569072,14.634129832606275,9.782709853460464,11.785860054044372,21.76018544975185,39.38138502684003,27.550799999999953,14.519651797777042,5.755368650459533,13.743551076556015,7.006259880230358,18.182596534606354,6.700693908874788
19,35.8670826286396,3.9892276085061127,11.849921466156303,37.79706652334375,9.94724498353967,15.88968721298384,14.209335447107755,13.91460591102136,23.646275915837457,41.295736879112305,30.803087258698113,15.375375163193377,6.037393182068282,13.343009545133967,6.849315646775515,19.868938854890793,8.162968020814159
22,38.74707821881903,4.02578611658015,13.804311787217467,39.16912191224822,9.93549844336792,17.327112369622224,17.409715316275168,15.837642080340983,25.438832112284782,43.09933421160717,33.10799437487991,16.322253730720174,6.36032824466582,12.978793748518564,6.702696398747606,21.440545418166348,9.687128579626325
24,40.85599750600296,3.9839859999999874,15.967665160017706,40.66986513912704,9.699129613309601,18.663098456440647,20.59368515001883,17.663322772215786,27.129895182370003,44.707251701991275,35.155619297889935,17.336310767221,6.69442450334669,12.903202197762603,6.672201972998337,22.90251543803382,11.205948467481083
27,42.37063537461099,24.827226000000003,18.869856309834734,42.19084908835267,14.840646692915284,19.791919145220778,24.267569999999992,19.444139700398534,28.762062898152973,46.12392027064128,37.13085344139615,18.300359668019862,7.08582194368941,13.053855723655992,6.903052534753429,24.202351267192483,12.496164015967302
30,43.542290047904764,42.649999999999736,21.8939564354245,43.63692739943872,18.67259963438416,20.676279481378963,28.55634500000001,20.941728241029605,30.361699583156504,47.36102223691622,39.163135244115736,19.201512321283015,7.186536063643275,13.44539144057243,7.406427830220929,25.34646390402547,13.708295123093528
32,44.76148005009369,43.926471582409405,24.75827965141584,44.98147496385357,22.51448075,20.894572409216906,32.210329428117156,22.08821553717624,32.19355835170914,48.41170103060246,41.526156441695306,20.07301402771799,7.202582512886952,14.315519160817468,8.220979294959156,26.486433287537004,14.847265065958716
35,46.20238965044202,45.62294152566175,27.532424425226296,46.37808707089665,26.76249999999999,23.089311569379777,35.786796781003716,23.241764430316444,34.434439801669036,49.367236508364186,44.00862259003463,20.87827348710391,7.263041178660671,16.404757821175394,10.058736203196915,27.620239168982728,15.436734603284986
38,47.9041287907293,47.39843074614056,30.136994627375763,47.92156009815821,31.29764980334756,25.116941344685873,40.800294132585464,24.393368977650642,36.933505691585204,50.25668852532555,46.39782807908372,21.697805290896287,7.243041675401221,19.40378233747324,12.678802540651946,28.661916253664764,15.433367029151036
40,49.87108999373954,48.863777066843916,32.47017922929259,49.60578792040895,35.33052154499513,27.0974690811125,40.00443083845147,25.606261362586764,39.60830582349993,51.09619397818028,48.672178858761576,22.473383090378096,7.073932124997054,22.765419626331802,15.377241096798528,29.615000667991154,15.289084936885828
43,52.16859961243863,50.14980627566681,34.66086440229379,51.60223125562006,39.37702086242754,29.150680894165454,39.95327148181164,26.82601833338154,42.25222764231462,51.92718188635356,50.473877043837085,23.17180724655234,6.902883494643898,26.65778728264023,18.211523825572577,30.480702400894007,15.039101959352116
45,54.88922832528763,51.33238789059841,36.7697131490673,53.76953866639514,43.65819448388204,32.3430172107745,40.16595467106236,27.968293239634537,44.54851695805557,52.712028447531004,51.614834640257996,23.88560984710832,6.727473573516738,30.841470794133247,20.789553798209543,31.209338145248793,14.52217337359903
48,57.8843165076551,52.25815007245286,38.819494475050114,55.94906170297703,44.6383525742102,34.841996741393196,40.52264385778156,28.925069491337116,46.53803300442479,53.47013369550854,52.35870591359058,24.600712279379,6.599457748759466,34.314125469615895,21.290470128341088,31.830259658694462,13.71343998049359
51,60.91656520343245,53.08098689436493,40.894371543180284,57.90654274549994,45.40621800145292,36.8384549667144,40.798626274336364,29.72754885901848,48.15203867215413,54.198670349418805,52.82463006948884,25.271888455235217,6.516688853935064,37.207936751915305,20.76998128488289,32.37788010147603,13.083547594558905
53,63.87146863663083,53.978035454310906,43.01014518092033,59.51218192325025,46.21110092166333,38.26071725307348,40.93317272396174,30.39115449439561,49.3110699439448,54.87934718975951,53.13971365891743,25.957014340635826,6.45055285887583,39.24564137024339,20.563959579955775,32.80217780942449,12.601570513966987
56,66.6177309795255,54.893950803601044,44.88084969938217,60.90270396031817,47.0079973771416,39.12605162192885,41.086549934204534,30.889026838330366,50.22228042295586,55.46608988690353,53.3195982531762,26.514906350729028,6.466049964408352,39.54321352574173,19.348350051097132,33.12830326514946,12.138987094716224
