Time,10.0,5.0.2,5.0,5.0.1,2.5,2.5.2,2.5.1,1.25.1,1.25,0.63,0.63.1,0.63.2,0.31.3,0.31.1,0.31.2,0.31,0.16
0,9.65,18.26316,8.12973,2.964865,7.447945,9.697297,10.17286,8.539726,4.394521,18.47838,85.8589,12.58919,13.15915,11.99867,7.264384,3.779452,4.613699
4,27.55694,34.69167,5.693333,14.97027,17.15479,14.26471,15.96849,19.23378,8.121918,32.85775,26.84247,13.72055,14.32778,19.23973,7.860563,6.49726,4.204054
6,20.29722,31.98919,3.409333,7.130137,10.71892,11.78873,13.49577,17.86806,5.2,32.42297,24.09718,11.70822,77.31351,15.53151,7.931507,5.30137,3.832432
9,21.7137,33.68108,3.480556,6.793333,10.22639,12.3,11.50274,16.83421,4.549315,33.56714,23.81644,11.768,12.47027,13.88904,7.246479,5.116438,59.15753
12,24.33378,34.1973,3.493056,7.244,10.47606,11.55135,12.94028,17.39315,6.284932,35.23288,111.1703,13.44595,14.86267,14.27059,7.487671,5.19589,4.747887
14,27.89104,35.70274,3.767647,8.437838,9.072,10.54507,13.17534,20.03243,9.433333,37.19583,33.04324,13.79444,16.15616,14.65857,6.806849,5.12973,6.00137
17,33.66557,35.97397,3.929545,9.144595,9.957746,9.795833,14.50205,21.68649,11.83514,39.81081,34.81111,14.09726,18.06027,13.49697,7.460274,5.804225,7.049315
19,36.74404,37.97568,3.947692,9.693056,10.76944,9.778378,15.82877,23.45417,14.07945,41.53151,31.51667,14.8411,20.15342,13.23919,6.638356,6.210959,8.158904
22,39.8225,38.67297,4.126027,12.8973,9.701389,10.41127,16.46806,25.57123,17.59041,43.07162,32.88082,16.77746,22.31111,13.44658,6.748649,6.186111,9.732877
24,41.69375,40.51389,5.406944,15.76667,9.770423,11.25,19.2625,27.88378,19.08056,44.97222,35.54583,17.13151,22.94932,11.82432,6.517808,6.616216,11.03014
27,42.89324,42.40959,37.91351,18.69726,9.212676,24.26757,20.73014,28.80417,19.83194,46.34865,36.92639,18.72192,24.26056,12.22533,6.114865,7.010959,13.21233
30,43.3863,43.94444,42.39452,21.94247,10.41918,34.73562,21.53768,30.00548,21.16081,47.77778,39.30959,19.19459,25.21486,13.55,6.944595,7.71831,14.85556
32,44.48472,45.2527,45.51389,25.51972,11.4527,39.32877,20.47027,31.77467,21.49178,48.59024,40.76164,19.83699,26.85405,14.07571,7.827397,8.374648,15.1375
35,44.79718,44.89189,45.70676,27.98219,26.7625,41.15139,18.28243,33.46351,23.28611,49.4027,42.44348,20.96438,27.27945,15.09726,9.477778,8.902703,15.63108
38,47.93194,47.52027,47.23514,29.98514,35.43014,41.42267,18.94583,36.24722,24.54521,49.79437,47.15068,22.0473,28.83836,16.21143,10.98219,7.277027,16.33973
40,49.78243,48.89189,49.5125,32.64795,38.86892,38.93889,22.39452,40.09861,25.6875,51.40541,49.58767,22.0589,30.12329,20.10429,13.01972,7.013514,16.48649
43,52.02466,51.96111,50.90282,35.17397,41.95417,38.17162,28.71622,42.63194,26.47534,52.125,51.30278,23.71389,30.36528,26.23243,18.26351,6.938356,15.13243
45,54.29067,53.76027,51.53194,36.59861,43.57183,40.15676,33.48889,45.23611,28.08514,52.67973,52.11711,23.74028,31.48611,32.37465,21.72886,6.713699,14.95135
48,56.0589,55.81667,52.02083,39.05405,45.28451,40.83333,35.62917,47.29459,29.40282,53.49589,52.70145,24.2125,31.83836,37.09595,25.1942,7.213699,13.66986
51,61.45205,58.14722,53.37432,40.38194,45.79167,42.11944,37.85135,47.83514,30.55342,53.15811,52.56806,25.69452,32.42083,39.29861,23.90548,6.225,12.78649
53,64.92,60.38611,53.42838,42.90411,45.80139,41.02661,38.65833,50.04533,30.57534,55.17703,53.3027,25.92958,32.96027,39.99054,95.23151,6.331944,11.19861
56,67.54595,61.99459,54.83611,45.81544,46.22055,39.93378,39.54795,51.39041,30.60417,55.84167,53.59178,26.61233,33.49726,40.58611,19.62222,6.5,10.71549
