,12.0,12.0.1,6.0,6.0.1,6.0.2,3.0,3.0.1,1.5,1.5.1,0.75,0.75.1,0.75.2,0.75.3,0.38,0.38.1,0.38.2,0.38.3,0.19,0.094
0,38.15385,8.939189,5.001613,29.44151,6.951429,23.7549,18.79718,28.98116,7.772603,5.120635,,7.771667,32.70405,5.554054,36.16164,7.164865,31.15211,12.25,9.218919
4,48.27292,32.60667,10.10909,30.82195,15.80135,33.37671,9.110959,20.94,10.26027,7.344186,43.76087,14.59467,32.97714,5.267568,41.02133,1.482192,18.66269,17.38919,5.413333
6,40.02667,14.57568,5.291892,26.36719,11.44459,28.38082,6.617808,16.2,9.671831,5.8375,39.06812,9.231944,35.62754,4.279167,38.15391,1.272222,15.96143,19.1,3.959722
9,37.56892,12.24658,5.019444,24.84722,12.39444,25.22656,5.813699,6.683333,8.858904,4.915278,33.62985,7.406944,26.75362,3.501389,35.28649,1.436486,14.71194,19.20411,15.85942
12,38.06757,12.49863,5.119444,22.34054,12.51507,9.330159,5.426027,2.225676,8.816438,4.606944,29.70441,6.234722,24.11304,3.346667,37.4662,1.580822,12.57206,19.76438,5.765278
14,49.31733,15.63803,5.264722,19.86892,13.37746,8.156164,5.448649,1.693056,8.606667,4.919178,25.95441,5.568493,17.72647,57.29861,32.32133,1.482432,11.40435,21.35541,6.758904
17,55.50411,23.85753,5.41,18.30548,15.43714,7.948649,4.949315,1.694595,67.28767,4.587838,25.68261,5.340541,23.89485,3.204054,36.02703,1.722222,12.82647,22.32254,8.775342
19,59.87123,32.49189,6.558904,10.87917,19.09589,10.11111,7.060563,1.624658,8.209589,4.445833,26.58971,4.954054,30.06324,3.209722,39.31918,1.815068,14.40145,23.1,11.72
22,59.34306,37.042,11.0375,17.87808,22.6,19.73378,14.24507,1.936986,8.567606,5.202703,28.05672,4.383784,36.23162,3.551389,41.29178,2.568,17.57727,24.39452,12.71918
24,58.63409,40.07344,23.81667,43.72297,25.61081,32.41389,34.57639,3.114865,16.22466,4.940845,32.41029,4.80137,42.4,3.560811,43.81216,2.712329,25.02319,25.90822,11.48
27,56.30794,43.8,33.49315,47.35479,28.13378,40.84189,39.19641,42.76338,29.44932,5.636111,37.76957,5.643243,49.77206,3.989189,43.91233,3.194595,34.53478,26.94306,11.86389
30,56.29863,46.0137,38.09722,48.72123,31.65205,44.01615,43.81644,46.75352,35.04658,8.188889,42.67857,11.872,51.83768,4.652055,43.30137,4.40274,37.69855,28.10845,17.58356
32,55.81781,48.075,42.29769,50.08767,35.63333,47.19041,46.10411,49.2375,42.25205,16.21233,52.0863,27.79189,48.67,5.131081,45.46301,5.076712,32.85942,28.90548,16.92895
35,56.16986,49.86429,46.49815,50.96761,38.19459,47.41467,47.97083,48.62361,46.63151,36.19054,52.48551,35.99306,49.44706,7.597183,44.47973,7.830263,33.45735,29.576,16.27433
38,56.15278,49.22432,50.69861,52.34219,41.49589,48.64722,49.19028,48.30972,46.20411,44.97917,54.53881,37.30411,48.05556,14.22857,45.22432,10.5027,32.08529,30.62329,15.61972
40,59.18493,49.95102,53.10667,52.91852,45.31644,48.93611,50.64521,47.99583,47.55278,48.26575,54.64853,38.19,47.43649,20.86438,43.31111,15.34658,30.94143,32.01667,31.16611
43,64.57432,51.68082,54.66351,51.85263,49.2125,48.88472,51.60933,48.03288,48.52647,50.27042,52.66667,38.46351,46.95541,26.53151,40.76667,19.625,30.77059,32.70548,46.7125
45,68.444,55.43425,55.48378,53.99595,54.04583,48.50417,54.52877,47.51216,50.64143,51.32917,51.13056,38.3875,46.77222,30.8338,41.08514,22.35405,29.76232,32.94054,62.25889
48,71.87703,62.73919,56.56944,54.564,57.8527,49.25915,55.88493,47.43581,49.38261,51.28219,53.025,38.14054,46.58082,73.58054,38.12466,23.7,30.20286,33.43562,77.80528
51,73.53803,66.32838,57.23836,54.33288,60.2125,49.55882,57.06351,47.35946,49.19468,50.67361,50.13284,37.80972,46.06216,116.3273,37.30556,22.21081,30.05714,32.99452,93.35167
53,75.2527,69.51351,58.18056,57.22113,62.82568,48.98182,59.51944,46.56133,49.00676,50.49589,48.75,37.36111,46.77568,32.32568,37.95753,22.07183,30.71304,33.76027,17.97571
56,75.8863,71.79452,58.72083,58.84167,63.34595,48.61774,58.71944,46.73607,47.93288,49.60972,49.71176,37.06364,47.10274,29.92639,38.08194,20.77917,29.46471,34.00274,19.37857
59,76.71389,72.95541,59.30694,59.69155,63.4,48.25366,58.8274,46.91081,47.55068,49.03014,50.1791,35.88472,46.46575,27.32027,36.50676,20.44722,28.44928,34.0125,18.60746
61,77.59306,73.35135,60.35,60.74583,65.52639,48.18194,59.28919,46.5863,47.26164,47.77222,51.43714,36.01861,44.98784,26.29444,37.52192,18.83467,27.62361,33.2527,27.00896
64,77.73611,74.80274,61.76216,62.18857,66.94722,48.37361,59.804,45.67162,46.47397,47.07397,49.37941,36.1525,45.3863,24.28267,36.32222,16.128,27.47015,32.78451,26.26532
66,78.37808,76.00563,62.99178,63.72603,71.77534,48.57945,59.69067,46.13243,45.39863,45.87067,47.38529,36.05965,44.23243,24.12162,38.62055,15.15833,28.44348,33.62329,25.52168
69,76.95676,76.97432,64.37945,63.86486,72.15068,48.42432,59.24167,45.38514,44.54865,44.34795,50.12794,35.83014,44.26438,24.12838,37.76757,15.57973,27.86029,33.41644,24.77805
72,78.27123,77.39054,65.63194,64.83784,72.49722,47.90139,59.88904,46.65479,43.7527,44.18767,51.64179,33.96,43.6493,23.0589,38.90141,14.20423,29.89697,33.84595,19.90735
74,78.21918,77.62055,66.34189,64.8,74.52603,47.74932,59.8338,46.1493,42.37808,42.42361,48.62714,34.12778,43.19014,21.59189,38.36986,12.65541,27.90597,33.88472,13.14203
