,12.0,12.0.1,6.0,6.0.1,6.0.2,3.0,3.0.1,1.5,1.5.1,0.75,0.75.1,0.75.3,0.38,0.38.2,0.38.3,0.19,0.094
0,38.15385,8.939189,5.001613,29.44151,6.951429,23.7549,18.79718,28.98116,7.772603,5.120635,43.76087,32.70405,5.554054,7.164865,31.15211,12.25,9.218919
4,41.184409245349954,5.690306474527997,-2.0293685010922475,12.87978735956546,5.858295703763565,40.61659335992471,-2.833509489327127,-2.036347334554794,6.742385562189478,5.184893020146289,26.047878489619386,22.787828401070062,3.970234269695089,0.7383628018745154,12.439822294925763,17.26668963423637,5.124967995559309
6,43.006104727748756,9.757472833114388,1.1674797677022726,16.459828398404866,8.227357998192874,41.18252819531157,1.7572297206411749,2.690064015853756,9.443867181147795,5.167931614661287,26.99358886950431,24.766196608380362,3.913414901392776,1.004139979982479,13.979039621708884,18.298428940208147,6.050786169806373
9,44.77339728849204,13.833565051382367,4.372754946056205,20.02977054016261,10.639639087359736,41.74965250166994,6.335662509690906,7.3930117519752265,12.17409552443433,5.233322807625944,28.044514450875955,26.744248004397203,3.8798149294265922,1.2877879012098288,15.522317488587385,19.335536493738985,6.989018090788802
12,46.49455728133365,17.892181866601717,7.585493357189227,23.580751249823244,13.093708214743188,42.318276699732664,10.895593322586617,12.062494039726829,14.918835768103282,5.403057999023743,29.216172067411208,28.720815658325524,3.870184190634042,1.5907844833537739,17.062237266206782,20.37629513813237,7.944765174150591
14,48.1891009083483,21.90436905975167,10.799143897655266,27.1003237595179,15.5788890603055,42.88882793263019,15.435639612853137,16.694840995441872,17.666965557406613,5.7172859825111475,30.49800855993066,30.693704558491323,3.887131850699631,1.9144421816550838,18.595142337543013,21.41840701104019,8.912093300229339
17,49.88642015604403,25.852523045681878,14.01219199504057,30.592955585234176,18.081475468377807,43.46190959203667,19.962451927027594,21.297616375660866,20.405188378100448,6.25935597480546,31.864343931651618,32.65946685300336,3.936790496706615,2.260357241459245,20.11994731776964,22.460055199951764,9.882663361029923
19,51.625358132661454,29.74384578774674,17.229199781465766,34.092349945872506,20.58855663889699,44.03840048014107,24.50761220839373,25.915532013995392,23.085461879735696,7.2325763054016265,33.28753839643392,34.61319873164013,4.029531830515119,2.631348730199145,21.637761011008514,23.49964089807863,10.84927359807047
22,53.452188941520305,33.65149486363735,20.466442100153646,37.726178629756184,23.091562269708344,44.61962705170373,29.237020322770178,30.807100524399228,25.464946788337322,9.217558787020966,34.722064386742225,36.550434921695015,4.193886128498258,3.0383923239921824,23.15721322840479,24.540167778294443,11.808597104532511
24,54.77617904694229,37.26725360312446,24.188249177337347,41.69669803570388,25.88573190221823,45.2813399283156,34.279480985807396,36.14930180843632,28.14278779300882,14.432146391177636,36.83544549696323,38.21114708285955,5.167552209102475,3.877186184943046,24.463382726987394,25.597967712776093,13.035025451236972
