Time,12.0,12.0.1,6.0.1,6.0.2,6.0,3.0.1,3.0,1.5.1,1.5,0.75.1,0.75.3,0.75,0.75.2,0.38.1,0.38.3,0.38,0.38.2,0.19,0.094
0,38.15385,8.939189,29.44151,6.951429,5.001613,18.79718,23.7549,7.772603,28.98116,,32.70405,5.120635,7.771667,36.16164,31.15211,5.554054,7.164865,12.25,9.218919
4,48.27292,32.60667,30.82195,15.80135,10.10909,9.110959,33.37671,10.26027,20.94,43.76087,32.97714,7.344186,14.59467,41.02133,18.66269,5.267568,1.482192,17.38919,5.413333
6,40.02667,14.57568,26.36719,11.44459,5.291892,6.617808,28.38082,9.671831,16.2,39.06812,35.62754,5.8375,9.231944,38.15391,15.96143,4.279167,1.272222,19.1,3.959722
9,37.56892,12.24658,24.84722,12.39444,5.019444,5.813699,25.22656,8.858904,6.683333,33.62985,26.75362,4.915278,7.406944,35.28649,14.71194,3.501389,1.436486,19.20411,15.85942
12,38.06757,12.49863,22.34054,12.51507,5.119444,5.426027,9.330159,8.816438,2.225676,29.70441,24.11304,4.606944,6.234722,37.4662,12.57206,3.346667,1.580822,19.76438,5.765278
14,49.31733,15.63803,19.86892,13.37746,5.264722,5.448649,8.156164,8.606667,1.693056,25.95441,17.72647,4.919178,5.568493,32.32133,11.40435,57.29861,1.482432,21.35541,6.758904
17,55.50411,23.85753,18.30548,15.43714,5.41,4.949315,7.948649,67.28767,1.694595,25.68261,23.89485,4.587838,5.340541,36.02703,12.82647,3.204054,1.722222,22.32254,8.775342
19,59.87123,32.49189,10.87917,19.09589,6.558904,7.060563,10.11111,8.209589,1.624658,26.58971,30.06324,4.445833,4.954054,39.31918,14.40145,3.209722,1.815068,23.1,11.72
22,59.34306,37.042,17.87808,22.6,11.0375,14.24507,19.73378,8.567606,1.936986,28.05672,36.23162,5.202703,4.383784,41.29178,17.57727,3.551389,2.568,24.39452,12.71918
24,58.63409,40.07344,43.72297,25.61081,23.81667,34.57639,32.41389,16.22466,3.114865,32.41029,42.4,4.940845,4.80137,43.81216,25.02319,3.560811,2.712329,25.90822,11.48
27,56.30794,43.8,47.35479,28.13378,33.49315,39.19641,40.84189,29.44932,42.76338,37.76957,49.77206,5.636111,5.643243,43.91233,34.53478,3.989189,3.194595,26.94306,11.86389
30,56.29863,46.0137,48.72123,31.65205,38.09722,43.81644,44.01615,35.04658,46.75352,42.67857,51.83768,8.188889,11.872,43.30137,37.69855,4.652055,4.40274,28.10845,17.58356
32,55.81781,48.075,50.08767,35.63333,42.29769,46.10411,47.19041,42.25205,49.2375,52.0863,48.67,16.21233,27.79189,45.46301,32.85942,5.131081,5.076712,28.90548,16.92895
35,56.16986,49.86429,50.96761,38.19459,46.49815,47.97083,47.41467,46.63151,48.62361,52.48551,49.44706,36.19054,35.99306,44.47973,33.45735,7.597183,7.830263,29.576,16.27433
38,56.15278,49.22432,52.34219,41.49589,50.69861,49.19028,48.64722,46.20411,48.30972,54.53881,48.05556,44.97917,37.30411,45.22432,32.08529,14.22857,10.5027,30.62329,15.61972
40,59.18493,49.95102,52.91852,45.31644,53.10667,50.64521,48.93611,47.55278,47.99583,54.64853,47.43649,48.26575,38.19,43.31111,30.94143,20.86438,15.34658,32.01667,31.16611
43,64.57432,51.68082,51.85263,49.2125,54.66351,51.60933,48.88472,48.52647,48.03288,52.66667,46.95541,50.27042,38.46351,40.76667,30.77059,26.53151,19.625,32.70548,46.7125
45,68.444,55.43425,53.99595,54.04583,55.48378,54.52877,48.50417,50.64143,47.51216,51.13056,46.77222,51.32917,38.3875,41.08514,29.76232,30.8338,22.35405,32.94054,62.25889
48,71.87703,62.73919,54.564,57.8527,56.56944,55.88493,49.25915,49.38261,47.43581,53.025,46.58082,51.28219,38.14054,38.12466,30.20286,73.58054,23.7,33.43562,77.80528
51,73.53803,66.32838,54.33288,60.2125,57.23836,57.06351,49.55882,49.19468,47.35946,50.13284,46.06216,50.67361,37.80972,37.30556,30.05714,116.3273,22.21081,32.99452,93.35167
53,75.2527,69.51351,57.22113,62.82568,58.18056,59.51944,48.98182,49.00676,46.56133,48.75,46.77568,50.49589,37.36111,37.95753,30.71304,32.32568,22.07183,33.76027,17.97571
56,75.8863,71.79452,58.84167,63.34595,58.72083,58.71944,48.61774,47.93288,46.73607,49.71176,47.10274,49.60972,37.06364,38.08194,29.46471,29.92639,20.77917,34.00274,19.37857
59,76.71389,72.95541,59.69155,63.4,59.30694,58.8274,48.25366,47.55068,46.91081,50.1791,46.46575,49.03014,35.88472,36.50676,28.44928,27.32027,20.44722,34.0125,18.60746
61,77.59306,73.35135,60.74583,65.52639,60.35,59.28919,48.18194,47.26164,46.5863,51.43714,44.98784,47.77222,36.01861,37.52192,27.62361,26.29444,18.83467,33.2527,27.00896
