Time,20.0,20.0.1,20.0.2,10.0.2,10.0,10.0.1,5.0.2,5.0.1,5.0,2.5.1,2.5,2.5.3,2.5.2,1.25.1,1.25,1.25.2,0.63,0.63.1,0.63.2,0.31.1,0.31.2,0.31,0.31.3,0.16.1,0.16
0,14.90548,17.67761,8.862667,10.22877,4.677333,3.545946,5.1,1.933784,4.961111,18.41571,5.722667,5.606757,7.023077,7.906849,5.370667,11.48857,13.4274,11.26164,9.573973,7.34,7.697368,6.415278,2.256,10.10959,9.182192
4,22.28356,21.69444,18.06622,19.88356,11.53889,5.419444,24.11111,5.972222,15.66806,23.07183,26.72603,13.12055,6.869444,11.58889,11.24595,12.45833,29.3375,20.51918,8.290278,19.49595,15.50137,8.954167,5.347222,13.44521,16.54493
6,91.91233,23.72877,16.89286,18.84143,9.418919,4.122973,18.21714,2.194521,6.397297,19.58904,19.85556,8.734247,3.908108,8.134722,9.676712,7.772973,28.70274,18.27887,10.17297,13.98611,81.28649,7.5,4.065278,11.27778,15.51618
9,19.49167,25.62432,14.71918,20.53433,9.419178,4.127027,15.77162,1.976056,5.314286,17.9027,16.53014,68.97206,3.664,7.7,9.074648,5.977027,30.45493,18.37973,8.636486,10.21622,14.55,6.571233,2.947143,10.45405,14.68986
12,21.47083,28.09178,14.87534,96.51714,9.924324,5.312329,17.33425,2.317568,4.99863,19.72838,16.75405,9.028767,4.316438,7.656757,9.126389,5.586301,31.40417,20.63378,8.9,70.67222,15.19306,6.489189,3.367568,9.378667,9.258904
14,23.35333,31.62973,13.70714,26.77536,10.06892,6.408108,17.39452,1.702667,5.727397,18.90548,19.1527,8.54,4.158904,8.071233,9.40137,5.747297,32.45507,21.53333,7.556164,10.268,15.88889,7.080556,3.334722,8.777027,8.093341
17,33.97297,35.41549,13.32466,29.98116,11.27397,7.779167,21.41233,1.710959,6.122535,20.10274,20.84795,9.060811,4.377778,8.168056,10.15811,63.14722,34.46301,22.9527,10.89863,11.77778,17.04376,7.073611,3.593056,7.882192,6.927778
19,47.32,38.51667,13.95,33.03,13.06438,9.946479,22.6137,2.254795,7.208571,19.44595,22.13562,9.253425,4.830556,8.994444,10.20946,6.176712,35.46232,25.21333,9.719118,14.32254,18.19863,7.510959,4.055556,66.2137,6.340845
22,52.20972,42.75507,14.27083,35.95588,14.68611,12.20135,26.82778,1.763514,7.921918,18.93699,22.64722,9.826027,4.750685,10.25278,10.91757,6.009459,36.3274,27.27042,9.770833,16.27123,19.99726,66.23056,4.716438,7.592958,7.517647
24,55.39863,46.84459,18.80423,38.61471,16.99865,15.01233,27.604,55.20694,10.3137,18.44658,23.325,9.594366,4.712329,11.08904,10.92603,6.066667,36.25753,29.248,10.55571,21.60822,23.56901,8.141667,5.490541,7.851389,7.832432
27,56.92429,52.39865,29.54444,41.29559,20.11644,17.74795,31.56622,2.747222,12.49189,19.11111,21.22055,10.02329,4.933784,12.10548,10.96806,5.638028,35.53529,31.42329,17.37536,26.95068,25.56301,8.668919,5.910959,8.477465,8.754167
30,58.49028,52.77681,39.69324,41.98382,23.66571,21.2863,30.8,3.568,13.36575,20.12703,22.1625,11.44648,4.79726,79.06479,11.14189,5.9875,37.15775,33.12055,15.59552,34.71644,28.16986,9.167606,6.834247,7.945946,9.806849
32,60.61351,54.89701,43.45556,43.96838,26.42778,23.34521,33.74028,5.012162,16.26338,21.72361,23.40833,13.30274,4.747945,16.54247,10.94932,5.762162,39.78382,35.4662,19.74714,37.81429,29.776,9.482432,67.08378,9.033803,12.21549
35,62.11081,55.63378,45.47945,45.95294,28.97917,105.8081,35.93108,8.109589,17.79726,26.57083,24.11622,15.56438,60.79028,17.89595,11.164,6.083562,41.48448,36.85135,26.85143,41.02254,33.67568,10.57083,9.884722,9.453425,15.3625
38,63.45479,54.13836,48.15833,46.08507,32.52432,28.63194,38.78611,16.68356,19.69452,34.08194,25.20274,19.01618,6.209459,20.94189,11.75946,5.737838,43.18514,38.04932,31.54093,41.372,35.86351,11.28356,11.20811,11.18824,18.20959
40,63.78986,55.55139,53.38919,46.02985,35.76216,30.5,39.51233,17.78611,21.02676,42.23108,25.43649,22.71892,8.168056,23.39595,11.88108,63.66806,46.19143,39.23014,36.23043,41.29178,38.0411,12.93108,14.14667,12.94595,21.60588
43,65.30548,56.15417,55.25694,48.08592,39.47568,31.81918,40.13333,19.79861,22.79589,42.25278,25.97703,26.32083,12.95342,25.68378,13.71667,6.231507,48.51892,40.212,48.93382,42.05946,38.66389,14.11351,15.34583,13.68889,19.18356
45,66.00548,55.95616,56.44722,47.31159,41.24932,33.61096,40.71408,24.63056,23.29452,41.21781,26.98889,29.67067,17.66944,27.75811,14.43836,6.830137,49.325,40.71127,46.38493,41.5137,39.72329,14.92676,17.56986,15.52297,16.61467
48,67.39459,56.88873,57.91622,47.52394,42.70411,34.72533,41.29484,31.14521,25.46575,42.72703,27.29437,30.79315,27.17973,30.55616,15.18333,7.2,51.0625,41.76849,46.99559,41.99589,39.86944,15.06667,16.46986,18.99178,15.04789
51,68.07011,56.87027,58.7411,48.35821,44.1589,36.38873,41.87559,37.02571,27.78611,42.33365,27.61216,31.37945,34.86267,31.98,17.29459,8.185915,51.73611,41.94861,40.56714,42.00959,39.96761,16.0973,16.11486,22.44722,13.31096
53,68.74562,57.78378,59.47671,48.34058,45.13562,37.86986,42.45634,40.18082,29.23333,41.94028,27.42568,34.29167,34.27671,32.07183,19.76389,10.83973,52.97887,42.25541,49.25217,42.15694,39.95946,15.81449,14.67123,26.75541,13.47222
56,69.42113,58.43662,59.39167,46.26618,46.16301,39.37945,42.61429,41.14167,29.9411,41.52432,28.58493,34.72917,30.54384,31.91389,22.60137,12.38493,52.22055,42.5662,45.34493,41.30133,40.24028,15.90533,14.00986,29.39054,13.37324
59,70.08904,57.87917,60.56933,50.27101,46.58243,41.93836,42.78865,43.12667,32.65541,41.33562,29.16892,35.71644,29.59867,31.33378,27.47568,12.36081,52.75733,42.90139,42.64667,41.0973,40.49178,15.31389,13.12297,30.59178,12.29054
61,71.07945,58.40933,61.06712,49.23768,47.40685,43.92254,42.96301,43.73973,33.98767,40.67973,29.168,34.50959,29.29459,29.51974,35.96479,12.99589,51.57391,42.72676,43.77681,41.05541,40.30811,15.00959,12.94595,30.88857,10.0137
64,71.01156,58.53333,62.2,47.72143,48.03243,44.96849,43.23243,43.96351,35.53889,40.0137,111.0904,35.41,29.97162,28.58056,39.06389,15.22945,53.0875,42.19167,37.83288,41.31644,39.08056,13.52778,12.47945,28.94865,9.822222
66,70.94366,58.60972,62.29459,47.57059,48.79189,45.48904,42.77808,43.60548,34.15507,39.73889,28.98667,35.63099,29.96027,28.78028,37.20548,17.46301,52.23662,42.3726,33.99726,40.32917,39.66,13.65541,11.46301,26.43944,9.712162
69,71.60959,59.28784,62.15541,47.71618,49.4726,45.5,42.06892,43.24795,35.49315,40.12535,28.54533,36.53944,30.85342,27.41233,34.21644,19.50556,51.56081,42.49452,32.40423,40.3411,39.8338,78.00137,10.86667,25.09577,10.00137
