Time,20.0,20.0.1,10.0,5.0.1,5.0.3,5.0,5.0.2,2.5.1,2.5,1.25.1,1.25,0.625,0.625.1,0.313.1,0.313,0.156
0,33.26111,32.19583,32.87432,13.60141,11.22432,11.50278,7.097297,34.13971,106.6694,22.27397,9.56338,13.58841,10.14894,6.401408,6.952113,24.55493
3,35.76206,33.37359,31.62278,23.83999,34.08887,10.14167,5.502121,39.94706,61.5636,23.31087,6.753312,13.00809,7.807801,13.41233,5.422222,24.51268
14,38.26301,34.55135,30.37123,34.07857,56.95342,8.780556,3.906944,45.75441,16.45775,24.34776,3.943243,12.42778,5.466667,12.66646,3.797222,25.56806
16,45.22,34.14267,32.25753,37.09865,2.941667,9.054054,4.158108,51.56176,16.89315,28.36522,4.974324,14.47917,5.191892,11.92059,3.221127,28.73194
19,52.34085,36.29726,34.23286,38.52055,3.132877,9.60274,4.778082,55.15,16.72973,29.58493,6.724286,13.78649,5.761972,12.72029,3.320833,32.38219
22,55.43194,37.61389,37.17222,42.03143,4.882432,9.967567,5.822535,54.69265,19.03973,33.06528,10.15676,15.67123,6.523288,13.58261,4.69,34.87222
24,56.41111,31.1863,39.71127,42.55342,6.012162,10.33239,64.14167,58.47246,22.72162,33.0125,13.2274,18.89178,7.141667,13.57826,5.534722,36.54795
27,56.7375,31.4473,40.73333,42.48028,7.447887,11.04722,7.745714,57.78955,25.51667,35.05556,18.25,20.66944,7.98,14.97,6.294521,36.62286
29,57.09459,31.29863,41.36712,41.66389,9.024286,11.23014,8.471233,58.32609,29.98611,35.85342,21.49545,24.88286,10.11528,15.31594,8.161429,36.50548
32,56.56267,31.66216,41.61781,41.7338,10.31944,73.74795,8.497222,61.14394,33.57917,37.00972,25.39444,27.12432,14.2625,20.12464,11.10278,37.46301
35,56.91944,32.03973,42.19863,41.56111,13.07778,11.82429,9.305556,59.07612,38.07042,36.92254,27.28219,28.72676,20.72222,21.41194,16.17397,36.74028
37,57.28028,116.8773,42.03611,41.48551,80.00405,12.14648,9.804054,67.32059,41.68333,37.27945,28.26479,30.27361,27.08784,22.7087,22.00411,37.78056
40,57.83944,32.48082,42.62817,42.52941,16.60417,13.39571,9.991892,62.81324,44.98592,37.21714,29.15,30.17083,32.33889,21.71471,26.76849,37.11571
42,57.6,32.71389,42.52857,45.78358,16.51127,12.96232,10.54861,61.84706,46.40282,37.83151,108.6313,28.26667,35.46667,23.91029,31.30137,37.85375
45,57.66479,33.4875,42.29444,49.67779,17.89041,13.70137,10.2493,61.02059,52.15072,37.46528,108.65,27.86806,35.9,25.76061,35.01111,38.59178
48,58.14306,32.92877,41.8493,53.57199,18.30811,14.43378,10.84795,60.99552,50.97857,36.48451,28.60541,26.81408,35.4669,26.62464,35.59863,38.41096
50,58.36232,32.95479,42.44658,57.4662,20.02055,15.83571,11.10139,66.14627,49.48824,36.64189,26.96712,26.29028,35.0338,25.67536,31.81831,39.09429
53,59.21806,33.33803,41.10417,45.72647,23.03194,15.54058,11.26027,61.43881,49.35915,36.35479,27.14028,25.37857,33.89589,27.07206,31.30274,38.68472
55,59.47361,32.95541,41.26479,44.74348,26.21268,16.40746,10.68493,63.92029,48.07463,36.39296,103.2986,27.04853,31.95429,27.34265,28.33425,38.05417
58,60.11972,32.37973,41.40822,45.85882,28.62222,16.96176,10.39444,60.25735,48.67313,36.19648,24.49041,26.50556,30.03056,26.42609,107.5849,37.80274
61,60.46757,35.24167,41.72055,45.54559,31.98472,17.7697,10.5,59.98696,47.38382,36.0,24.31216,28.46622,107.9811,26.93881,27.50141,38.00959
63,61.43784,35.92676,41.90282,45.35147,34.01507,18.36176,10.05417,62.18806,46.4,35.61644,24.04167,29.43906,24.10685,27.97059,24.08889,37.81528
66,62.06301,36.41111,41.20563,45.56029,34.38601,19.73433,69.4473,64.6806,45.99565,35.88714,24.23284,28.80429,18.55694,27.52239,22.76667,38.15352
69,62.12222,36.58732,41.35775,47.24571,34.75694,21.76957,8.952703,62.71765,48.02714,35.25,97.62394,30.64459,12.856,28.23944,20.43803,37.5274
71,62.79236,36.6411,40.90845,47.42388,36.46184,21.00441,8.4125,64.86912,48.50896,35.30959,23.61831,32.37222,8.984932,30.72794,21.65571,38.15616
74,63.4625,36.84861,40.79718,51.53043,38.16673,21.78841,8.545833,65.31304,45.05,35.49565,22.4375,33.18472,7.309859,32.24265,18.41857,39.4527
77,63.59167,37.5274,41.75556,51.74853,39.87162,31.57164,8.390278,64.74928,44.20833,35.5,21.58358,34.06712,6.156757,31.96912,19.27059,43.93014
79,63.88806,37.60822,41.30556,52.28971,40.67639,23.42899,7.6,66.63043,42.96164,35.525,21.12361,35.60959,5.377778,34.89552,17.48889,41.35616
82,64.34306,38.32432,40.85,56.74493,41.88108,29.46613,7.735616,64.85652,43.63288,34.49444,20.69028,36.78243,5.345833,37.44265,15.63014,40.46944
85,64.76806,39.55634,42.16528,59.72537,41.76081,29.15977,8.041667,63.88116,41.26892,33.46389,20.72192,37.9,61.33699,38.05294,15.2274,40.42667
87,65.19189,39.97397,41.9411,60.29853,42.11389,28.85341,8.341667,64.57246,40.24085,33.45753,19.95634,38.94861,6.274324,38.66324,15.27746,40.38194
90,65.08286,40.15205,42.15083,71.55882,42.69167,28.54705,8.216438,65.26716,38.77397,32.80822,19.70556,39.99722,63.19189,40.52388,16.05068,40.19167
93,66.08028,41.32329,42.36056,64.58358,43.01528,28.24069,67.0137,66.80196,38.26857,31.77606,19.41944,41.41216,5.838356,41.12192,15.81944,40.10411
95,65.96479,,42.34247,60.62464,43.97639,27.93433,8.072222,68.33676,37.18169,32.28919,19.65,42.8507,5.898611,42.81343,17.55556,40.74167
