Time,20.0.1,20.0,10.0,10.0.1,10.0.2,5.0.3,5.0.2,5.0.1,5.0,2.5.3,2.5.1,2.5,2.5.2,1.25.2,1.25.1,1.25.3,1.25,0.625.2,0.625,0.625.1,0.625.3,0.313.2,0.313.3,0.313.1,0.313,0.156.1,0.156
3,29.20725,20.15456,21.49014,21.76825,11.7375,29.4913,11.93194,2.254167,5.861111,25.23611,13.14865,4.277465,12.39861,14.13836,19.25753,15.55909,14.49726,15.36164,96.14923,18.71286,8.805556,26.11486,24.9209,12.91622,13.85775,18.67733,5.283562
5,28.39859,23.22714,22.02429,18.95694,10.76761,27.76176,11.00563,0.341667,3.986301,24.50137,11.54143,3.679167,9.898529,11.97808,18.84444,14.65556,13.29726,14.84697,19.80345,18.14028,7.497183,22.15833,23.64,12.28356,12.21111,17.22131,4.957274
7,26.20986,21.91152,20.51012,13.65831,8.492022,23.77803,10.7331,-0.075,4.46954,59.65902,10.03786,22.4683,9.222913,10.77215,17.89264,15.30175,9.65363,13.53251,13.76622,14.82917,6.703258,18.86458,18.09286,11.70914,9.525,15.76528,4.630986
18,24.02113,20.5959,18.99595,8.359677,6.216438,19.79429,10.46056,-0.49167,4.952778,94.81667,8.534286,41.25744,8.547297,9.566216,16.94085,15.94795,6.01,12.21806,7.728986,11.51806,5.909333,15.57083,12.54571,11.13472,6.838889,16.73151,2.515714
20,23.68333,19.28028,20.59589,6.542667,7.162162,21.74478,11.10694,-0.3875,4.819178,23.77361,9.026027,60.04658,9.004054,10.164,19.6411,17.66622,5.912,18.54054,8.385714,11.59861,6.858904,15.35,14.16571,13.128,6.694521,21.62162,2.549296
23,34.37313,20.97973,22.35278,6.521918,7.774324,21.25507,78.90845,-0.17397,4.834247,27.66986,69.04507,5.667606,9.709589,12.46164,22.1194,14.94857,5.984932,20.81507,8.390323,11.07324,7.09726,16.95972,14.56029,14.11831,6.876712,103.2616,3.069444
25,43.68696,21.9863,23.08082,7.066667,9.005634,22.19394,16.52222,-0.00986,5.229167,29.01806,10.17536,6.02973,9.7,15.44306,97.51831,16.26806,6.106944,24.82329,8.576056,12.933,7.143836,17.37083,14.4,14.48243,7.260563,28.78194,2.818056
28,49.06812,99.77639,24.18056,7.843243,9.879167,23.05147,17.60946,1.753425,4.691781,31.40417,11.61944,6.125352,10.36761,31.29,22.67246,18.3375,6.309589,27.08082,10.11918,14.79275,7.295833,18.40541,15.07143,15.40139,7.366216,111.7662,3.55
30,55.22101,24.56622,25.2863,11.01622,10.2527,23.79855,17.76164,2.145205,5.18169,113.4833,12.73714,6.989041,11.44167,31.64842,23.08657,20.17297,6.852,26.22192,11.91096,16.28194,66.15135,19.06216,17.25882,15.84932,8.189041,30.59333,4.663889
33,61.37391,25.76089,25.952,15.40833,11.44795,25.00735,18.77083,3.590411,5.29589,33.58056,13.59178,6.943243,11.9493,32.00685,24.03151,23.22639,8.151429,28.62817,14.13472,16.95,8.324324,21.64865,19.00882,17.85694,11.85429,30.77,7.123611
36,59.98027,26.95556,107.1634,23.825,12.7625,25.42609,18.55417,5.087671,5.480282,34.19459,14.50833,7.023288,11.39452,31.81216,23.94028,25.54861,9.622973,29.90833,18.81333,18.85522,8.663514,108.5242,23.28235,18.06338,13.34658,114.7382,7.638889
38,58.58663,28.78767,26.99167,36.94795,12.83056,27.00441,19.08767,8.035211,5.59589,34.2625,15.06027,7.038028,11.75833,29.30822,24.28472,25.65556,12.68767,30.64384,27.025,20.9029,8.624658,76.12254,25.81765,19.76528,15.44795,31.3863,10.18636
41,57.19299,30.45,27.38,42.71467,13.23649,28.35672,19.68333,9.449315,7.408219,36.45616,15.75405,7.334722,11.71781,30.23194,25.38824,26.49726,17.21806,33.10141,36.96622,24.10896,8.941096,43.72083,30.53971,19.69722,16.73288,31.78767,12.73382
43,55.79935,30.86301,28.35714,43.56,13.52639,29.58154,20.99583,11.46389,6.958824,36.6411,16.82973,7.701389,11.18571,30.98194,25.36056,26.88904,21.43014,32.98333,43.3625,23.66812,8.689041,46.31081,34.20145,22.99706,20.3027,31.40405,12.6
46,54.40571,31.58611,29.88611,42.21268,13.68451,29.41324,20.20933,12.84595,7.986364,37.49041,16.61233,7.736986,11.45915,30.25479,26.37397,27.625,25.56667,35.83699,45.00282,25.95278,9.628571,44.36528,43.82253,23.10597,20.85972,31.47361,9.638356
49,53.45072,117.2968,30.62083,42.15753,13.35714,29.32174,19.87027,12.69583,7.320896,38.1338,18.59178,7.947222,10.37162,31.19315,26.90139,27.58194,29.56216,39.175,45.01216,27.672,9.682192,40.89865,53.44362,22.95797,21.38514,30.82571,89.76618
51,54.00746,33.0125,31.69726,42.61233,13.54324,30.28056,19.41549,11.57571,8.171642,38.5803,21.18889,8.6375,10.73973,31.09545,26.62687,25.68169,31.37397,40.87647,45.51507,30.14459,9.919178,41.00137,63.06471,24.25,22.51944,30.39726,16.68806
54,55.73529,33.55135,32.68889,42.57534,13.75479,28.88507,19.69315,11.7942,8.150746,38.42877,20.80139,9.535211,11.3,30.17391,24.88667,27.14247,32.96338,40.06912,46.11081,31.35714,9.691892,37.98194,52.65429,24.67761,22.96301,30.28472,17.12836
57,55.51229,33.81507,34.50141,41.81918,13.29315,26.71471,18.72778,11.94521,10.34118,38.72525,21.42162,69.66528,10.53134,34.33913,25.81429,27.84118,34.55278,39.38551,45.61757,33.52083,9.486111,35.78529,44.78333,23.2971,20.98108,30.31781,22.30455
59,55.28929,34.17361,34.56479,41.71233,12.83056,25.80896,18.07857,11.74189,7.746269,39.02174,21.32083,10.56667,9.95,106.7538,25.73088,27.76164,35.39265,39.95417,44.4589,35.1375,10.44571,32.96471,40.72174,23.94627,19.58056,30.17027,15.06213
62,55.06629,34.57722,36.3027,41.13785,13.05342,24.78209,18.33425,73.72055,8.660294,39.89863,21.58056,71.21351,9.184507,27.3274,26.17467,27.03333,35.79452,42.49855,45.98472,36.08356,10.32329,28.55797,41.13768,23.56522,18.77671,114.3101,7.819718
64,54.84328,34.98082,36.15753,40.56337,12.49028,24.88676,19.13378,11.67534,8.837313,41.53333,21.66429,10.01081,9.088889,29.31471,26.75068,27.51806,35.14379,42.37286,46.17898,36.46622,10.68194,26.43472,39.12174,23.68406,18.24286,30.58,10.60811
67,45.21014,35.22917,36.25135,39.98889,12.39014,99.81159,19.7507,11.208,9.552239,40.92879,22.26216,9.561972,8.183562,27.83056,26.54444,27.69429,34.49306,42.44861,46.37324,35.43899,10.13239,26.35075,37.08261,25.06269,17.15205,30.6,14.4526
70,41.69853,35.98873,37.32817,39.16479,11.76528,96.10147,19.55556,11.02571,9.355882,39.975,21.30278,9.223611,8.333803,26.375,25.59155,28.49028,33.40278,42.2274,45.50556,34.41176,10.41644,26.52877,37.64118,26.65441,15.97361,30.39863,18.2971
