Time,8.0,8.0.3,8.0.2,8.0.1,4.0,4.0.2,4.0.1,2.0.1,2.0.3,2.0.2,2.0,1.0,1.0.2,1.0.1,1.0.3,0.5.3,0.5,0.5.2,0.5.1,0.25.3,0.25.1,0.25.2,0.25,0.125.3,0.125.2,0.125.1,0.125,0.062.2,0.062,0.062.1
0,14.72,,7.166667,18.11528,15.51892,9.774324,2.750667,5.665753,4.638667,1.409333,2.779452,5.709756,4.38,2.545161,2.640351,6.663793,8.991045,4.013514,6.748,17.04,20.37671,57.31486,4.635616,13.708,9.924658,8.175676,1.445283,42.96296,8.213115,7.832877
4,35.06486,32.4027,30.69355,25.06849,21.19597,23.75616,19.20411,15.96712,14.69167,5.637838,6.4,12.55488,18.11733,13.65094,7.883607,16.8,16.51581,9.828,12.03733,33.82162,18.74167,75.525,12.8,26.04085,22.45915,15.99324,1.975142,27.33077,11.91408,10.14189
6,28.93472,22.87917,28.41645,17.95753,23.73394,76.60267,7.852778,8.806944,8.005333,55.51111,3.037681,19.4,12.17568,9.618571,4.142466,14.39054,24.04058,6.864384,8.82,33.30685,15.57432,9.210811,9.997297,25.32603,21.0,14.39722,2.505,24.19067,10.28,9.077778
9,28.51507,22.5,26.13934,15.59054,27.50098,16.13562,4.294595,8.767123,7.285135,55.1125,2.378261,20.29884,11.4527,9.817143,4.101333,14.18767,103.009,7.460811,8.601389,31.24143,16.26111,8.863889,9.152778,26.00822,21.08873,14.06986,2.855405,94.35,9.650667,8.290278
11,27.65634,23.4625,23.86224,14.77333,30.00557,17.76712,5.986486,9.725,7.316216,2.231507,2.3,21.19767,12.04247,10.76479,4.086486,16.30946,26.39853,8.958571,9.322973,31.8589,16.47432,11.33425,8.327778,26.49296,21.8973,14.63733,3.206757,19.40137,9.440541,8.448611
14,27.28429,22.70139,21.58514,13.97297,33.64502,15.87917,4.47973,11.19444,14.77671,55.17639,2.379412,23.13415,13.32083,12.16986,4.255556,21.15775,27.99565,71.8973,10.10548,31.7863,17.32029,14.50685,7.343836,26.4863,22.94167,15.79178,3.535616,22.73662,9.126761,10.31757
17,26.94366,24.02113,22.63243,15.58243,36.31862,13.57826,4.141667,12.93056,7.664384,2.277465,2.673611,23.70476,14.692,12.58219,4.145205,22.58472,31.41304,12.22,13.19028,29.06757,18.28592,18.13425,6.60411,27.48378,25.27808,16.70274,3.934247,22.27432,10.44028,10.63151
19,27.50541,25.64932,24.16081,18.06849,37.70041,13.40685,4.38,15.49863,7.377778,2.432432,2.470833,25.10972,16.27568,14.11449,4.213514,23.73194,35.44795,14.09296,12.07945,30.98082,19.02958,21.16389,5.986301,26.56486,102.7699,17.70429,4.661111,24.59865,10.37083,12.02267
22,35.02432,27.57945,26.15833,16.61486,39.25486,15.90135,4.877778,86.61507,7.434247,2.19863,2.753125,27.40541,17.71389,15.91127,3.941096,23.73108,41.66522,15.92676,13.24306,31.18082,19.28493,23.44932,4.969014,27.23889,26.34167,18.32286,5.047297,27.19178,12.12361,14.25342
24,41.48108,29.90676,28.6125,21.45205,40.04109,91.71143,5.879452,19.55278,7.375676,2.693151,2.818462,29.55,19.05278,17.21096,4.584722,26.24865,45.51176,17.43944,12.98378,31.38082,21.37778,24.51781,5.208333,27.58649,28.73562,19.36757,5.323288,29.59459,16.26479,16.50972
27,48.875,31.46901,31.61111,26.02133,40.64774,21.19452,6.816216,21.33784,8.221918,2.716667,2.921053,31.7863,21.81528,19.82083,4.463514,28.44459,45.9,18.34583,12.92297,33.49855,21.21111,27.03243,4.85,110.5183,30.5625,20.45775,6.131507,31.67361,19.71944,20.19863
30,51.825,34.76111,34.53014,27.35,41.3796,24.41549,8.156944,23.73472,8.372603,2.975676,2.575862,34.40811,23.72083,21.86301,4.991667,30.13973,45.51618,19.59589,14.77465,35.01831,21.44595,26.52162,5.540278,30.02222,31.25417,22.55972,6.787838,31.06667,23.4875,26.50423
32,52.88889,38.28493,38.23611,29.54085,42.18897,26.48056,11.02703,26.26389,9.002703,56.62329,2.947297,35.74648,24.99315,101.0813,5.467606,71.94933,45.08143,20.98732,16.2875,37.42027,22.17083,27.43699,5.255405,31.75479,32.59589,23.05811,7.467123,31.65205,27.72838,27.79028
35,55.07973,42.80411,41.875,31.51111,43.8938,29.8875,12.58767,29.01389,10.72603,3.743056,2.885915,37.52055,26.61918,25.70141,5.852703,113.7589,42.41884,21.54459,17.90667,40.77123,22.50286,27.62027,6.697297,32.79315,33.54306,100.7681,7.726027,31.41081,113.9,29.20959
37,55.272,47.89859,46.89178,32.01233,45.03565,32.31216,16.30959,30.88667,14.88873,3.208333,3.367606,39.03467,28.59178,26.73662,7.592857,32.63676,40.6,22.29444,19.70563,46.75205,23.74306,27.32933,9.260563,35.11806,33.73529,24.88169,8.234722,30.16081,33.1,29.15
