Time,200.0,200.0.2,200.0.1,100.0,50.0,50.0.1,50.0.3,50.0.2,25.0,25.0.1,12.5,12.5.1,6.25.2,6.25,6.25.3,6.25.1,3.125.2,3.125.1,3.125,1.5625,1.5625.1,0.78125.2,0.78125.3,0.78125,0.78125.1,0.390625,0.390625.1,0.195313.1,0.195313,0.0,0.0.1
0,44.49091,53.39146,46.33176,46.84828,43.50595,37.15517,39.52471,42.26625,,37.91163,44.92283,37.38295,31.21705,42.67727,30.48068,35.4931,36.07471,,40.55568,20.90353,10.51429,35.98276,27.82299,40.64458,39.12588,44.17529,22.35542,36.36071,45.33529,44.23636,
2,47.26932,55.91294,44.1573,37.6593,40.80899,37.375,47.13678,45.92414,,43.45977,42.11954,33.09059,38.91928,39.82118,36.36591,32.72824,40.97955,32.1814,41.25114,29.62941,14.22,35.19535,25.39756,38.64535,36.58256,42.91294,18.80449,32.53529,43.98046,42.2625,37.81882
3,41.96706,60.07273,45.09765,38.0977,42.57882,38.27529,48.12674,46.51591,,45.05862,42.72841,31.64432,39.99659,41.62841,37.19847,33.14444,42.24271,33.28423,41.3407,32.02096,19.01,34.78972,25.54006,38.2931,37.38765,45.33708,19.24106,32.47049,43.96235,44.00341,8.925321
4,41.90249,60.33513,45.31871,39.34179,44.45589,39.52253,48.20883,46.85508,,45.67038,43.31823,31.84774,40.71415,42.74926,38.03103,32.10574,43.50588,34.38706,41.80107,34.4125,23.8,34.38409,25.68256,39.20992,37.66854,44.85408,19.67763,32.40568,45.25118,44.88194,-19.9682
5,41.83793,60.59753,45.53977,40.58588,46.33295,40.76977,48.29091,47.19425,37.03333,46.28214,43.90805,32.05116,41.43171,43.87011,39.35909,31.06705,45.27727,35.86552,42.26145,36.02273,35.86552,36.4869,26.59882,40.12674,37.94943,44.37108,21.75455,27.25976,46.54,45.76047,-6.15287
7,42.86782,60.47294,46.46098,42.79438,48.42771,42.52841,48.28837,48.2369,42.38046,37.52045,45.1443,42.38046,42.36437,45.21477,39.32759,33.46471,41.39186,38.03103,44.07191,37.9931,45.1443,39.67955,31.07471,40.85402,38.83448,22.81932,36.18941,35.42381,47.95176,28.555,7.132941
9,64.11176,43.88308,39.85402,71.38736,51.34713,48.74545,48.17045,45.12564,53.29634,46.05632,44.47841,37.33523,43.31477,58.96818,39.57701,40.84253,46.81477,38.10795,44.33216,36.89647,28.47045,41.42588,35.16705,36.41277,47.49304,51.62864,26.96,40.43765,40.87356,53.49514,-22.7839
12,45.84235,60.41932,46.39432,47.59765,53.34186,48.16477,44.73523,49.10706,43.90805,49.13253,45.04659,29.7939,43.25455,43.57558,37.77727,33.85057,46.36292,38.70341,41.87848,37.71818,20.98118,43.40909,38.42048,42.21529,38.32907,46.92093,28.1977,43.12184,49.91023,46.54941,28.14023
14,56.1764,61.06163,46.09405,63.9053,51.54882,49.26736,45.4023,48.74074,49.07898,48.34138,44.55341,34.24907,42.56585,49.72538,38.0686,36.01433,44.85227,37.54713,43.50773,36.3,22.24483,43.83614,37.3023,37.65511,37.40742,48.3506,27.92184,41.56404,45.54603,49.68249,34.84091
15,47.28916,59.69425,45.71705,51.85265,53.05114,48.34382,45.44483,37.76628,44.28409,47.61279,44.30682,27.87108,42.91412,45.79962,38.74205,31.15114,45.3125,30.88409,41.53023,53.20523,21.25977,45.80588,39.76988,41.07273,37.42299,44.1881,29.10795,44.3378,49.125,45.8593,37.4407
16,45.13294,45.53864,31.0125,39.8,42.15679,44.34024,34.29036,41.74109,43.88837,47.985,47.93977,27.43438,39.20941,41.87386,39.3625,43.52069,45.98315,40.41023,40.50163,70.11047,38.925,46.42159,45.19885,43.40595,41.50568,41.84659,29.55165,42.82619,48.7171,39.76207,44.26437
17,47.88,60.43034,45.38588,48.83103,53.0439,49.48605,44.43409,45.71591,43.97011,48.22,44.08471,26.99767,43.27273,42.32771,37.91724,31.99091,45.58506,26.70465,39.47303,38.33864,23.27294,47.56552,40.22955,39.70682,36.58977,43.47294,29.99535,46.07816,48.3092,44.85581,37.86477
18,48.20568,43.05955,58.44205,41.97011,32.65227,48.47386,44.02635,27.51705,43.69318,47.0583,43.05955,47.12273,36.57529,47.49659,40.98391,42.85119,43.23606,31.30872,35.62118,42.80049,33.67624,52.99014,42.73182,69.31071,48.20568,59.99091,44.57469,44.04085,53.44,48.47386,42.53977
27,51.85294,52.27791,43.85506,52.11477,53.55227,49.06854,39.34773,47.05341,43.27976,46.70706,43.44824,21.63409,45.28941,39.53977,37.18941,23.27241,44.45233,38.78837,34.39881,36.40341,24.67159,48.47381,43.625,34.53182,32.59419,44.98571,32.88636,48.62247,42.22529,41.70118,35.59773
