Time,0.625.2,0.625,0.625.1,0.5.3,0.5.1,0.5.2,0.5,0.313.1,0.313.3,0.313.2,0.313,0.25.2,0.25.1,0.25,0.25.3,0.156.1,0.156.3,0.156.2,0.156,0.125.2,0.125.1,0.125.3,0.125,0.078.2,0.078.1,0.078
0,25.36622,7.59589,10.99583,107.4048,12.50556,16.22254,-0.01765,16.61757,16.83699,6.194521,3.844928,8.266216,10.36986,9.353333,2.794915,,23.28939,4.926667,11.19583,16.56528,18.66714,9.408219,2.276712,28.69028,8.948571,62.84795
3,24.03658,5.524658,8.181944,61.71713,7.616967,11.48835,-0.46637,13.84837,11.09603,4.474287,3.954858,6.698386,9.618959,33.31273,1.554775,29.275,20.93881,6.139189,10.89041,14.4625,15.61736,7.819178,2.160326,26.60314,7.191781,6.205479
14,22.70694,3.453425,5.368056,16.02941,2.728378,6.754167,-0.91509,11.07917,5.355072,2.754054,4.064789,5.130556,8.868056,57.27213,0.314634,18.21429,12.16479,55.21757,10.37534,12.35972,12.56757,6.230137,2.043939,24.516,10.64247,9.466667
16,24.57067,5.753425,5.539706,17.925,3.010811,8.340541,-0.90417,12.8507,5.604348,2.33,3.983333,6.480556,9.108,3.591781,0.353448,18.06986,12.95942,5.289189,11.30139,14.55352,13.94932,6.976712,2.304167,26.2137,14.42973,12.17808
19,26.06486,6.227027,6.078082,19.82571,3.694286,9.056944,-0.51351,15.5411,6.627143,2.911111,4.232,6.986111,9.942254,3.505556,0.876119,17.39178,15.90135,21.11111,13.36716,17.55417,15.08209,8.10137,2.538889,30.07639,17.01408,13.29726
22,27.89028,5.877027,6.663014,21.09726,4.38169,10.04795,-0.51507,17.68732,5.804167,2.881333,4.359919,7.148611,9.937838,3.155556,0.770833,17.50541,20.97463,23.87083,14.59545,19.70972,17.67536,8.54507,2.226027,33.55915,19.42192,14.62958
24,28.92917,5.671622,6.294595,22.0274,5.20137,11.17361,0.190411,19.86986,5.427941,4.833333,4.487838,8.608451,10.35556,3.779167,1.039437,84.88732,24.00725,27.51143,86.22029,22.02432,19.00896,9.611268,1.919444,35.94444,21.11622,15.53521
27,29.20811,5.466216,6.675,23.36944,6.238889,11.07432,0.373973,22.74795,6.470588,11.325,4.884722,10.61918,12.2169,4.525,0.942466,16.61111,29.58955,29.35694,73.7859,23.2,20.53913,10.94533,2.388732,37.26667,22.10563,16.11944
29,29.99041,3.152703,6.869014,24.67042,7.8875,11.80556,1.004054,24.4338,7.191045,16.94795,61.61622,11.99589,12.08493,4.847945,1.443056,15.7875,37.0058,29.43243,61.35151,25.02254,21.57101,11.39718,2.702857,37.98169,23.46027,16.40141
32,30.58649,3.324658,8.297183,26.04648,9.109459,11.93889,0.857353,25.93194,7.633824,15.37391,5.313333,14.10959,12.44507,4.630986,1.909524,15.97606,41.49,113.7137,48.91712,25.36111,20.80423,12.58806,2.527778,40.78611,23.85775,16.22055
34,31.5589,3.909589,10.30845,26.94459,11.57639,11.92083,1.418056,26.04444,7.969863,11.48028,5.640228,14.97222,12.34932,5.420548,2.873016,16.2625,43.13676,31.26029,36.48272,25.99167,23.01324,13.06286,2.549315,43.25915,25.52838,16.72466
37,32.50411,5.883333,17.51111,28.22297,13.53649,11.9169,1.812676,26.10135,9.080597,7.587671,5.967123,83.21507,13.47324,5.765278,3.010959,17.02603,46.14638,115.04,24.04833,26.73467,26.00556,13.14722,2.573239,44.7375,25.57671,15.61486
40,33.33288,11.59054,28.77222,27.59859,16.94247,11.812,1.981944,26.36486,9.78,68.83151,6.250704,16.38028,13.73239,5.583333,3.123288,19.37778,47.06667,32.11507,19.07576,27.29437,26.90882,12.6375,1.686486,42.56622,26.09863,15.9625
42,33.57838,25.36667,44.38714,27.95417,19.41781,12.12222,3.230556,24.92254,10.20714,10.14348,5.909459,17.1973,14.62254,5.69863,3.422222,22.39067,46.2597,32.68356,18.46377,107.763,28.71912,12.74429,1.879452,42.43108,25.64521,15.53472
45,34.0507,36.96849,50.56176,28.3831,21.51507,11.61081,4.621622,25.41486,11.4806,9.823288,6.187324,17.44306,14.23425,5.49589,3.016667,27.84507,46.41956,33.01667,16.2,28.39459,28.62899,12.40563,1.981944,42.36806,25.88514,15.10417
48,34.44292,46.10972,53.48472,28.74789,21.72917,11.17297,5.695775,25.75139,23.11449,11.42192,6.358904,17.51486,14.79041,5.652113,3.651389,32.9375,46.57941,33.25946,13.45429,29.90139,29.31791,11.63889,1.928767,41.90548,25.22603,14.10286
50,34.83514,48.68451,54.01618,29.725,22.43333,11.89167,7.812162,25.42917,27.57826,16.60972,6.586301,18.17639,14.79444,5.801408,3.948611,40.02817,49.54928,30.70137,11.40294,29.9863,30.01233,11.53472,2.041096,42.12353,25.09577,13.69577
53,35.92432,50.51111,53.63562,29.18056,22.39306,10.72055,9.164384,26.17857,23.725,15.71507,6.7,17.52466,14.97671,5.856944,2.906849,47.70274,51.11014,30.16477,11.13478,30.11644,30.7058,11.21486,2.019444,42.52055,24.9589,12.79589
55,36.41944,50.25352,53.25507,29.20556,21.9137,11.51216,10.36027,26.16081,96.00588,15.13919,6.846575,16.78472,15.41429,62.65,2.994286,50.44667,54.67826,29.62817,12.15735,30.82676,30.06957,10.9875,2.210959,42.2169,24.16027,11.39444
58,37.25753,49.93472,52.53611,29.59452,21.73803,11.96164,10.61892,25.62703,21.52239,17.325,6.914085,16.90556,15.3726,5.935616,2.951389,52.02222,51.4971,27.48378,12.15256,30.69865,29.99429,10.86027,2.167606,43.01389,24.06027,11.44189
61,37.34167,52.20411,51.26471,28.82206,22.06438,11.06027,10.50694,25.21944,20.93611,17.85373,7.194444,16.82603,15.03056,6.352703,2.815068,50.83099,50.175,25.41286,12.14776,31.68889,30.475,10.78472,2.391549,43.11831,23.46301,11.87887
63,38.14595,50.11449,40.24783,28.15522,21.78649,11.05342,8.669444,25.02429,21.17612,13.93889,6.816438,16.00714,14.88971,6.476812,2.916667,50.35672,38.93043,23.78219,12.31364,31.52466,31.00597,10.4375,55.57671,44.39583,23.61644,10.91389
66,37.42464,40.33836,26.77536,28.31471,21.27183,10.2125,71.99143,24.99726,93.10441,13.21014,6.371233,15.21507,14.39054,6.647945,2.852778,50.89014,31.35909,23.37639,13.56324,31.19028,30.65588,9.905479,2.366216,43.36712,22.90845,10.56486
69,37.25753,35.06197,17.76957,28.44925,20.28784,10.05,69.90411,24.6169,20.90896,12.96812,6.378082,14.76197,13.6,6.792958,56.65616,51.39167,108.5759,22.87808,13.34225,30.51667,29.50294,9.463889,1.988889,44.60556,21.50563,10.26027
71,36.88333,30.53472,13.97576,28.02537,20.24521,9.527397,8.962162,24.0,20.41449,74.84627,6.227778,14.21892,13.68378,6.916216,3.438028,49.82535,33.98841,22.49028,15.07778,30.65,30.15373,9.491549,1.976389,45.14444,21.0812,9.806849
74,37.75211,25.84324,12.8,28.46087,19.74795,9.394444,7.90274,23.1338,20.70725,11.02353,5.875714,13.78889,13.43699,6.590278,3.690141,49.70822,26.79565,21.89718,15.075,31.02222,28.75,9.939437,2.224658,45.76944,20.65676,8.72027
77,37.475,22.40972,13.21324,28.60882,19.24583,9.221918,8.485915,23.33803,19.80143,10.10896,5.826471,13.18194,13.35616,6.490278,5.029577,49.76812,25.93676,18.80548,15.10571,31.05479,29.01194,9.806849,2.35,46.5589,19.94932,8.626389
79,38.20135,19.37945,13.47313,28.32647,19.23194,8.843662,7.836986,23.08286,20.29583,10.61765,5.486301,12.18194,14.00405,6.244444,4.10137,49.66389,31.37879,18.74167,15.44058,30.95352,30.08676,9.533784,2.2125,46.46301,20.5,8.590141
82,38.03043,19.96027,13.95652,28.53731,19.46351,68.47973,7.077778,21.40685,15.10274,9.044286,5.409589,11.63973,13.60986,7.076712,3.879452,49.82192,28.80746,17.2726,15.43472,30.31644,29.14571,9.643836,2.653521,47.07778,19.93099,8.731944
85,37.6625,18.52055,11.87826,27.15,19.15694,8.459722,7.147222,22.24225,13.14,10.22239,5.720833,11.37671,13.83194,7.461111,3.306849,49.64865,32.82319,18.19178,15.79437,30.71714,106.595,9.5,2.311268,47.69583,20.37746,8.460811
87,37.7411,17.45962,11.98986,28.37429,18.54521,8.032877,6.25,95.30435,11.91781,8.515714,5.030556,9.742466,13.67746,8.547887,3.330137,49.30448,30.21029,16.24521,16.55,30.63108,27.8209,9.018056,1.990278,47.85493,19.07432,8.063014
90,37.29452,16.38462,11.87826,104.9344,17.99028,7.747297,6.2125,20.83889,13.96471,9.129412,4.80137,9.954167,14.07606,7.80137,3.540541,50.04444,21.91857,16.1875,16.0507,113.1375,28.01045,8.708108,1.972222,48.40694,18.79306,8.254167
93,36.99178,15.34,13.14394,28.10735,17.36849,7.479452,6.204225,21.31507,13.7913,9.148529,4.465278,9.334722,12.54,8.422222,3.525,48.54306,13.39855,16.24861,17.9125,30.31944,27.17353,68.20685,1.919178,49.35278,18.42254,8.1625
95,36.95733,13.30405,11.06912,25.99118,17.3493,7.426761,4.186111,20.36957,12.25286,10.39853,4.201389,8.745833,12.45915,8.108451,3.178082,49.54085,11.575,16.07671,17.53056,30.43425,25.96471,8.272222,2.10274,50.2875,18.25479,8.116438
