Time,20.0,20.0.2,20.0.1,10.0.2,10.0.3,10.0.1,10.0,5.0.1,5.0,2.5.1,2.5,2.5.3,2.5.2,1.25.2,1.25.1,1.25,0.625.1,0.625.2,0.625,0.313.1,0.313,0.156
0,26.0,41.32254,14.73611,38.5625,32.76944,13.25915,13.68529,21.84722,12.77324,36.35,17.8541,28.45775,8.865333,11.36528,8.898649,8.565385,15.99324,16.04429,9.32027,26.45694,13.28919,15.86267
3,35.46111,39.69505,14.87448,40.08666,32.08198,48.48444,12.53922,17.4969,10.03593,38.48063,27.03872,23.37471,7.665061,10.65456,8.038514,5.961859,13.90357,14.87214,8.416473,24.70137,13.02143,13.58533
14,44.92222,38.06757,15.01286,41.61081,31.39452,83.70972,11.39315,13.14658,7.29863,40.61127,36.22333,18.29167,6.464789,9.943836,7.178378,3.358333,11.81389,13.7,7.512676,11.67027,12.87887,4.497368
16,50.48988,36.83699,19.9375,45.99014,36.15417,20.26197,14.31857,12.275,9.936986,42.96892,40.70972,20.27397,7.235616,12.27838,8.563889,3.752113,13.55068,17.63235,8.49589,11.99189,13.47612,4.939726
19,56.05753,36.02361,24.14366,47.39178,39.4,24.60946,18.78382,11.58451,11.23919,45.59863,43.22466,21.59028,7.142857,15.0662,8.397222,4.197143,12.71159,21.56471,8.750704,13.15278,14.35972,6.001389
22,58.58235,35.33472,27.83333,48.8987,41.96216,28.08108,21.97206,10.91831,12.33699,46.80685,45.01944,23.46575,7.858904,17.01733,11.03611,4.144286,14.02714,22.23284,9.731081,14.19595,13.94925,6.993151
24,59.32603,33.92778,30.49865,50.40561,44.18862,32.14265,24.52319,10.83472,12.94722,48.32676,46.30694,26.91389,8.617808,19.20959,10.95342,4.264384,15.22083,16.27123,9.630986,16.75479,15.14143,9.178082
27,60.04384,32.06892,32.5527,51.91253,46.41507,33.51892,26.325,10.40946,12.90541,49.49589,47.38904,29.74521,69.22174,20.63662,12.55634,4.456164,17.41176,15.78571,9.852113,20.91408,15.56429,13.69167
29,60.09722,30.22877,33.74861,53.41944,47.32603,34.83836,27.47361,10.8338,13.11486,50.1,48.08904,33.45556,10.10694,21.74932,13.76575,3.891667,18.69855,14.94384,10.20563,25.89041,16.33333,18.94865
32,60.30811,29.34324,34.46027,54.23056,48.32192,35.18649,28.64861,10.46761,13.62676,50.19859,48.31233,37.25541,10.8027,23.12027,15.95493,4.034247,19.70417,18.58767,10.64189,33.72083,16.18261,26.07432
34,60.87568,28.69167,35.2137,55.69571,48.76351,35.91571,28.99452,11.23649,13.47778,51.78611,48.82958,40.70685,11.575,24.36164,18.2507,4.491667,20.43108,21.87397,10.67606,40.42466,17.70588,31.4
37,61.2137,28.61233,35.06944,56.13014,49.52877,36.57123,29.57162,12.03889,12.67397,51.76027,49.23288,42.75068,11.54583,24.93014,21.08169,5.630556,21.0169,26.24384,74.32113,42.41216,18.03188,35.82222
40,60.97971,28.13944,34.78611,56.60833,50.4027,36.58784,29.47465,14.36944,12.41644,52.58767,49.02055,43.51757,11.77361,25.14521,23.70282,6.683562,22.64925,31.48219,11.34459,42.84306,18.76986,37.16027
42,60.72568,27.09726,33.63699,57.13194,51.87808,36.16892,30.30141,17.33243,11.8,53.8,49.47397,43.88356,11.46575,25.43243,26.63514,8.00137,23.35072,35.27,11.26892,42.06216,20.67571,36.77973
45,59.43243,27.23378,33.52568,57.27361,51.99296,36.12639,30.21507,20.79726,10.93973,54.25694,49.59863,43.80139,11.94028,26.02778,27.07432,10.18243,24.85972,37.23472,13.32055,41.38108,19.16087,35.6473
48,59.91765,26.57746,33.42222,57.41528,51.91408,36.51757,30.11194,25.33425,10.37222,54.83099,49.95636,44.14167,11.85417,26.21918,26.18356,12.75342,25.54328,38.21944,13.86986,38.63611,19.52059,34.92778
50,60.00959,26.84795,32.35479,58.13151,52.56806,35.69306,30.60137,117.182,9.821918,55.07123,50.31408,44.66486,11.81594,26.01972,27.67286,16.58889,101.5912,38.8625,14.02254,38.46901,19.94265,34.69143
53,59.90423,26.38194,31.32394,58.41389,53.08261,35.0578,29.63194,37.93194,9.372973,55.34085,50.79577,45.42113,11.81389,26.70959,27.75205,21.15417,25.79552,38.09459,15.25833,38.38493,20.13284,33.53425
55,60.22639,25.69577,30.7027,58.94507,53.63425,34.42254,29.10694,41.33333,8.647222,55.77917,51.08592,45.37639,10.94028,26.26301,28.16301,26.37671,26.47206,36.34444,14.99324,39.56471,19.10294,33.31507
58,60.80972,25.76575,29.60423,59.08472,53.90556,34.08514,28.59722,42.94247,8.146479,55.77383,51.34932,45.19726,10.756,26.27123,27.6875,30.41528,27.38676,34.12676,15.36892,38.17286,19.20588,32.40141
61,60.49718,25.9125,28.94932,59.65278,54.86438,34.52206,30.00435,43.81781,7.632877,55.76849,51.42535,46.01429,10.32083,26.26986,27.85,34.82192,26.16567,31.75694,16.42113,38.34865,18.62687,32.04795
63,60.86757,26.18873,27.17639,59.45946,54.23108,33.91389,29.11449,43.06712,7.646575,56.1625,51.48356,45.20959,10.04658,26.49178,27.5726,36.14024,25.83143,27.26197,16.41667,39.2194,17.02029,31.50405
66,62.06164,25.78028,26.37733,59.77733,55.46667,33.50135,29.86515,41.98611,7.575342,55.44783,51.53108,45.71081,9.978378,25.83472,27.76486,37.45857,24.96522,21.12917,16.30417,38.65362,16.35588,31.67123
69,61.27973,25.74324,25.53699,60.39444,55.02676,33.57706,30.84559,41.46575,7.10411,56.18333,51.60959,45.77042,9.750685,25.2027,27.88028,37.31467,23.0,17.94366,16.57183,38.42975,17.46087,31.31233
71,62.04247,104.8792,24.90845,60.19452,55.42055,33.65278,30.64531,41.08333,6.634722,55.18889,51.19589,46.25833,10.01507,25.03944,25.27945,36.95342,21.59559,13.34722,16.55634,38.20588,16.13182,31.09167
74,62.625,25.74658,23.79861,60.27429,56.30556,32.76986,31.72794,41.24247,6.394444,54.26222,51.51268,46.36806,9.505556,24.69054,25.33973,35.74167,21.25735,9.306849,16.05068,37.74203,15.61194,31.13378
77,62.3473,26.07671,22.08333,60.52222,56.55733,31.64459,31.46324,41.32778,6.05493,54.49516,51.75479,45.99028,9.029577,24.36081,24.53099,33.09054,22.08971,10.40417,15.75694,37.79726,16.29265,31.35342
79,62.68082,25.97887,20.33944,60.87123,57.03699,32.18333,31.86232,41.23425,5.820548,55.09028,51.69189,46.46338,9.11,24.47857,25.21644,25.66986,20.08986,11.10857,15.77353,36.52329,17.03043,31.53333
82,63.49306,26.2625,19.5,61.22329,57.16197,44.39403,32.54478,41.81667,5.622667,55.35417,51.73699,45.91806,8.848571,24.30704,25.60822,20.87183,21.13188,10.72754,15.87042,37.6194,15.70606,30.63151
85,63.19178,26.34306,18.0,61.57534,56.85,43.16429,33.91471,44.4473,5.136111,55.16944,52.08767,45.46892,67.89722,23.3,24.08493,17.17703,22.36324,9.038889,15.75362,37.63913,15.81884,30.70822
87,63.88493,26.00704,16.1274,61.81667,58.18056,42.24412,35.40294,43.9,4.534247,55.2493,52.18889,45.50435,8.194366,22.01781,23.92,13.34247,21.11493,11.67101,15.51507,36.25797,15.64706,30.88194
90,63.21667,26.90694,13.79,62.10548,57.69722,42.76269,33.26143,44.6375,3.930556,56.23333,50.40188,45.01528,7.938028,22.14658,23.13429,10.425,21.34928,,14.5125,35.55217,15.45882,30.64
93,64.39583,26.69859,13.0338,62.02667,57.23056,40.60857,37.63971,44.62973,3.613514,55.73014,48.61486,45.0589,7.626389,21.57397,23.09041,7.80411,20.74328,,13.34933,34.53235,81.07313,30.08356
95,,27.18889,12.37297,62.8137,,39.42727,42.66324,44.71127,3.518919,55.51408,48.38889,44.06111,7.676389,20.98889,22.88169,5.475676,20.63188,,13.5125,41.76812,15.43433,30.11644
