Time,8.0.1,8.0,4.0.2,4.0.1,4.0,4.0.3,2.0.3,2.0,2.0.1,2.0.2,1.0.1,1.0,1.0.2,0.5.1,0.5,0.5.2,0.25.1,0.25,0.125.1,0.125,0.0623.1,0.0623
0,36.37568,21.19452,36.2,26.34247,12.02055,18.70959,30.24658,31.32535,24.88333,43.63134,24.1137,74.39726,9.777778,18.89054,12.85556,14.60845,18.4875,18.47361,14.10556,6.453425,11.97324,14.23973
3,41.13437,25.08767,26.04275,20.26164,7.347945,11.52213,21.55775,25.53659,21.96389,35.76126,17.24452,68.10205,6.946889,15.49048,8.119675,8.821349,15.57262,14.47292,13.91781,4.630556,11.54118,13.91507
14,45.89306,28.98082,15.88551,14.18082,2.675342,4.334667,12.86892,19.74783,19.04444,27.89118,10.37534,61.80685,4.116,12.09041,6.538403,3.034247,12.65775,10.47222,10.39459,6.2625,5.987879,13.10417
16,49.59589,38.20822,21.04648,15.96849,3.430137,4.132394,16.89726,18.58472,21.38082,24.37246,11.65946,6.389041,4.541892,14.39863,6.434582,2.685333,14.68649,10.27887,10.71831,7.284722,6.831343,12.63472
19,51.24444,47.08904,23.30725,16.85139,3.321918,4.865753,20.32027,18.24865,22.94533,23.01471,13.69143,6.138356,5.925,15.79028,6.585009,56.26027,16.88904,10.64167,74.19429,7.735211,6.875714,13.05139
22,52.46438,49.70417,24.29275,18.53188,3.75,5.847222,24.36111,18.79865,24.62174,20.89855,14.13378,6.401333,6.895833,15.91781,7.590654,2.951429,18.49859,10.77639,10.78194,67.8875,6.868056,13.5125
24,53.41408,50.42568,27.06769,20.70822,4.869863,6.064384,27.73944,19.22329,26.01944,20.12464,15.43472,6.606757,7.809859,16.05417,8.312917,3.268919,19.72466,11.16712,11.75286,9.055714,7.740845,14.70822
27,53.07639,51.37123,26.88767,22.588,6.156757,6.870833,31.33973,19.51127,27.32222,19.07174,16.35857,7.211111,9.704225,18.52286,9.39631,3.878378,20.40106,10.21644,12.88611,9.498571,8.935135,15.01408
29,53.74722,52.18194,31.19091,25.09041,7.138889,7.815278,33.98056,21.58219,28.46286,18.01884,17.09306,7.324324,13.19028,19.9,10.11857,4.681081,21.07746,10.87571,14.2863,9.833784,10.98286,14.70986
32,54.57183,53.6375,38.26471,27.80822,8.7125,9.278873,36.52857,23.96438,30.08784,17.92794,17.94795,67.20563,12.79714,19.40833,11.20197,5.420548,21.35342,11.41389,16.11806,9.824658,12.05205,15.14444
35,54.25694,55.43333,45.22941,29.93803,8.583562,9.409459,36.875,26.06806,31.1625,17.85556,19.73288,8.236986,11.02222,21.78611,12.28536,6.278873,94.5,10.76806,17.2507,70.12394,13.60563,14.70423
37,53.9726,57.10833,47.98042,31.09722,8.774648,9.526761,37.22838,28.17042,31.63562,17.51642,21.03,8.805634,10.90405,24.06712,13.00762,6.118056,21.82571,10.83889,18.35556,9.15942,17.45672,16.59589
