Time,20.0,20.0.1,10.0.1,10.0,10.0.2,10.0.3,5.0.2,5.0.1,5.0,2.5.3,2.5.1,2.5.2,2.5,1.25.2,1.25,1.25.1,1.25.3,0.625,0.313,0.313.1,0.313.2,0.313.3,0.156.2,0.156.1,0.156
0,21.62676,25.93944,22.85352,10.31806,6.438356,21.03611,19.02817,9.523288,1.814706,11.56301,14.60429,,6.327778,8.622973,9.901389,8.985075,10.19855,13.99859,31.79296,15.53889,,4.7875,21.35139,12.1125,72.16143
3,32.30296,30.61833,97.57042,7.417568,3.890278,19.80822,12.884,7.465714,1.227397,13.14384,12.77222,10.61607,5.444444,7.773611,8.615278,7.45,10.06324,13.04306,28.74308,16.5375,14.075,3.99863,28.17851,12.96752,8.568056
15,42.97917,35.29722,11.06712,10.88904,6.6,16.77794,12.05417,7.715068,2.1,18.54493,10.46944,10.0898,4.227143,2.461972,7.07973,33.15,70.48986,13.64348,17.72879,16.20685,13.2246,3.6125,35.00563,13.82254,7.753731
17,46.70274,40.60685,9.569014,14.06197,9.180556,15.10139,15.37361,6.831081,2.49863,17.34795,11.12703,9.814085,4.450685,3.433333,7.88,58.85,9.253731,17.08235,17.36338,17.31918,12.37419,6.136986,39.96528,16.36649,67.75571
20,48.39859,42.33571,9.469444,15.29452,12.68767,13.71029,18.84521,7.526027,3.524658,19.66806,12.56986,11.73239,4.851389,3.266667,8.468056,4.785185,8.880882,19.4087,16.85833,19.09054,13.30139,4.8,41.95358,18.91045,9.301471
23,48.78857,43.91216,11.22917,15.45694,16.44444,14.94789,21.94459,8.406849,4.294595,22.19452,14.64861,13.14459,4.667568,4.097222,9.677465,6.365,9.833333,23.75882,16.57639,20.43973,14.24366,3.591667,43.94189,18.10588,10.21493
25,57.0,45.66528,12.51892,20.62432,19.50676,14.52329,23.05132,9.98,5.466216,23.92319,18.59459,15.43478,9.96338,6.894521,10.69726,7.681132,8.636765,24.475,84.38592,22.29167,15.96575,3.162162,44.69861,18.63043,13.03529
28,65.20556,46.26338,14.16027,23.22703,22.98333,15.84521,26.15493,10.96486,64.48194,27.59104,22.65676,19.04795,7.760274,15.88219,11.66761,10.62308,8.955072,27.88088,50.62074,22.11667,17.52877,3.136486,43.94638,20.15857,12.29859
30,70.82222,47.9,22.43611,103.5055,25.84795,16.76806,26.87887,14.42778,67.66027,30.29706,24.84247,91.15493,14.88649,25.79859,12.44861,13.13521,9.778261,29.07536,16.85556,23.19571,19.38378,1.749296,43.37808,21.12576,12.24706
33,71.62603,48.40411,31.72703,24.80143,27.78841,18.65479,28.71892,16.61486,9.434722,30.76765,26.6,22.15263,15.60694,33.14247,12.60694,14.17246,9.735294,31.29014,17.12192,23.85479,20.72778,2.242254,43.58451,21.56087,15.10882
35,72.60145,46.16986,34.54225,26.36667,30.54444,22.81111,29.97703,20.02817,13.00139,31.88696,28.70845,24.1407,19.16712,37.00986,13.92609,15.50282,9.588406,30.74853,18.23014,25.3493,22.0726,2.322222,43.53472,23.21642,11.52206
38,72.46301,46.1726,37.46622,29.99861,32.63889,26.75417,113.6233,22.64658,15.06622,32.62464,30.39028,26.12877,21.475,37.79306,15.0274,16.27838,9.736765,31.27647,19.46216,26.06667,23.28904,3.504054,42.63425,23.34853,10.50548
41,73.58806,48.31081,40.24247,32.87778,35.57297,32.43378,32.57808,24.46389,15.93014,33.27761,32.0125,27.42329,22.79167,38.38968,15.32222,15.85,10.33235,31.91493,20.97703,26.66216,23.99859,6.046479,42.52329,21.39,10.82917
