Time,250.0,250.0.1,250.0.2,250.0.3,125.0,125.0.1,62.5.2,62.5,62.5.1,62.5.3,31.25.1,31.25.2,31.25,15.625.1,15.625.2,15.625.3,15.625,7.8125.2,7.8125,7.8125.1,3.90625,3.90625.1,1.95312.1,1.95312.2,1.95312,0.976563,0.976563.1,0.488281,0.488281.1,0.244141,0.244141.1,0.0,0.0.1
1,62.4392,58.06611,45.68256,36.11974,52.94829,51.82423,33.27674,50.71337,46.21786,34.53012,36.75349,26.68295,37.1101,,32.73523,,34.83086,35.87701,37.39219,32.04186,38.27018,34.40517,36.04659,32.99205,30.83876,40.59522,39.33345,38.93099,34.78037,42.09506,38.61954,42.06786,45.13977
2,63.0125,58.60118,46.17059,37.39529,53.59425,52.68023,37.27326,50.45,45.67381,36.49659,35.09405,34.92051,35.48372,32.95443,36.18415,35.12588,34.15349,39.01494,39.37159,37.38523,40.52989,38.15402,36.42381,32.05,32.22874,42.35341,40.78415,40.68523,35.76897,41.85909,38.90116,41.33146,43.14
4,64.54253,58.02588,47.5954,37.15,53.82614,53.28621,38.02273,46.11136,39.36932,36.73409,33.55057,34.38068,34.74235,40.07471,37.08391,36.70568,38.48966,41.67882,40.17955,39.11494,42.34235,36.3093,39.175,37.57931,32.35663,42.79886,41.81818,40.44419,36.05114,41.88523,38.85682,41.04118,44.40345
5,61.72471,57.29286,47.06999,37.23971,54.2954,53.42791,27.25976,42.85,18.49647,36.56705,39.15517,34.72328,35.52386,40.94494,37.78313,36.95637,21.75455,42.62471,9.31358,39.52963,42.48023,37.76824,40.22425,38.17001,32.64965,42.1612,41.67461,15.51266,36.30086,41.6875,39.42365,41.32647,44.52644
6,38.85233,43.61818,46.54458,37.32941,43.45,45.04235,39.67647,40.35,36.92179,36.4,51.22386,35.06588,46.43214,41.65503,38.48235,37.20706,31.87386,43.57059,25.39315,39.94432,42.03023,37.88702,41.27349,38.76071,32.94268,41.52353,41.53103,41.90341,36.55057,41.48977,39.99048,41.61176,44.64943
7,63.95059,57.55455,47.59767,36.04512,53.65568,51.18977,40.85402,41.75116,37.18202,36.70353,41.86988,35.29186,41.73488,42.36512,37.90114,37.04205,41.99318,44.39881,41.47273,36.8988,41.58023,38.00581,42.18621,41.08941,32.98659,41.59432,41.75862,41.5561,36.20732,48.84706,39.79432,51.8092,44.90127
9,65.34205,57.40488,50.07882,37.08171,49.18977,47.90116,43.51954,41.07647,39.44432,36.62024,42.43103,34.42442,43.06353,43.65172,38.67159,37.66517,42.03765,44.47882,41.77791,35.36364,43.08736,40.46951,43.35402,41.55176,33.07442,42.43523,42.22529,41.63678,36.34,43.23218,39.9022,42.15476,46.29524
11,29.6983,37.69985,48.48765,37.68621,39.48239,40.0502,46.85682,40.86568,38.92334,37.25862,45.29502,33.72921,43.80335,43.53291,38.6875,38.11954,45.41461,45.60674,40.54235,34.98876,44.45341,38.49432,44.06747,43.22841,33.41932,42.575,42.28256,42.01882,37.02614,44.19176,40.29091,41.95814,44.62941
14,57.3075,52.57865,47.19762,36.7093,48.91494,46.16667,47.31529,39.90353,36.63182,35.98605,42.77059,33.75862,41.35349,44.18636,38.74,38.55698,41.99205,45.71294,40.53068,39.78864,42.42529,39.80341,45.69024,44.33864,34.04824,43.2908,39.26235,41.71494,35.36023,45.64588,39.78706,41.67882,40.16136
15,59.96552,53.65455,60.39268,41.3557,48.81647,45.6498,47.65015,40.63897,38.21591,41.45882,43.55542,33.9593,41.75514,46.06307,47.41429,53.84824,42.94021,29.80227,41.20227,40.09943,42.97299,40.65114,55.7,44.20115,30.4315,43.34838,40.38402,41.78077,35.26648,45.23329,39.77456,41.77066,40.96588
16,75.59432,73.37831,45.53864,26.29432,48.75824,45.13294,47.985,41.37442,39.8,37.16932,44.34024,33.49059,42.15679,47.93977,39.20941,39.3625,43.88837,45.98315,41.87386,40.41023,43.52069,41.49886,46.42159,45.19885,26.81477,43.40595,41.50568,41.84659,35.17273,44.82069,39.76207,41.8625,31.0125
17,59.11176,53.66235,39.26136,20.38276,48.7,44.35568,48.36364,42.48434,40.38571,37.575,43.66932,37.08554,42.32561,44.98987,39.46506,39.23882,42.39059,46.18353,41.3125,38.6381,43.88409,42.01724,47.68068,44.86706,26.67816,44.26932,39.02118,42.49773,35.81494,44.74535,39.88523,41.48554,37.84157
21,62.18295,53.18409,43.5881,36.80465,47.53523,44.58636,49.83614,45.68295,42.19318,38.41772,44.65341,37.61059,43.58523,49.94634,41.84773,40.99756,44.49121,47.41176,42.66705,40.62235,43.74659,40.95862,38.22875,34.30455,35.03448,45.32619,31.01364,42.64483,38.28588,46.16353,40.87011,41.8092,43.63068
