Time,40.0.1,40.0.2,40.0,20.0.1,20.0.2,20.0,10.0.3,10.0.1,10.0.2,10.0,5.0.1,5.0.2,5.0,2.5,2.5.2,2.5.1,1.25,1.25.1,1.25.2,0.625,0.625.1,0.313.1,0.313
0,45.38065,26.76912,22.61757,36.41364,23.25139,18.25211,38.19143,29.70667,11.77162,14.98611,41.18219,25.21486,20.93611,21.80571,19.16957,4.448649,27.06143,7.909459,5.480282,26.04861,15.92059,102.1892,2.591304
3,47.85282,25.44334,24.99782,39.89154,24.74236,17.78702,39.37714,27.96804,9.185811,13.09722,44.62534,24.39031,19.1625,19.54327,16.22743,30.10068,22.53003,5.991716,33.90095,24.81831,16.17571,24.10959,1.216
14,50.325,24.11757,27.37808,43.36944,26.23333,17.32192,40.56286,26.22941,6.6,11.20833,48.06849,23.56575,17.38889,17.28082,13.28529,55.7527,17.99863,4.073973,62.32162,11.27123,15.10294,25.12838,0.70137
16,51.202,27.0507,33.41528,45.59863,28.59296,18.63521,43.07703,25.26667,7.8,12.58082,49.5625,23.95342,18.90972,19.30274,13.93188,2.533784,18.325,4.175342,6.836111,10.92192,16.50588,28.04658,0.627027
19,53.02034,35.62703,35.57703,47.70405,30.71757,90.36056,44.22603,25.35294,9.598611,13.94459,50.2029,24.96761,19.63649,20.96486,13.89412,2.772857,17.48451,5.251351,8.144444,11.31233,16.65,29.72568,0.651389
22,54.40139,39.06765,39.04247,49.51111,113.8458,20.06622,44.65,26.71765,11.97222,14.94028,50.68194,104.3108,21.63571,22.425,15.0806,2.609333,17.46571,4.797183,9.197297,13.21486,17.56667,115.4475,1.461111
24,55.69855,42.092,39.92083,50.56267,34.02639,19.98904,45.5338,26.69412,14.69189,15.83333,50.95989,109.0368,23.53944,24.35972,15.53582,2.890411,18.00694,4.041667,10.50411,15.06806,17.93529,31.67808,5.084507
27,56.28649,44.48611,40.43836,51.97606,35.29459,20.14583,45.39306,27.20441,17.37746,16.34857,51.23784,31.75556,25.07671,25.71528,16.4,3.164789,18.78649,4.295833,10.93288,18.95972,16.91159,34.98028,13.22532
29,57.11081,46.29577,39.97324,53.39054,35.51233,21.26849,45.79865,27.86866,20.85915,17.29452,51.76301,35.94,26.73919,108.3,16.80145,3.776389,20.66986,4.878082,11.44658,25.91972,17.76176,35.86111,21.36613
32,57.61636,47.34286,39.15013,53.75972,37.11389,22.40833,46.68194,26.56857,22.39589,17.03333,51.70563,39.43014,28.09722,29.87067,17.08358,6.719444,22.35616,10.396,12.28108,31.43803,19.1,35.52917,29.50694
34,58.12192,47.70563,38.32703,54.70833,36.51,23.61351,45.60455,28.8597,24.17397,17.17973,52.90267,42.15352,29.31233,30.99296,17.17826,7.441096,25.16712,11.24795,12.62877,36.18194,18.35942,36.60833,35.76486
37,58.41892,49.34648,35.93472,55.19718,36.98611,25.54595,46.50714,30.4913,24.62466,17.09452,53.21486,44.92254,29.91831,32.32143,18.9209,8.304167,28.45946,12.07465,12.07397,38.22113,19.15821,38.40141,38.11644
40,58.43014,50.03382,35.2473,56.52778,38.09167,28.70282,47.29254,33.08676,25.52877,17.23889,54.27733,45.87222,31.44306,32.55616,21.2375,9.680282,31.81781,13.46575,12.06216,37.94521,20.16232,38.43562,37.26027
42,58.99014,50.14384,32.63239,57.39577,39.86575,30.7625,47.46389,37.3791,25.75753,17.16892,54.35753,46.22958,31.32319,33.35753,22.8,11.28857,34.44595,12.23286,11.8,38.41972,19.02174,38.17222,35.7473
45,58.59315,49.14429,32.3125,57.07703,38.66111,33.83973,47.44853,40.02857,25.84722,16.81233,54.71233,46.54795,31.94658,33.64932,24.17015,12.03378,35.34658,14.82817,11.32917,36.98889,19.18824,39.20282,35.4
48,59.44429,49.55075,33.0169,56.70286,38.75833,36.70274,47.59296,42.73043,25.91781,16.29444,55.8137,46.04366,32.6942,33.68592,26.45362,11.60694,36.09595,19.03562,11.08784,36.85972,20.29559,39.50676,34.13108
50,59.2411,49.73478,33.09189,57.74459,39.02639,38.38472,46.80694,44.92174,25.85915,16.10986,55.88767,45.48194,32.32329,34.54028,28.34559,11.76806,37.09726,21.76056,10.1726,36.81757,19.86912,39.28143,32.13784
53,59.59718,48.86232,33.28611,58.75753,39.50676,38.96429,47.62265,44.93857,25.9,15.64444,56.4137,45.15634,33.35205,34.42676,27.67101,11.75068,37.48904,27.60278,9.127778,36.51806,19.11571,39.11096,31.20822
55,59.73521,49.48676,33.17606,58.07222,39.45714,39.73611,48.43836,45.65294,25.68873,15.69315,56.61831,45.01268,33.51081,35.14306,23.66232,11.76761,37.61111,29.62319,9.20411,35.17945,19.05797,38.97083,30.00541
