Time,8.0.1,8.0,8.0.3,8.0.2,4.0,2.0.2,2.0,2.0.1,1.0.2,1.0.1,1.0,0.5.3,0.5.1,0.5.2,0.5,0.25.1,0.25,0.25.2,0.125,0.125.3,0.125.1,0.125.2,0.062.1,0.062
0,6.058108,11.75068,5.894366,2.136,2.020548,4.37541,,4.88,3.880822,,,23.87333,7.680556,4.918919,,8.856164,5.839189,2.236,6.103774,5.00411,3.993151,2.664865,9.454762,5.626667
4,30.24203,35.34189,23.39429,19.54583,2.117742,21.86981,14.08333,6.554189,21.28767,13.6434,,13.03514,20.50959,16.15479,71.75385,20.81781,7.62973,4.324324,12.83492,11.66479,3.060317,2.841096,10.46094,7.205128
6,27.64783,24.67945,15.46901,6.693243,0.916438,77.52027,9.776093,8.228378,16.88514,9.111111,4.733333,14.15,18.95616,12.38056,7.365455,16.92353,6.362162,3.544,12.06027,11.62639,2.740541,2.45,11.46712,6.591935
9,32.85143,23.87867,20.21781,6.476389,1.011111,76.912,5.468852,67.13108,17.57808,9.14991,5.066667,24.97534,19.86164,11.69324,6.79726,15.31143,6.208219,3.532394,11.52162,11.29722,2.897183,2.241096,11.91094,6.42
12,36.16857,24.74459,25.49324,6.806757,1.2,15.20548,5.346479,8.246479,19.61389,9.18871,5.920833,16.51644,19.74459,13.8274,6.878378,17.04714,6.270833,3.49863,12.70972,11.51806,2.825,2.287671,13.23699,6.054167
14,42.56765,29.98493,112.1544,7.841096,1.608451,17.57333,6.561972,9.016438,22.15753,10.08082,7.109459,24.29459,19.29315,15.71389,7.52973,18.46618,5.755405,4.002778,13.99865,12.95352,2.790278,2.445205,17.48904,6.39863
17,48.63811,40.67733,34.21507,9.416438,1.956164,20.97838,8.139726,10.70267,24.75068,10.55,7.638356,22.27222,22.19041,19.18356,7.902703,19.88676,6.10411,4.730556,15.96027,13.81549,2.461111,2.649333,21.76571,6.843836
19,54.70857,50.71096,38.84932,10.97027,2.753425,24.87639,9.515278,13.45821,27.77123,11.55915,8.82027,25.10405,102.9181,22.02466,9.091781,22.18841,6.185858,5.918667,18.01892,15.43662,2.976712,2.969737,27.37671,8.275342
22,59.18696,60.99296,44.37027,13.84267,3.871831,28.76164,75.61096,14.85417,30.52055,13.15541,10.10563,107.4247,27.46111,102.7055,11.45616,24.80294,6.267606,7.238889,20.73288,18.14247,3.226027,3.290141,31.10278,10.79444
24,64.18286,60.28493,48.31111,87.62973,6.247222,32.51507,16.73919,17.75342,33.58904,15.6527,11.40137,29.25753,30.27397,27.16438,14.41757,26.2662,7.073611,9.334286,23.25753,20.68784,2.882192,4.027027,34.38611,14.9274
27,65.53043,61.28219,50.81067,23.59167,9.263014,37.0589,21.82254,21.31096,36.06081,17.08493,13.35068,32.89444,32.03333,28.67162,17.59296,28.75942,7.431507,77.94306,26.10822,23.17808,3.35,5.052055,36.81081,17.79178
30,66.07778,61.01986,52.74787,30.87465,12.94521,40.54865,27.42029,23.3625,38.35676,18.42958,15.87808,35.35139,34.50139,31.29589,20.65342,30.81029,8.376,15.93194,28.85811,25.60833,3.491667,6.8625,38.89315,21.25676
32,67.99118,60.75753,54.68507,40.06849,17.83286,44.27162,33.77534,26.52297,41.11644,18.90685,17.96351,36.53243,34.99595,31.87867,24.49167,31.38286,9.548611,17.12466,30.82027,27.49865,4.006757,7.62027,40.20946,24.5375
35,69.31029,62.16806,56.12192,42.07222,98.37397,46.04865,39.55068,29.34865,42.85278,19.01408,20.86438,38.4589,36.90405,33.10137,106.2622,33.46081,11.74789,16.16986,32.40704,29.76857,4.506757,8.73662,41.32877,27.34932
38,67.90147,61.99429,57.38514,44.23151,26.56986,46.57183,43.90405,31.68873,44.656,21.0375,24.18356,40.19444,38.21351,34.45205,29.26164,34.30448,15.3473,16.98243,34.43699,31.83288,4.773333,10.20556,42.54384,29.42432
40,66.17721,62.02973,58.13944,45.54722,29.79726,46.19583,46.27867,34.51268,46.225,21.90548,27.09861,43.14795,38.79167,35.56986,31.11081,36.59636,20.01233,15.95342,35.71081,32.62877,63.27808,12.16351,42.81867,30.4338
43,64.45294,61.8625,59.11528,47.26,29.84384,47.4527,46.90548,37.44324,47.98649,25.79595,31.49041,43.39577,39.53836,35.82676,32.57123,38.88824,25.71233,17.04189,36.36111,33.5027,64.17297,13.55833,42.37746,30.5973
45,64.35429,62.17838,60.92162,49.23135,30.67917,47.61067,47.79726,42.24348,48.43733,32.29014,35.92973,45.09167,40.0973,36.27027,32.88493,38.00145,31.27429,14.84933,37.13919,34.1137,7.415068,15.04028,42.86622,30.85616
48,63.72609,62.175,60.59189,51.2027,30.86986,48.39306,48.71486,45.95479,49.57746,36.69452,40.32083,45.84306,41.09189,36.75342,34.34795,38.59565,33.41067,13.32394,37.00811,34.2662,9.025676,15.38889,41.77808,30.32676
