Time,15.0.1,15.0.2,15.0,7.5.1,7.5.3,7.5.2,7.5,3.75.2,3.75,3.75.1,1.875.2,1.875.1,1.875,0.938.1,0.938.2,0.938.3,0.938,0.469,0.469.1,0.234.1,0.234,0.234.2,0.117,0.117.1
2,51.13857,48.7,31.50417,19.18451,6.245833,3.952778,4.736667,13.04783,,4.529032,25.17353,12.41857,4.138462,38.27391,26.93286,21.95857,5.509859,25.4125,2.833784,21.7973,18.19857,21.11286,,
5,50.61324,35.48889,35.99014,14.33239,4.432877,1.405479,2.236986,11.84521,6.238028,2.433333,25.88261,9.781159,2.599478,44.0029,25.71714,20.75694,4.383562,24.33973,1.791892,20.83668,16.75137,20.75,10.87361,4.044595
7,55.66707,41.88075,39.55684,12.87384,4.776712,1.147945,1.562811,11.28832,7.566311,2.116667,23.71777,8.162498,2.974466,38.03968,23.68533,19.75788,3.676027,22.70915,0.880946,19.87606,15.30417,20.38714,10.37222,4.352703
17,60.7209,48.2726,41.07933,11.41528,5.120548,0.890411,0.888636,10.73143,8.894595,1.8,21.55294,6.543836,5.064233,32.07647,21.65352,18.75882,2.968493,21.07857,-0.03,24.73382,17.525,14.23611,6.680556,6.175
20,64.05139,47.92778,48.39859,11.76933,5.218056,1.113514,0.483582,11.15972,12.94932,1.812329,21.14203,6.315493,5.75132,30.92985,23.1411,18.13382,3.760811,23.67794,51.10411,26.28955,19.77397,15.30704,8.024658,6.239726
23,62.86418,49.76111,50.36697,12.67568,6.591892,1.569444,0.9,12.31486,13.67534,1.919178,22.87727,6.725676,6.55884,36.31667,25.78971,18.40725,3.80137,25.87286,0.382432,27.86377,20.79315,16.14865,8.681429,7.791667
25,61.36522,50.84054,52.0929,13.13611,6.926389,2.024324,0.755882,14.8169,14.40137,2.334722,24.025,65.3411,7.097186,35.21045,27.12464,19.275,4.351389,25.9125,0.471233,27.41618,95.66418,17.35753,10.07534,8.033333
28,64.98571,52.0125,51.64821,12.98889,7.991667,1.657534,0.835714,15.19315,14.19452,2.686111,27.08333,7.4,7.904706,34.56818,27.15072,18.68382,4.281081,25.98551,1.650685,29.83836,23.42639,19.06806,11.97432,8.993151
30,63.4942,52.77808,50.98118,13.64306,9.298649,2.071918,1.340845,17.61528,13.84028,2.775676,27.52941,7.210145,8.443053,36.72029,28.5875,19.70441,4.388732,30.53857,0.783333,26.99444,24.72055,20.73014,13.83611,8.730137
33,64.21378,52.98533,50.53649,13.95068,11.20274,2.486301,1.477465,22.1831,13.98169,3.317808,29.23433,8.031343,9.250573,37.24179,28.27778,20.60423,4.257746,26.86056,0.631944,27.92466,25.77324,23.09014,15.8726,8.919178
36,64.93336,53.44583,49.86946,13.25972,12.14595,3.297222,1.795833,20.57397,13.18194,3.871831,31.87313,9.863514,10.05809,37.10441,29.91389,21.03108,4.173973,28.78235,2.911111,29.95833,27.76479,23.7589,17.53611,8.388889
38,65.65294,54.50278,49.20242,12.57286,11.08873,3.319444,1.655072,23.4411,13.8589,4.552055,33.18406,9.697222,10.59644,37.23188,31.72703,21.24795,3.8875,22.62877,9.034722,32.775,29.225,26.60694,19.24658,8.784932
41,65.67101,55.17297,48.75774,12.49714,12.76892,56.96338,2.114085,24.53889,77.40959,4.790667,35.20435,10.39452,11.40396,38.90694,32.375,23.5726,4.430556,23.84714,15.09169,36.00435,31.79306,28.45833,20.49014,8.872603
43,68.63231,55.28649,48.0907,12.36806,11.99028,3.391667,1.827397,23.59178,12.95493,5.421918,35.72536,10.04795,11.94231,39.59706,33.58382,26.29452,4.486111,22.86567,21.14865,34.50278,31.64444,30.90583,20.92603,8.078082
46,72.35311,56.20139,47.64602,13.55915,10.63514,56.38143,1.394444,24.5169,12.95694,5.955405,36.24638,12.44306,12.74983,39.7913,34.14179,28.27639,4.483333,21.87313,24.39865,35.40779,32.15135,33.35333,20.87917,8.501351
49,76.07391,56.76806,46.97898,13.65352,9.763514,3.018056,2.145833,24.92676,12.3137,6.814085,35.97273,13.49863,13.55735,41.50882,35.65448,29.82778,3.80411,23.28382,25.00822,36.3128,34.39014,35.09014,20.24648,8.069014
51,75.35938,57.38194,47.21805,13.55429,9.204225,2.868056,2.231507,25.26111,12.45,7.484932,37.03881,13.22027,14.09569,42.68806,37.16716,32.99718,4.494521,22.51304,26.90548,37.21781,35.74521,35.25556,17.77222,8.852113
54,82.07576,57.36111,47.42291,13.5,9.265753,2.415068,2.478082,22.83,12.13014,8.776389,36.50735,15.90139,14.90321,43.08433,38.48571,34.20282,5.215278,21.9791,27.77083,38.17183,34.76479,37.17222,17.50429,7.571233
57,76.27385,58.13944,47.80856,15.25753,8.7,2.151429,2.358333,22.25205,12.33056,68.98451,36.31711,17.14722,15.71073,43.4806,39.8,35.58873,5.771233,21.69559,110.7583,35.39855,33.21111,37.22192,16.22877,6.130137
59,80.19118,58.49014,48.23463,15.8137,8.964865,1.954167,2.615068,21.75417,12.39315,9.591781,36.12687,16.0,14.23583,47.6791,40.21029,38.28028,6.72,24.01449,26.73,35.75833,31.75946,37.00694,15.19722,6.086111
62,81.73934,58.51324,48.25226,15.82222,8.367143,2.163014,3.526027,22.06944,12.575,9.920833,35.75362,13.21389,12.0449,42.83913,41.26143,44.03562,7.231507,21.99265,24.99143,35.26806,30.58169,37.05558,14.11972,6.323288
64,83.2875,59.41127,47.73037,17.24324,8.708219,1.822857,3.157534,22.12639,12.57671,10.30274,35.52059,13.64179,10.60565,43.45942,41.60441,43.35,7.139683,24.85152,23.49028,36.23562,30.59178,37.10423,13.07973,5.6625
67,82.50794,59.70137,47.21999,17.3726,8.278082,2.123611,2.653425,21.96528,12.93014,10.41389,34.8,12.30141,8.725473,39.23478,40.66857,39.55571,9.785106,23.2,21.48841,35.92462,30.45493,36.56944,12.49041,5.683099
70,83.64138,60.05775,46.63273,16.91111,8.418056,1.761972,2.246575,22.28816,12.80556,70.85694,34.28806,10.16061,7.539161,39.7946,41.16232,37.06528,9.932836,23.2,19.91406,35.79296,30.34648,36.42778,12.33836,5.609722
72,81.94266,60.62746,46.70934,86.41486,7.909722,1.864384,2.132432,21.36389,12.76761,9.854795,34.50896,9.479167,7.121551,40.35441,41.91791,38.09444,11.17213,22.15217,18.00877,36.40556,29.92917,36.19167,11.69041,6.095833
75,80.24394,61.19718,46.99081,18.14384,8.140845,1.527778,2.327027,22.08676,13.13919,9.389041,32.66286,10.60972,7.004831,41.76618,43.04706,37.92192,10.12817,21.53529,19.42817,36.44167,29.93333,36.33521,11.7473,5.649296
78,84.36557,60.90267,47.54421,18.39437,7.939437,1.9625,3.29863,21.69571,13.40972,9.205479,32.66471,12.02466,7.195969,41.03881,43.31045,38.4726,12.00704,21.48382,22.25294,35.59189,30.26849,36.26849,11.42113,5.588889
80,79.17727,61.78056,48.07834,17.92222,7.178873,2.247887,5.347222,22.47162,13.08939,9.1875,32.65147,11.90137,7.469182,39.00725,42.51765,37.30411,12.57857,20.28824,23.18209,35.08889,32.04795,36.99296,12.09726,5.475362
83,84.37538,61.44028,48.35387,18.90417,6.943056,2.014865,6.49726,22.55833,13.18356,9.142466,30.55075,12.24306,8.008071,40.13881,43.91176,36.88493,9.921918,20.62319,24.28592,36.12639,37.72973,37.09722,12.45972,5.9
86,81.56349,62.57465,48.79887,18.35972,7.178378,2.605714,5.587324,20.57042,13.69452,9.477027,32.78657,12.60704,8.698367,39.48841,43.26377,35.9,12.68169,19.82206,26.09028,36.52254,36.78082,36.49583,12.24521,5.747222
88,80.20769,62.44384,49.8405,19.72917,7.161972,2.69,5.864865,25.71765,13.38378,9.569863,31.90588,12.76986,9.478641,39.66618,43.65217,33.94583,9.964789,19.22,26.79444,36.76528,38.06571,36.88194,12.66143,6.370833
91,79.925,62.45178,51.06607,19.84583,7.70137,2.501389,6.665753,19.36757,13.76849,9.058333,30.77246,77.79861,10.72557,38.11449,43.96324,30.87432,12.95634,18.86232,28.02254,36.79722,38.97,35.56761,12.90694,6.090141
94,85.2873,62.45972,52.91179,18.00405,7.278378,2.705479,5.624658,17.80833,13.76806,9.12973,30.22879,14.33889,12.04685,38.99412,42.85522,28.44932,10.56986,17.73182,29.63333,39.39865,39.56324,35.548,10.7274,6.171233
