Time,10.0,10.0.2,10.0.3,10.0.1,5.0.1,5.0,2.5.1,2.5,1.25.3,1.25.2,1.25.1,1.25,0.625.1,0.625,0.625.2,0.3125.1,0.3125.2,0.3125,0.15625,0.15625.2,0.15625.1,0.078125.1,0.078125,0.039063.1,0.039063.2,0.039063,0.019531.1,0.019531.2,0.019531,0.009766,0.009766.2,0.009766.1,0.0,0.0.1,0.0.2
0,36.81932,44.33908,35.93059,22.30568,41.85176,39.18353,20.60805,24.8908,36.70814,35.5619,22.37273,24.89882,36.58313,32.20706,34.39412,31.55172,29.0012,25.37059,27.24359,25.76477,24.07901,27.96742,25.9954,40.93409,20.28588,32.22386,23.60568,22.6,,35.10714,23.1046,13.92235,45.87931,43.03882,24.95977
2,31.76591,44.23182,36.22414,15.54598,40.5618,40.18182,14.58471,20.22273,40.9875,39.74545,21.33605,20.24432,40.075,28.70682,38.02386,38.14706,37.29195,31.05294,34.28068,33.85385,30.97159,26.21647,28.94625,42.06941,17.2622,38.95,18.38,16.54545,,36.2023,15.16627,7.563636,46.09773,40.60349,18.72791
4,32.81034,44.01529,36.85568,15.62759,41.34167,41.95233,15.69545,19.42824,41.15882,39.62,22.12195,19.95679,42.31705,30.44773,39.23563,40.89545,39.26932,33.18977,37.18068,35.05341,32.07711,29.76897,33.76932,41.07558,17.88523,39.87674,18.20114,17.13412,,36.62471,15.20238,8.575,46.70706,41.32759,19.58675
5,37.79318,45.20455,36.88046,16.31685,40.37326,41.94598,36.02273,20.2625,40.52353,39.06705,24.02381,21.93678,42.88587,36.15287,39.28941,36.4869,40.64659,29.4093,38.28721,36.84419,33.3875,35.50227,35.98977,40.20909,26.59882,39.80114,19.79091,18.49647,,37.04713,19.79091,9.31358,46.55977,42.53605,20.30843
7,38.87529,38.08721,36.89205,16.7764,33.46471,42.94941,19.44545,45.21477,41.20449,38.3186,30.94943,26.49651,41.71905,38.2122,40.16941,41.58506,41.2378,34.90698,38.39765,38.65747,34.64432,37.2125,43.42069,41.15455,44.07191,40.16705,22.43864,20.84884,39.35059,38.75281,19.04198,10.97093,47.16782,44.71059,20.625
12,37.93636,36.3,21.97765,19.61136,44.12588,41.21647,24.81034,25.10682,40.59412,39.38452,33.75,31.59,41.85,40.47614,40.79294,42.475,41.03412,34.38851,39.45281,37.34535,32.12289,56.02235,37.59655,42.91023,29.17059,38.47865,22.04091,1.55,44.59518,38.54302,24.6,23.87294,47.82593,44.02235,28.85116
14,42.61023,42.13103,18.91395,19.40909,41.8,27.95059,22.2975,24.54494,40.81609,40.01034,47.76029,38.40227,42.03412,41.32353,41.51279,42.30341,41.68295,48.02216,71.45732,36.38864,31.46705,40.54471,36.67619,43.96023,30.14706,56.36818,28.31591,22.82209,46.69302,41.30455,21.18636,10.60976,45.62989,51.39368,25.00909
15,38.76023,46.16818,33.24691,21.40795,43.33068,28.37816,46.88804,25.31013,41.44881,42.22907,34.11477,31.06,45.29545,41.53563,42.48941,45.45,42.80341,33.84205,41.40682,38.06818,31.67882,41.92791,37.50109,44.95287,33.87558,37.42674,32.59091,25.40118,53.77573,40.75341,22.52,12.27907,48.06136,44.92989,26.15287
17,38.52841,44.80118,21.11647,22.42588,43.46941,42.46932,27.28409,27.48046,41.29186,34.06707,34.18764,30.77805,44.72184,42.0977,43.01724,45.51744,43.03678,33.44943,39.95455,36.63409,30.19302,42.56386,37.5625,44.01585,32.9954,36.92184,33.56705,25.86292,24.15137,38.97765,21.1561,12.30562,47.50568,33.47191,27.46437
19,45.89659,73.38,27.55977,22.1908,29.66292,28.05517,43.12955,27.55977,40.85568,33.35287,34.28941,27.30349,33.91364,37.02326,48.33765,40.65114,37.37349,23.04118,40.48202,37.17816,32.44651,43.8375,35.94483,47.46818,34.08851,29.01364,41.94023,38.7,-12.5557,39.30465,23.37738,47.68902,22.1908,41.71494,41.71494
24,39.65233,32.84138,30.49059,25.13636,42.67356,40.53165,31.66477,31.34643,38.6375,42.78391,36.09412,32.72414,45.40341,43.94756,41.00682,44.59545,43.62558,33.82759,28.58046,38.23294,31.14471,44.09888,38.44713,45.71477,35.64545,34.25465,38.71034,32.5625,45.482,39.15517,23.56,14.89551,48.4875,40.22674,30.83529
27,39.63068,39.74239,30.93182,25.28235,25.64318,30.90833,32.89,31.47955,64.15862,43.3954,35.07126,34.09205,44.71765,45.02759,39.78372,43.32471,43.35632,32.99773,40.69438,38.05455,31.09432,44.07586,38.84886,34.55341,37.0092,32.7069,39.38353,33.25568,50.99419,39.025,24.01477,15.76591,34.05747,39.81264,31.03793
29,41.65052,36.77045,28.75455,69.68118,26.26353,41.00455,55.69312,33.74659,28.14643,33.05227,35.55909,45.55246,46.0625,44.46092,41.12069,43.20349,44.03523,33.62976,41.01744,37.82235,32.04444,44.26207,39.2375,46.08977,37.01609,26.14302,41.30714,35.29773,32.55,23.50617,25.22065,18.79167,46.75682,40.58182,32.40227
34,37.99318,39.74773,28.10345,27.64943,42.17349,32.82471,33.69545,33.40455,28.27126,38.87625,35.90581,35.47765,47.33882,44.36706,41.66988,43.23953,43.48977,32.25176,26.92159,37.77931,32.4375,44.34598,39.38488,45.83647,39.50114,35.68256,41.37471,35.48824,34.46235,38.39518,27.76988,18.57159,47.33977,37.67412,33.28046
39,39.64091,24.18118,19.39167,22.70588,39.36588,28.09432,30.36463,30.98471,41.91348,33.10909,32.88523,30.20568,45.14886,43.34091,39.99318,40.48409,42.07558,29.20241,39.63953,34.07143,29.48256,42.22955,36.50568,42.07765,34.85926,55.58072,38.13409,31.54286,28.24598,33.60482,20.97683,13.63793,42.16744,33.83953,30.11932
40,38.61591,24.47312,20.40427,21.08409,38.8062,31.96705,29.26353,28.18471,41.41262,34.07081,31.20125,27.58824,44.4625,42.73864,40.07614,40.52286,41.48089,26.2619,37.42771,33.87381,28.13332,41.63368,36.33295,40.43059,34.77338,31.93256,37.6246,30.33847,27.11236,33.65114,19.57194,12.17652,41.0814,33.21194,29.47764
41,42.66265,24.76506,21.41687,45.07093,38.24651,35.83977,40.34651,45.26818,40.91176,35.03253,34.42386,54.54432,43.77614,47.99655,40.15909,40.56163,40.88621,37.0931,41.94828,33.67619,26.78409,41.0378,36.16023,38.72759,34.6875,24.075,37.11512,29.13409,14.15176,19.70659,18.16705,10.71512,39.99535,32.58434,28.83596
42,37.27059,30.30238,21.51591,19.69277,38.91905,34.21279,28.82976,29.16941,40.2977,26.2092,30.7093,26.88313,31.15682,42.63103,30.30238,21.51591,34.21279,27.07619,39.17045,38.91905,26.97619,40.68391,35.96747,39.88427,40.2977,33.98506,43.27386,37.18182,25.44205,32.64318,39.5759,9.640909,39.85227,31.15682,41.08523
46,25.80748,31.5875,19.27349,43.15189,35.74432,32.49765,43.40378,26.10875,35.875,21.65341,53.99224,25.89086,43.0988,47.74538,38.25294,38.93765,41.07647,13.79318,39.20408,33.07816,25.63765,40.61477,35.63103,38.76517,31.18046,38.09091,35.32941,27.95176,24.05542,31.53333,17.30482,7.581609,40.45341,31.68409,25.38
49,40.08118,32.70345,19.61765,14.99647,37.25341,25.46628,25.70909,25.35513,34.67412,48.82941,27.54186,24.35679,40.62791,41.46395,38.84353,35.81932,19.97647,24.06782,39.34138,32.98864,25.26235,50.82955,44.17159,38.45,32.35,31.74458,35.21744,26.99773,23.8939,32.09651,26.88977,27.82727,39.28605,31.35647,23.77931
52,42.55606,32.95568,8.634091,14.99753,37.08554,16.16512,26.80233,26.96023,36.3375,22.56706,27.7642,25.97045,42.26932,40.19773,38.55682,41.20114,40.29885,24.73977,38.6131,33.2314,26.2378,41.25402,36.28966,38.73295,31.85341,32.21176,34.48068,28.43372,23.44598,30.51047,18.01325,6.968182,23.57317,31.09659,25.43412
53,34.1505,33.02725,24.61877,75.02118,29.47882,16.3855,51.85909,27.42874,45.55581,74.7,40.87699,31.93405,43.17752,76.95,39.16136,41.44326,40.87094,38.63151,40.18098,72.04643,26.30831,41.18515,35.9238,44.7391,32.86023,32.51335,34.91875,74.39634,23.58322,32.05182,18.35602,7.415125,23.89364,31.58535,25.56081
54,25.74493,33.09882,40.60345,15.89432,21.87209,16.60588,27.96429,27.55227,54.77412,19.80227,53.98977,37.89765,44.08571,40.77241,39.76591,41.68539,41.44302,52.52326,41.74886,33.31379,26.37882,41.11628,35.55795,50.74524,33.86706,32.81494,35.35682,28.57931,23.72045,33.59318,18.6988,7.862069,24.21412,32.07412,25.6875
55,17.33937,33.33805,31.23968,16.74713,19.21819,16.26544,28.11737,26.63636,45.77154,19.04194,40.63617,31.51701,44.63251,40.7168,40.0,41.39034,41.37034,39.18979,41.3796,33.32608,26.31953,40.98402,35.74375,45.10893,33.4841,33.63363,35.54347,28.80142,23.77919,33.80795,19.9253,7.995239,30.88706,31.83195,26.08168
56,8.933801,33.57727,21.8759,17.20254,16.56429,15.925,28.27045,27.06934,36.76897,18.28161,27.28256,25.13636,45.17931,40.66118,40.23409,41.09529,41.29765,25.85632,41.01034,33.33837,26.26023,40.85176,35.92955,39.47262,33.10115,34.45233,35.73012,29.02353,23.83793,34.02273,21.15181,8.128409,37.56,31.58977,26.47586
57,0.528235,23.09195,19.52439,17.65795,36.66818,17.95952,27.85517,27.50233,36.22209,26.50976,27.85488,25.91512,44.47561,40.55904,40.89545,40.90116,41.60116,26.02716,40.74318,33.16386,25.27727,40.14831,36.02644,37.18721,32.06353,18.22868,34.41379,29.87241,25.23068,33.85176,20.07215,7.541379,38.68353,31.1561,25.57386
59,36.18182,30.31818,19.92989,15.61364,37.05176,18.92584,27.56512,26.82262,37.52235,18.2573,27.69762,25.21264,44.4,40.64886,40.76588,41.85119,40.87176,25.71609,38.9907,33.11798,25.74118,40.07176,36.13333,38.12738,33.44651,2.005039,35.80471,126.1046,23.80225,33.9186,18.53837,7.914773,40.26477,30.75176,26.17701
61,36.57273,29.83095,19.73103,14.48158,36.0,22.6875,27.41023,25.72614,38.02386,26.05882,26.34699,24.79294,45.01647,39.93483,40.58023,41.13908,41.47619,22.71529,39.35287,31.65455,24.94588,40.15056,34.95543,39.3012,30.66932,-14.2186,34.61079,28.48295,23.01687,15.31591,17.78161,6.135227,40.27176,30.35341,25.17176
62,33.75357,30.11494,14.12824,13.27412,33.26322,22.19205,25.62045,24.77791,35.28977,28.20805,25.63218,21.39545,43.27159,39.26118,39.9506,40.86341,39.5814,19.74471,38.89059,31.0908,22.4439,38.69545,33.4241,28.86163,31.84884,26.28653,33.41687,26.46706,20.93294,27.57241,14.53295,4.587059,38.55783,28.26897,23.53529
64,35.71395,30.07195,18.81059,14.18795,34.60235,31.39146,27.01477,25.42976,36.13882,26.42273,25.73855,22.76429,43.86818,40.11264,39.58171,41.11529,40.34943,22.21494,39.71364,31.76941,22.65795,39.41932,34.0759,39.18068,32.06512,32.4,34.37765,28.06506,49.72588,31.63258,17.86786,6.434177,28.55402,22.60824,22.03735
