Time,9.6.2,9.6.1,9.6,4.8.2,4.8.1,4.8,2.4,2.4.1,1.2.3,1.2,1.2.1,1.2.2,0.6.1,0.6.2,0.6,0.3.1,0.3.3,0.3.2,0.3,0.15.3,0.15,0.15.2,0.15.1,0.075.2,0.075.1,0.075
0,,12.69701,108.5861,11.94384,5.630667,6.39,7.712329,8.77971,7.889189,5.086301,9.478378,3.890541,19.57973,11.55352,4.501351,7.421622,16.15072,2.916216,4.32,6.882432,3.722667,6.737838,3.014865,27.77467,7.704167,10.30417
4,35.30588,34.26087,35.69028,31.89571,24.02676,7.435725,25.3,13.3087,18.43286,11.57917,12.4473,8.020548,26.9726,10.65753,7.510959,18.41081,27.58261,11.00685,6.379365,8.611429,5.276389,5.788889,2.630137,5.265217,7.973611,10.15068
6,21.86901,22.1058,24.02933,20.07568,10.38767,7.10147,80.98267,12.01765,16.57647,66.05479,9.614865,5.319444,25.90694,8.656944,5.228767,19.00694,25.78714,7.601351,5.324658,7.744444,4.485333,5.095946,2.186842,4.321739,7.947945,9.412676
9,21.34058,19.32239,20.43108,15.37162,9.012162,6.647596,11.075,12.33768,17.99552,64.21644,9.214474,4.882432,26.15342,9.074648,5.243243,22.28592,25.98529,8.120833,5.367606,7.225676,4.108333,4.973611,2.057534,4.957971,7.38,9.47973
12,21.56806,18.3,18.38514,14.13151,9.215278,6.235769,11.09722,11.85507,18.78857,6.730986,70.37703,4.816667,27.14795,8.709722,5.471233,23.56027,25.20746,8.282432,61.35714,7.788158,4.313699,4.763889,1.841667,4.713235,6.990541,9.326389
14,21.48841,85.34928,16.21351,14.07671,8.543836,6.07668,10.55811,13.74928,21.47681,63.53243,8.152055,4.779452,26.19437,8.63662,4.635616,24.97639,24.18116,8.965753,5.249315,8.006849,4.602703,4.359722,1.79589,4.091429,7.206944,8.808219
17,23.77206,14.97826,12.64861,15.50137,8.865753,6.02439,10.52568,14.23143,23.98209,6.523288,8.017647,4.812162,25.96901,8.582192,4.90137,25.85541,26.53478,9.919444,5.105714,8.516667,4.390541,4.378082,1.971233,4.515942,8.690541,8.972603
19,24.95224,14.4971,10.51507,17.60423,9.629167,6.070359,11.70417,15.62059,27.16957,7.57027,8.287671,5.671233,24.64247,8.223288,60.1375,27.93973,26.72029,10.9125,4.9,8.554167,3.368493,4.158667,2.168493,5.748529,9.780822,9.768493
22,27.17727,14.26143,11.24028,18.80946,10.42192,6.184507,11.57297,13.55072,108.8792,8.463889,8.319444,5.621918,99.2662,67.9589,4.646479,29.15068,27.31449,11.75479,4.969444,9.292,3.069014,4.968056,2.629167,20.49265,11.32877,9.864384
24,31.36667,15.35303,12.79863,22.50417,12.06986,6.287414,13.36575,14.15429,31.73623,8.788889,7.436111,64.11918,22.73562,8.572973,4.522555,31.82083,29.4209,13.47534,5.186486,10.13378,5.49863,4.515068,3.069444,26.36,13.81918,10.8411
27,33.54706,14.62464,12.39315,24.71781,13.12639,6.623412,15.17703,14.00588,34.69118,9.267568,9.009722,6.451351,22.04028,8.770833,4.39863,32.78767,30.57101,15.10278,4.972,10.76986,5.967123,5.104054,3.642667,28.71219,16.94028,11.33378
30,37.25224,15.19559,15.25,27.46164,15.13288,7.097893,17.36164,14.13939,36.27971,10.09315,7.276712,7.131507,22.27945,9.236111,4.160274,34.22568,32.92714,16.59306,5.078378,11.18356,7.758824,5.051351,4.864384,31.06438,20.59863,11.39041
32,38.54627,16.8,18.68873,29.66892,16.68108,7.441725,20.32877,13.44783,35.39275,15.68889,7.701351,65.21549,22.72877,10.11111,4.478082,37.33333,33.96471,18.02162,4.768919,12.32676,9.560563,5.553425,6.456164,31.29041,23.61918,13.6507
35,41.98824,20.30725,30.8411,31.15429,18.80571,8.057361,21.40417,12.46866,37.58209,14.02639,8.076712,7.8125,22.96944,9.955556,4.639726,39.41857,37.31159,19.34595,5.354286,12.91806,5.356164,5.990278,5.584722,31.47083,26.00556,15.00411
38,47.2,25.66429,37.47778,32.70833,20.19669,8.63978,24.32466,74.97681,39.33857,13.5137,9.130986,8.260274,23.24861,10.80845,5.145205,40.68514,37.91522,20.46389,6.142466,13.632,5.191781,6.165753,6.689041,29.10548,29.02603,18.07838
40,48.91304,30.8,40.98649,34.96806,21.58767,8.968067,26.27887,13.07222,39.98088,14.94247,8.736986,9.207143,24.81067,12.19324,6.591781,43.14648,38.51884,21.8589,6.443243,14.84167,4.909722,8.00137,7.227397,32.64706,30.29155,19.76301
43,51.92836,36.86164,39.29306,35.73611,23.10822,9.369189,27.53836,12.47391,40.52394,17.65467,8.173913,9.495833,26.44795,14.19459,7.776712,44.3,41.1058,22.28649,6.652055,15.50143,64.01389,7.769863,7.455405,35.40147,32.74583,20.84865
45,55.83818,43.34583,39.72877,37.14795,24.9863,9.610663,27.67733,11.7087,41.96471,24.22958,7.804167,10.48551,29.22778,86.96216,9.454667,42.50972,40.45217,22.46351,7.85,15.53803,11.01618,9.616901,7.477778,34.9029,33.76533,23.37571
48,59.748,48.58261,41.37162,38.04865,26.9863,18.03057,28.22329,12.23676,42.49855,29.16757,7.821739,10.09178,31.00685,21.22361,12.92329,43.88472,41.975,23.0411,8.240845,15.53243,14.9454,9.511111,7.181081,34.20286,34.11781,24.15
51,63.65782,48.52206,43.26438,38.10541,28.53521,25.43151,28.52162,12.825,42.33824,31.45833,8.626389,10.00541,34.09315,26.70135,17.78356,43.84247,43.04338,24.74028,9.297101,15.38056,18.87463,8.205405,7.312329,34.4,34.1,25.76892
53,67.56765,52.72206,44.46622,39.02805,29.8726,30.06423,28.43611,14.24118,44.13623,33.55694,7.947222,10.62162,38.07237,31.28378,91.31549,44.17681,44.11176,24.84054,10.39315,15.75205,24.22174,8.797297,6.769014,33.81324,34.01096,27.44167
56,64.72429,54.78986,44.52667,39.95068,112.0516,37.78493,29.44167,17.03043,43.60882,35.7411,7.857534,11.27808,41.62568,35.92162,21.40263,45.30299,44.66522,24.69861,73.22778,15.49067,21.79876,69.83288,6.683562,35.05811,33.95429,27.27123
59,62.26176,56.16471,46.23056,40.30694,113.4551,39.45293,30.53562,19.75224,42.68841,36.53374,8.281081,11.82027,43.99863,40.20448,103.5932,46.80145,45.1442,25.00959,76.23151,15.26712,19.37578,11.84054,6.876389,36.30299,33.42466,27.6274
61,64.9697,59.79143,46.02162,41.51528,31.94648,40.38331,30.52703,24.43382,43.61176,37.32639,8.858108,12.07671,45.66528,41.35811,29.35616,48.80147,45.62319,24.3625,13.2137,15.4589,16.95281,12.39595,6.455882,37.54787,32.2726,26.98649
64,64.73286,59.77941,47.22133,41.37945,33.81096,41.77656,31.08472,29.81618,44.72899,36.1411,9.70411,12.96812,46.46761,41.63425,31.71944,47.64306,46.14714,24.56667,12.92297,15.15205,14.52983,11.56761,6.031507,38.79275,31.04384,27.60274
66,68.86087,62.32754,47.79041,43.05811,35.69015,43.05421,33.12703,32.90147,44.52353,36.0,9.808219,14.66377,46.43803,41.42973,36.74247,47.40029,46.61014,24.65,13.73857,14.00959,12.10685,10.38919,5.697297,35.01176,30.9411,28.45811
69,68.15674,62.14493,48.83425,42.53467,37.56933,41.97217,116.1353,34.49565,44.67118,35.58649,9.595833,14.42647,47.6863,39.86806,40.44507,47.15753,47.54058,23.91944,14.23514,13.79178,8.420833,11.53562,5.401351,33.9029,30.65417,27.87123
72,67.45261,61.39,50.18714,42.74306,38.95556,41.30299,32.29865,33.31972,44.81884,34.05753,11.28356,14.8913,47.13514,38.60694,41.07297,48.12917,46.78841,23.55811,13.93243,13.55753,14.65147,11.66389,5.379452,32.46087,29.95946,29.09589
74,66.74848,63.81765,48.66301,43.18919,38.28056,40.92112,32.16351,32.28696,44.50435,33.18649,14.47808,14.78358,47.97671,38.55278,40.86027,47.80822,47.6971,22.78028,13.63973,13.26389,6.358904,11.58219,5.490411,34.9,28.93333,28.40137
