Drug,O0,Emax,Kappa,Tau,n,m,Cmax_used,CT50_at_tau,CT50_ratio,N_points,SSE,RMSE,R2
Amiodarone,22.53193934,49.60468582,0.234987076,72.5989163,1.385176217,1.229872913,2.8,6.113744535,2.183480191,256,10415.37609,6.378484369,0.726172131
Bortezomib (A09),10.46797543,17.61794751,37.80539023,53.62392721,0.569741151,5.068129037,0.29,0.000259491,0.000894796,296,26703.16789,9.498073754,0.357405096
Chlorpromazine,23.50157785,38.59546045,0.004556092,88.84713881,4.569086254,1.156024734,2.5,7.508413788,3.003365515,272,25497.67087,9.682016166,0.688146923
Cobimetinib (E03),21.66102601,51.83371223,0.505080605,69.79711955,0.5,1.035077911,0.53,0.998172054,1.883343499,296,24723.20245,9.139164765,0.606944065
Dactinomycin,22.73790879,49.31635911,0.900701823,57.17964307,0.5,1.708498711,0.034,0.020135747,0.592227867,272,5551.543363,4.517752306,0.925227943
Daunorubicin (F03),22.52953652,46.99933396,0.030372886,92.59484061,1.572843786,2.179948886,0.24,1.753199253,7.304996889,296,55137.31758,13.64824976,0.514105993
Doxorubicin (G03),20.67919239,108.7664135,0.084513207,86.43897473,0.5,1.1241571,0.13,8.744703859,67.26695276,259,17272.21491,8.166277516,0.753394989
Epirubicin (B04),16.52548222,100.6522683,0.184590982,77.65003164,0.5,0.723926606,0.45,6.345158492,14.1003522,296,26371.43195,9.438891646,0.754952207
Erlotinib (E09),20.43532015,73.29626056,0.145417512,76.10314429,0.5,1.107692376,0.65,14.7683121,22.72048015,296,33003.38202,10.55925718,0.524299238
Etomoxir,25,17.68797731,1.293326187,40.41769591,0.5,4.648317066,0.1,0.028723329,0.287233295,272,43442.47236,12.63783889,0.190187357
Gemcitibine,24.60690327,23.4944565,6.64244611,49.99516137,6,2.424928672,20,13.72291055,0.686145528,265,21559.27342,9.019742166,0.375054154
Ibrutinib (C10),25,28.07801905,0.000411458,81.33138543,3.604652739,2.422340572,0.53,4.162642627,7.854042693,296,24052.52625,9.014351592,0.376054253
Isoproterenol,10.25614132,12.27696483,1.420581424,34.91817597,0.5,6,0.013,0.00309501,0.238077668,238,22482.42094,9.71925684,0.16519137
Mexiletine,25,16.64779469,0.024026409,92.55488384,6,1.910445307,3.6,6.304615403,1.751282056,272,30112.09219,10.52170239,0.231194781
Nifedipine,22.5164181,36.69141214,1.00E-06,92.7906708,4.980401391,0.646218229,0.39,5.802219655,14.87748629,272,19430.79412,8.452025976,0.602805533
Panobinostat (G07),17.72877744,14.3108641,5.781577226,66.01468822,0.5,6,0.063,0.000905522,0.014373359,259,39694.87619,12.3799059,0.209354295
Plicamycin,13.79522079,68.61939908,0.185925277,85.20137497,0.5,1.389723689,0.15,2.084804362,13.89869575,272,16134.30015,7.701771224,0.824953142
Sotalol,25,46.25341348,0.186104224,71.67321831,0.5,0.583683761,3.2,44.39033657,13.87198018,272,24326.33941,9.457011756,0.243888115
Sunitinib (H08),18.11240485,115,0.115165006,81.82784809,0.5,1.32835192,0.15,5.433768256,36.2251217,296,31518.05391,10.3189104,0.481957501
Vandetanib (G11),16.04805979,35.71923471,1.09054258,52.44869623,0.5,1.410401795,1.2,0.484782478,0.403985398,296,57963.31941,13.99364231,0.396833901
Vincristine,19.15874746,9.872044549,1.061737603,48.26699918,0.5,5.46873285,0.063,0.02685079,0.426203022,263,50968.79333,13.92112399,0.07492363
Vorinostat (B06),16.60915563,115,0.190610144,76.57082358,0.5,1.130981581,1.5,19.83582011,13.22388007,296,30806.42401,10.20175263,0.573395681
