Drug,Arrhythmia,heart_damage,Concern
Bortezomib,True,True,most
Doxorubicin,True,True,most
Epirubicin,True,True,most
Ibrutinib,True,True,most
Isoproterenol,True,True,most
Panobinostat,True,True,most
Sotalol,True,True,most
Sunitinib,True,True,most
Vandetanib,True,True,most
Cobimetinib,False,True,most
Daunorubicin,False,True,most
Ibuprofen,False,True,most
Rosiglitazone,False,True,most
Vioxx,False,True,most
Mexiletine,True,False,most
Amiodarone,True,True,less
Chlorpromazine,True,True,less
Gemcitibine,True,True,less
Nifedipine,True,True,less
Vincristine,False,True,less
Vorinostat,False,True,less
Dactinomycin,False,False,no
Erlotinib,False,False,no
Etomoxir,False,False,no
Plicamycin,False,False,no
