Drug,CID,MolecularFormula,MolecularWeight,SMILES
Amiodarone,2157,C25H29I2NO3,645.3,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2
Bortezomib,387447,C19H25BN4O4,384.2,CC(C[C@@H](B(O)O)NC(=O)[C@@H](NC(=O)c1cnccn1)Cc1ccccc1)C
Chlorpromazine,2726,C17H19ClN2S,318.9,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
Cobimetinib,16222096,C21H21F3IN3O2,531.3,Ic1ccc(c(c1)F)Nc1c(ccc(c1F)F)C(=O)N1CC(C1)(O)[C@@H]1CCCCN1
Dactinomycin,457193,C62H86N12O16,1255.4,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C
Daunorubicin,30323,C27H29NO10,527.5,COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)[C@@H](O[C@H]1C[C@H](N)[C@@H]([C@@H](O1)C)O)C[C@](C2)(O)C(=O)C
Doxorubicin,31703,C27H29NO11,543.5,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC
Epirubicin,41867,C27H29NO11,543.5,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC
Erlotinib,176870,C22H23N3O4,393.4,COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C
Etomoxir,9840324,C17H23ClO4,326.8,CCOC(=O)[C@]1(CCCCCCOc2ccc(cc2)Cl)OC1
Gemcitibine,60750,C9H11F2N3O4,263.2,OC[C@H]1O[C@H](C([C@@H]1O)(F)F)n1ccc(nc1=O)N
Ibrutinib,24821094,C25H24N6O2,440.5,C=CC(=O)N1CCC[C@H](C1)n1nc(c2c1ncnc2N)c1ccc(cc1)Oc1ccccc1
Ibuprofen,3672,C13H18O2,206.28,CC(Cc1ccc(cc1)C(C(=O)O)C)C
Isoproterenol,3779,C11H17NO3,211.26,CC(NCC(c1ccc(c(c1)O)O)O)C
Mexiletine,4178,C11H17NO,179.26,CC(COc1c(C)cccc1C)N
Nifedipine,4485,C17H18N2O6,346.3,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OC)C
Panobinostat,6918837,C21H23N3O2,349.4,ONC(=O)/C=C/c1ccc(cc1)CNCCc1c(C)[nH]c2c1cccc2
Plicamycin,163659,C52H76O24,1085.1,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
Rosiglitazone,77999,C18H19N3O3S,357.4,O=C1NC(=O)C(S1)Cc1ccc(cc1)OCCN(c1ccccn1)C
Sotalol,5253,C12H20N2O3S,272.37,CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C
Sunitinib,5329102,C22H27FN4O2,398.5,CCN(CCNC(=O)c1c(C)[nH]c(c1C)/C=C/1\C(=O)Nc2c1cc(F)cc2)CC
Vandetanib,3081361,C22H24BrFN4O2,475.4,COc1cc2c(ncnc2cc1OCC1CCN(CC1)C)Nc1ccc(cc1F)Br
Vincristine,5978,C46H56N4O10,825.0,O=CN1c2cc(OC)c(cc2[C@]23[C@@H]1[C@@](O)(C(=O)OC)[C@H](OC(=O)C)[C@]1([C@@H]3N(CC2)CC=C1)CC)[C@]1(C[C@@H]2CN(CCc3c1[nH]c1c3cccc1)C[C@](C2)(O)CC)C(=O)OC
Vioxx,5090,C17H14O4S,314.4,O=C1OCC(=C1c1ccccc1)c1ccc(cc1)S(=O)(=O)C
Vorinostat,5311,C14H20N2O3,264.32,ONC(=O)CCCCCCC(=O)Nc1ccccc1
