Drug,CID,MolecularFormula,MolecularWeight,SMILES
Amiodarone,2157,C25H29I2NO3,645.3,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
Bortezomib,387447,C19H25BN4O4,384.2,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
Chlorpromazine,2726,C17H19ClN2S,318.9,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
Cobimetinib,16222096,C21H21F3IN3O2,531.3,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O
Dactinomycin,457193,C62H86N12O16,1255.4,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
Daunorubicin,30323,C27H29NO10,527.5,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
Doxorubicin,31703,C27H29NO11,543.5,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Epirubicin,41867,C27H29NO11,543.5,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Erlotinib,176870,C22H23N3O4,393.4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
Etomoxir,9840324,C17H23ClO4,326.8,CCOC(=O)C1(CO1)CCCCCCOC2=CC=C(C=C2)Cl
Gemcitibine,60750,C9H11F2N3O4,263.2,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
Ibrutinib,24821094,C25H24N6O2,440.5,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
Ibuprofen,3672,C13H18O2,206.28,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Isoproterenol,3779,C11H17NO3,211.26,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
Mexiletine,4178,C11H17NO,179.26,CC1=C(C(=CC=C1)C)OCC(C)N
Nifedipine,4485,C17H18N2O6,346.3,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
Panobinostat,6918837,C21H23N3O2,349.4,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO
Plicamycin,163659,C52H76O24,1085.1,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
Rosiglitazone,77999,C18H19N3O3S,357.4,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
Sotalol,5253,C12H20N2O3S,272.37,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
Sunitinib,5329102,C22H27FN4O2,398.5,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
Vandetanib,3081361,C22H24BrFN4O2,475.4,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
Vincristine,5978,C46H56N4O10,825.0,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
Vioxx,5090,C17H14O4S,314.4,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
Vorinostat,5311,C14H20N2O3,264.32,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
