Drug,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State,Arrhythmia,heart_damage,Concern
Amiodarone,0.176364012,0.819352102,0.779844809,0.565555602,0.206360896,0.334886307,0.130757965,0.694168639,0.614030492,0.868145263,0.291509637,0.374966547,0.20511772,0.312449501,0.996143162,0.026664947,0.015997228,0.086256697,0.136055417,0.017534138,0.073137999,0.037190595,0.90243305,0.997551787,0.367593804,0.003541832,0.124102719,0.111018179,0.016600707,0.605635244,0.983963144,-4.462196927,45.14632587,40.52273888,462.943503,-6.074879367,3.905927114,4.378883742,100.4295355,-4.11272378,40.10111535,True,True,less
Bortezomib,0.50876011,0.48418867,0.86467818,0.072753432,0.283633554,0.46803003,0.381118023,0.15033275,0.055957135,0.555338329,0.791663849,0.301731217,0.577680326,0.754509079,0.983217764,0.018166816,0.023073676,0.206498672,0.156911097,0.088404076,0.090787904,0.052770674,0.533976701,0.15206763,0.269053429,0.067424983,0.119054579,0.103521803,0.159622151,0.374424988,0.332699662,-5.421047572,54.99467571,37.64569195,21.07910157,-11.45240542,2.851021488,1.289926006,78.84198163,-2.776232454,4.242336689,True,True,most
Chlorpromazine,0.221878681,0.998861492,0.880804932,0.74206301,0.298620006,0.33930763,0.017839774,0.785209143,0.948524559,0.761560702,0.063341785,0.15990838,0.426887307,0.4946154,0.999641371,0.006462389,0.013142181,0.11645366,0.072093197,0.008657074,0.031352041,0.00446136,0.972305405,0.724593204,0.190678971,0.001255622,0.029017115,0.172158991,0.062404578,0.817223728,0.968892312,-4.22849056,104.2574978,26.1793059,47.05455836,-5.377345178,2.724758459,3.134766632,99.34899166,-5.464287133,14.02906298,True,True,less
Cobimetinib,0.137665521,0.782369339,0.755114675,0.099457506,0.249136239,0.137295827,0.178485903,0.497628409,0.375426131,0.462160528,0.43672502,0.198648275,0.61804108,0.463373917,0.9935776,0.02535817,0.033729681,0.112776405,0.0517279,0.005511949,0.082991244,0.008058152,0.690287101,0.787243557,0.178087306,0.011945617,0.045539926,0.161165082,0.043726107,0.292020211,0.921505916,-5.280730274,-0.266403893,-9.56877759,38.46478957,-10.26272469,3.013700364,2.184904471,86.95958117,-3.806753169,13.00680532,False,True,most
Dactinomycin,0.642833608,0.129049413,0.786745024,0.001227715,0.017275428,0.018595142,0.018395157,0.007464002,0.005925962,0.682109809,0.707852793,0.114626253,0.504093683,0.97425797,0.867386305,0.034631642,0.157743498,0.020095767,0.475497329,0.03998216,0.095990729,0.091062258,0.576429787,0.443786138,0.465336382,0.325603306,0.027098434,0.665836668,0.611824271,0.257833609,0.690203786,-5.471514178,44.80333616,81.98388664,42.81867943,-10.55549405,4.188734013,1.796379275,69.53125282,-3.826430577,3.415409712,False,False,no
Daunorubicin,0.973645353,0.077745431,0.612818766,0.06193009,0.032316122,0.01274914,0.038262599,0.016697629,0.028020811,0.463764161,0.12289722,0.024347518,0.517420292,0.849112272,0.970728433,0.518566281,0.097419961,0.507968301,0.814876699,0.455013323,0.376767558,0.06676791,0.426768339,0.370794179,0.575414348,0.735907865,0.061966156,0.850901389,0.832352793,0.428500465,0.618559819,-6.215190227,29.55037174,44.83982441,30.66409056,-12.23322435,3.255065442,0.136334322,75.62843266,-3.964488639,23.20626366,False,True,most
Doxorubicin,0.972083616,0.07983859,0.571386367,0.055274474,0.03485918,0.012144032,0.037368662,0.016596259,0.031521059,0.434949315,0.128777231,0.024278459,0.517834115,0.829514122,0.956362057,0.506101012,0.101419759,0.480318135,0.783141893,0.432118848,0.355706659,0.062858415,0.374345851,0.341986559,0.549418318,0.728812069,0.050601692,0.813632643,0.813962829,0.402839661,0.618751228,-6.368287711,32.42432221,44.21823399,35.98609106,-12.44226651,3.112024978,0.073332781,74.12869601,-3.760031205,23.25917384,True,True,most
Epirubicin,0.970951152,0.087544102,0.582292265,0.05997468,0.039088192,0.01311661,0.041899701,0.017814258,0.03417851,0.436720324,0.137311899,0.027108236,0.520948356,0.834398282,0.961895621,0.476059556,0.097260834,0.490420598,0.770008016,0.398339269,0.336290255,0.060627651,0.381288093,0.364127035,0.541907275,0.716354978,0.052286352,0.807818758,0.801782072,0.387292704,0.620588815,-6.35747172,32.63596611,44.27685626,35.09286514,-12.37967575,3.1104532,0.080379523,74.09622334,-3.770934702,23.41010038,True,True,most
Erlotinib,0.723412526,0.671547961,0.948598075,0.670483905,0.242489672,0.359588712,0.152330559,0.388625053,0.157311846,0.689042103,0.90446558,0.32100298,0.257897419,0.947947502,0.996036839,0.04839549,0.089091907,0.807137084,0.372148311,0.065749171,0.12569948,0.052293812,0.859840357,0.655181229,0.699208987,0.308592093,0.113703784,0.371680343,0.415459955,0.25116183,0.872927356,-4.798000987,34.43125986,20.55712786,32.17371283,-8.607788311,2.053454599,3.088090618,87.72464658,-4.334629149,11.56011722,False,False,no
Etomoxir,0.281554368,0.892083406,0.787392783,0.929825211,0.952574325,0.072639847,0.787259483,0.19674273,0.119392116,0.828269911,0.514884716,0.083627709,0.024020797,0.430378091,0.999993491,0.005818286,0.016652475,0.071425142,0.248275366,0.027446348,0.262267762,0.050182584,0.99412179,0.292938805,0.271452221,0.016795878,0.083942005,0.10219638,0.042128298,0.758270717,0.524381834,-4.675189995,135.0280434,75.42111776,35.2906829,-5.46339303,2.525619861,4.11292112,107.3380338,-4.83895467,15.77571447,False,False,no
