Drug,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Arrhythmia,heart_damage,Concern
Amiodarone,645.31,31,15,0.4,11,4,0,144.33,42.68,5.26,7.57,6.94,4.45,8.24,6.49,-8.24,3.7e-06,5.73e-09,-8.3,3.21e-06,4.98e-09,-10.36,2.82e-08,4.37e-11,0,0,1,0,0,0,0,0,-4.86,2,3,1,1,2,0.17,0,1,3,4.0,True,True,less
Bortezomib,384.24,28,12,0.37,11,6,4,105.3,124.44,0.0,1.42,0.36,-0.8,0.12,0.22,-2.71,0.753,0.00196,-3.64,0.0884,0.00023,-4.73,0.00722,1.88e-05,1,0,1,0,0,0,0,0,-7.64,0,0,1,0,0,0.55,0,1,2,3.61,True,True,most
Chlorpromazine,318.86,21,12,0.29,4,1,0,95.08,31.78,3.47,5.19,4.51,4.35,3.94,4.29,-5.25,0.00181,5.68e-06,-5.6,0.000793,2.49e-06,-6.28,0.000169,5.31e-07,1,1,0,1,1,1,1,0,-4.56,1,0,0,0,1,0.55,0,0,1,3.12,True,True,less
Cobimetinib,531.31,30,12,0.38,5,6,3,122.92,64.6,3.36,3.88,4.28,4.08,4.71,4.06,-5.54,0.00152,2.85e-06,-4.93,0.00618,1.16e-05,-7.28,2.81e-05,5.28e-08,1,1,1,1,0,0,1,1,-6.79,1,1,0,0,0,0.55,0,1,2,3.66,False,True,most
Daunorubicin,527.52,38,12,0.44,4,11,5,131.5,185.84,2.94,1.83,0.7,-1.35,1.77,1.18,-4.23,0.0308,5.85e-05,-5.35,0.00234,4.44e-06,-4.04,0.0482,9.14e-05,0,0,1,0,0,0,0,0,-8.22,2,2,1,1,2,0.17,1,1,1,5.77,False,True,most
Doxorubicin,543.52,39,12,0.44,5,12,6,132.66,206.07,2.58,1.27,-0.32,-2.1,1.17,0.52,-3.91,0.0672,0.000124,-5.2,0.00346,6.36e-06,-3.46,0.187,0.000344,0,0,1,0,0,0,0,0,-8.71,3,2,1,1,3,0.17,1,1,1,5.81,True,True,most
Epirubicin,543.52,39,12,0.44,5,12,6,132.66,206.07,2.5,1.27,-0.32,-2.1,1.17,0.5,-3.91,0.0672,0.000124,-5.2,0.00346,6.36e-06,-3.46,0.187,0.000344,0,0,1,0,0,0,0,0,-8.71,3,2,1,1,3,0.17,1,1,1,5.81,True,True,most
Erlotinib,393.44,29,16,0.27,10,6,1,111.4,74.73,3.67,3.31,3.48,1.48,4.06,3.2,-4.11,0.0303,7.71e-05,-4.56,0.011,2.78e-05,-7.26,2.15e-05,5.46e-08,1,1,0,1,1,1,1,1,-6.35,0,0,0,0,0,0.55,0,1,2,3.19,False,False,no
Etomoxir,326.82,22,6,0.59,11,4,0,86.31,48.06,0.0,4.26,4.0,2.79,5.2,3.25,-4.03,0.0308,9.42e-05,-4.98,0.00341,1.04e-05,-5.92,0.000394,1.21e-06,1,1,1,1,0,0,0,0,-5.27,0,0,1,0,0,0.55,0,1,2,3.22,False,False,no
Gemcitibine,263.2,18,6,0.56,2,7,3,54.83,110.6,0.61,-1.46,-0.76,-1.2,-0.94,-0.75,-0.67,56.7,0.215,-0.36,115.0,0.438,-0.34,121.0,0.459,1,0,0,0,0,0,0,0,-8.94,0,1,0,0,0,0.55,0,0,0,3.71,True,True,less
