SMILES,HD
CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,1
CC(C[C@@H](B(O)O)NC(=O)[C@@H](NC(=O)c1cnccn1)Cc1ccccc1)C,1
CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,1
Ic1ccc(c(c1)F)Nc1c(ccc(c1F)F)C(=O)N1CC(C1)(O)[C@@H]1CCCCN1,1
COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)[C@@H](O[C@H]1C[C@H](N)[C@@H]([C@@H](O1)C)O)C[C@](C2)(O)C(=O)C,1
OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,1
OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,1
COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C,0
CCOC(=O)[C@]1(CCCCCCOc2ccc(cc2)Cl)OC1,0
OC[C@H]1O[C@H](C([C@@H]1O)(F)F)n1ccc(nc1=O)N,1
C=CC(=O)N1CCC[C@H](C1)n1nc(c2c1ncnc2N)c1ccc(cc1)Oc1ccccc1,1
CC(Cc1ccc(cc1)C(C(=O)O)C)C,1
CC(NCC(c1ccc(c(c1)O)O)O)C,1
CC(COc1c(C)cccc1C)N,0
COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OC)C,1
ONC(=O)/C=C/c1ccc(cc1)CNCCc1c(C)[nH]c2c1cccc2,1
O=C1NC(=O)C(S1)Cc1ccc(cc1)OCCN(c1ccccn1)C,1
CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,1
CCN(CCNC(=O)c1c(C)[nH]c(c1C)/C=C/1\C(=O)Nc2c1cc(F)cc2)CC,1
COc1cc2c(ncnc2cc1OCC1CCN(CC1)C)Nc1ccc(cc1F)Br,1
O=CN1c2cc(OC)c(cc2[C@]23[C@@H]1[C@@](O)(C(=O)OC)[C@H](OC(=O)C)[C@]1([C@@H]3N(CC2)CC=C1)CC)[C@]1(C[C@@H]2CN(CCc3c1[nH]c1c3cccc1)C[C@](C2)(O)CC)C(=O)OC,1
O=C1OCC(=C1c1ccccc1)c1ccc(cc1)S(=O)(=O)C,1
ONC(=O)CCCCCCC(=O)Nc1ccccc1,1
