Feature,MeanSHAP,MeanAbsSHAP
CYP2D6 Substrate,0.7552656776740898,0.8373086703418864
Nrf2-Antioxidant Responsive Element,0.47707956909410576,0.47707956909410576
Heat Shock Factor Response Element,0.23086437582104824,0.30003008518553115
Hydration Free Energy,0.12880015979952847,0.18086828179023787
CYP1A2 Inhibition,0.08246055168040492,0.1221535124784866
Drug Induced Liver Injury,-0.1465408414233597,0.1846619747631196
Human Intestinal Absorption,-0.21923844086473876,0.2543038946343342
Aromatase,-0.23261666436691497,0.27987684849927363
Aqueous Solubility,-0.23430219109185407,0.3212085130039096
CYP2D6 Inhibition,-0.3523531173812069,0.4219116849715333
