Feature,MeanSHAP,MeanAbsSHAP
Human Intestinal Absorption,3.2004185702421193,3.3665289545434387
Aryl Hydrocarbon Receptor,0.005099944969477645,2.457572612599027
CYP2D6 Substrate,0.9081613744044109,1.585620255694916
Oral Bioavailability,-0.9458516447284301,1.1988225876781438
Hydration Free Energy,-0.9352097963776852,0.9352097963776852
PAMPA Permeability,-0.7159870608041782,0.7402754241051583
Nrf2-Antioxidant Responsive Element,-0.642275711285499,0.642275711285499
CYP3A4 Inhibition,-0.5318459859938057,0.5318459859938057
CYP2D6 Inhibition,-0.45065625867728265,0.45065625867728265
Androgen Receptor (Full Length),-0.2936275744161339,0.3276334371506388
