Equation,Target,Model,Accuracy,AUC,N_samples,N_features,Confusion_Matrix
dual_exponential,Arrhythmia,XGBoost,0.56,0.6753246753246753,25,22,"[[4, 7], [4, 10]]"
dual_exponential,Arrhythmia,SVM_RBF,0.52,0.44155844155844154,25,22,"[[3, 8], [4, 10]]"
dual_exponential,Arrhythmia,RandomForest,0.6,0.5584415584415585,25,22,"[[3, 8], [2, 12]]"
dual_exponential,Arrhythmia,GaussianNB,0.48,0.43506493506493504,25,22,"[[4, 7], [6, 8]]"
dual_exponential,heart_damage,XGBoost,0.56,0.48000000000000004,25,22,"[[1, 4], [7, 13]]"
dual_exponential,heart_damage,SVM_RBF,0.68,0.16999999999999998,25,22,"[[0, 5], [3, 17]]"
dual_exponential,heart_damage,RandomForest,0.76,0.43500000000000005,25,22,"[[0, 5], [1, 19]]"
dual_exponential,heart_damage,GaussianNB,0.72,0.45999999999999996,25,22,"[[1, 4], [3, 17]]"
dual_exponential,Concern_Binary,XGBoost,0.48,0.47333333333333333,25,22,"[[2, 8], [5, 10]]"
dual_exponential,Concern_Binary,SVM_RBF,0.56,0.3066666666666667,25,22,"[[2, 8], [3, 12]]"
dual_exponential,Concern_Binary,RandomForest,0.56,0.39,25,22,"[[1, 9], [2, 13]]"
dual_exponential,Concern_Binary,GaussianNB,0.6,0.6566666666666667,25,22,"[[7, 3], [7, 8]]"
bivariate_gaussian,Arrhythmia,XGBoost,0.68,0.6233766233766234,25,26,"[[7, 4], [4, 10]]"
bivariate_gaussian,Arrhythmia,SVM_RBF,0.64,0.6038961038961039,25,26,"[[6, 5], [4, 10]]"
bivariate_gaussian,Arrhythmia,RandomForest,0.64,0.5,25,26,"[[5, 6], [3, 11]]"
bivariate_gaussian,Arrhythmia,GaussianNB,0.48,0.525974025974026,25,26,"[[4, 7], [6, 8]]"
bivariate_gaussian,heart_damage,XGBoost,0.64,0.29000000000000004,25,26,"[[0, 5], [4, 16]]"
bivariate_gaussian,heart_damage,SVM_RBF,0.72,0.8400000000000001,25,26,"[[0, 5], [2, 18]]"
bivariate_gaussian,heart_damage,RandomForest,0.76,0.55,25,26,"[[0, 5], [1, 19]]"
bivariate_gaussian,heart_damage,GaussianNB,0.68,0.36,25,26,"[[0, 5], [3, 17]]"
bivariate_gaussian,Concern_Binary,XGBoost,0.6,0.54,25,26,"[[4, 6], [4, 11]]"
bivariate_gaussian,Concern_Binary,SVM_RBF,0.36,0.44,25,26,"[[2, 8], [8, 7]]"
bivariate_gaussian,Concern_Binary,RandomForest,0.56,0.5399999999999999,25,26,"[[2, 8], [3, 12]]"
bivariate_gaussian,Concern_Binary,GaussianNB,0.48,0.4433333333333333,25,26,"[[3, 7], [6, 9]]"
gaussian_hill_hybrid,Arrhythmia,XGBoost,0.76,0.8571428571428572,25,20,"[[8, 3], [3, 11]]"
gaussian_hill_hybrid,Arrhythmia,SVM_RBF,0.48,0.474025974025974,25,20,"[[3, 8], [5, 9]]"
gaussian_hill_hybrid,Arrhythmia,RandomForest,0.8,0.8279220779220778,25,20,"[[7, 4], [1, 13]]"
gaussian_hill_hybrid,Arrhythmia,GaussianNB,0.52,0.48376623376623373,25,20,"[[6, 5], [7, 7]]"
gaussian_hill_hybrid,heart_damage,XGBoost,0.44,0.3,25,20,"[[1, 4], [10, 10]]"
gaussian_hill_hybrid,heart_damage,SVM_RBF,0.76,0.7100000000000001,25,20,"[[3, 2], [4, 16]]"
gaussian_hill_hybrid,heart_damage,RandomForest,0.76,0.39,25,20,"[[0, 5], [1, 19]]"
gaussian_hill_hybrid,heart_damage,GaussianNB,0.68,0.6299999999999999,25,20,"[[3, 2], [6, 14]]"
gaussian_hill_hybrid,Concern_Binary,XGBoost,0.48,0.5666666666666667,25,20,"[[5, 5], [8, 7]]"
gaussian_hill_hybrid,Concern_Binary,SVM_RBF,0.44,0.4066666666666666,25,20,"[[4, 6], [8, 7]]"
gaussian_hill_hybrid,Concern_Binary,RandomForest,0.52,0.5466666666666666,25,20,"[[2, 8], [4, 11]]"
gaussian_hill_hybrid,Concern_Binary,GaussianNB,0.52,0.4733333333333334,25,20,"[[3, 7], [5, 10]]"
modified_hill_hormesis,Arrhythmia,XGBoost,0.72,0.6753246753246753,25,18,"[[9, 2], [5, 9]]"
modified_hill_hormesis,Arrhythmia,SVM_RBF,0.68,0.5129870129870129,25,18,"[[6, 5], [3, 11]]"
modified_hill_hormesis,Arrhythmia,RandomForest,0.68,0.6785714285714286,25,18,"[[6, 5], [3, 11]]"
modified_hill_hormesis,Arrhythmia,GaussianNB,0.72,0.6103896103896104,25,18,"[[6, 5], [2, 12]]"
modified_hill_hormesis,heart_damage,XGBoost,0.4,0.32,25,18,"[[0, 5], [10, 10]]"
modified_hill_hormesis,heart_damage,SVM_RBF,0.72,0.5399999999999999,25,18,"[[1, 4], [3, 17]]"
modified_hill_hormesis,heart_damage,RandomForest,0.76,0.33,25,18,"[[0, 5], [1, 19]]"
modified_hill_hormesis,heart_damage,GaussianNB,0.48,0.33999999999999997,25,18,"[[1, 4], [9, 11]]"
modified_hill_hormesis,Concern_Binary,XGBoost,0.56,0.6133333333333333,25,18,"[[6, 4], [7, 8]]"
modified_hill_hormesis,Concern_Binary,SVM_RBF,0.64,0.5,25,18,"[[5, 5], [4, 11]]"
modified_hill_hormesis,Concern_Binary,RandomForest,0.64,0.49333333333333335,25,18,"[[3, 7], [2, 13]]"
modified_hill_hormesis,Concern_Binary,GaussianNB,0.36,0.32,25,18,"[[7, 3], [13, 2]]"
gaussian_ridge,Arrhythmia,XGBoost,0.52,0.6883116883116883,25,22,"[[6, 5], [7, 7]]"
gaussian_ridge,Arrhythmia,SVM_RBF,0.52,0.4805194805194805,25,22,"[[7, 4], [8, 6]]"
gaussian_ridge,Arrhythmia,RandomForest,0.6,0.6038961038961038,25,22,"[[5, 6], [4, 10]]"
gaussian_ridge,Arrhythmia,GaussianNB,0.32,0.24675324675324678,25,22,"[[2, 9], [8, 6]]"
gaussian_ridge,heart_damage,XGBoost,0.68,0.38000000000000006,25,22,"[[1, 4], [4, 16]]"
gaussian_ridge,heart_damage,SVM_RBF,0.68,0.38,25,22,"[[1, 4], [4, 16]]"
gaussian_ridge,heart_damage,RandomForest,0.8,0.26,25,22,"[[0, 5], [0, 20]]"
gaussian_ridge,heart_damage,GaussianNB,0.68,0.56,25,22,"[[2, 3], [5, 15]]"
gaussian_ridge,Concern_Binary,XGBoost,0.52,0.5466666666666667,25,22,"[[5, 5], [7, 8]]"
gaussian_ridge,Concern_Binary,SVM_RBF,0.48,0.3466666666666666,25,22,"[[3, 7], [6, 9]]"
gaussian_ridge,Concern_Binary,RandomForest,0.48,0.3966666666666666,25,22,"[[3, 7], [6, 9]]"
gaussian_ridge,Concern_Binary,GaussianNB,0.48,0.32,25,22,"[[4, 6], [7, 8]]"
adaptive_response,Arrhythmia,XGBoost,0.64,0.6493506493506493,25,12,"[[6, 5], [4, 10]]"
adaptive_response,Arrhythmia,SVM_RBF,0.56,0.5584415584415584,25,12,"[[4, 7], [4, 10]]"
adaptive_response,Arrhythmia,RandomForest,0.64,0.6363636363636364,25,12,"[[4, 7], [2, 12]]"
adaptive_response,Arrhythmia,GaussianNB,0.56,0.5844155844155844,25,12,"[[5, 6], [5, 9]]"
adaptive_response,heart_damage,XGBoost,0.68,0.76,25,12,"[[1, 4], [4, 16]]"
adaptive_response,heart_damage,SVM_RBF,0.68,0.37,25,12,"[[1, 4], [4, 16]]"
adaptive_response,heart_damage,RandomForest,0.8,0.44999999999999996,25,12,"[[0, 5], [0, 20]]"
adaptive_response,heart_damage,GaussianNB,0.64,0.22,25,12,"[[0, 5], [4, 16]]"
adaptive_response,Concern_Binary,XGBoost,0.48,0.5666666666666667,25,12,"[[4, 6], [7, 8]]"
adaptive_response,Concern_Binary,SVM_RBF,0.72,0.6599999999999999,25,12,"[[5, 5], [2, 13]]"
adaptive_response,Concern_Binary,RandomForest,0.64,0.6066666666666666,25,12,"[[3, 7], [2, 13]]"
adaptive_response,Concern_Binary,GaussianNB,0.6,0.5866666666666667,25,12,"[[6, 4], [6, 9]]"
biphasic_response,Arrhythmia,XGBoost,0.4,0.36363636363636365,25,18,"[[4, 7], [8, 6]]"
biphasic_response,Arrhythmia,SVM_RBF,0.52,0.27922077922077926,25,18,"[[3, 8], [4, 10]]"
biphasic_response,Arrhythmia,RandomForest,0.44,0.24675324675324672,25,18,"[[2, 9], [5, 9]]"
biphasic_response,Arrhythmia,GaussianNB,0.72,0.5,25,18,"[[5, 6], [1, 13]]"
biphasic_response,heart_damage,XGBoost,0.4,0.13999999999999999,25,18,"[[0, 5], [10, 10]]"
biphasic_response,heart_damage,SVM_RBF,0.68,0.36,25,18,"[[1, 4], [4, 16]]"
biphasic_response,heart_damage,RandomForest,0.8,0.16,25,18,"[[0, 5], [0, 20]]"
biphasic_response,heart_damage,GaussianNB,0.36,0.23,25,18,"[[1, 4], [12, 8]]"
biphasic_response,Concern_Binary,XGBoost,0.56,0.5,25,18,"[[6, 4], [7, 8]]"
biphasic_response,Concern_Binary,SVM_RBF,0.56,0.5399999999999999,25,18,"[[5, 5], [6, 9]]"
biphasic_response,Concern_Binary,RandomForest,0.52,0.5066666666666666,25,18,"[[2, 8], [4, 11]]"
biphasic_response,Concern_Binary,GaussianNB,0.44,0.45999999999999996,25,18,"[[8, 2], [12, 3]]"
cumulative_exposure,Arrhythmia,XGBoost,0.68,0.6233766233766234,25,10,"[[7, 4], [4, 10]]"
cumulative_exposure,Arrhythmia,SVM_RBF,0.4,0.4675324675324675,25,10,"[[3, 8], [7, 7]]"
cumulative_exposure,Arrhythmia,RandomForest,0.6,0.5811688311688312,25,10,"[[5, 6], [4, 10]]"
cumulative_exposure,Arrhythmia,GaussianNB,0.56,0.5844155844155844,25,10,"[[0, 11], [0, 14]]"
cumulative_exposure,heart_damage,XGBoost,0.44,0.27999999999999997,25,10,"[[0, 5], [9, 11]]"
cumulative_exposure,heart_damage,SVM_RBF,0.6,0.55,25,10,"[[3, 2], [8, 12]]"
cumulative_exposure,heart_damage,RandomForest,0.8,0.12999999999999998,25,10,"[[0, 5], [0, 20]]"
cumulative_exposure,heart_damage,GaussianNB,0.4,0.565,25,10,"[[3, 2], [13, 7]]"
cumulative_exposure,Concern_Binary,XGBoost,0.64,0.6400000000000001,25,10,"[[5, 5], [4, 11]]"
cumulative_exposure,Concern_Binary,SVM_RBF,0.76,0.74,25,10,"[[5, 5], [1, 14]]"
cumulative_exposure,Concern_Binary,RandomForest,0.56,0.62,25,10,"[[3, 7], [4, 11]]"
cumulative_exposure,Concern_Binary,GaussianNB,0.68,0.8066666666666666,25,10,"[[3, 7], [1, 14]]"
recovery_model,Arrhythmia,XGBoost,0.68,0.7207792207792207,25,8,"[[8, 3], [5, 9]]"
recovery_model,Arrhythmia,SVM_RBF,0.6,0.6948051948051948,25,8,"[[4, 7], [3, 11]]"
recovery_model,Arrhythmia,RandomForest,0.52,0.6623376623376623,25,8,"[[4, 7], [5, 9]]"
recovery_model,Arrhythmia,GaussianNB,0.48,0.6688311688311688,25,8,"[[11, 0], [13, 1]]"
recovery_model,heart_damage,XGBoost,0.32,0.24999999999999997,25,8,"[[0, 5], [12, 8]]"
recovery_model,heart_damage,SVM_RBF,0.4,0.09999999999999999,25,8,"[[0, 5], [10, 10]]"
recovery_model,heart_damage,RandomForest,0.72,0.2,25,8,"[[0, 5], [2, 18]]"
recovery_model,heart_damage,GaussianNB,0.36,0.31999999999999995,25,8,"[[2, 3], [13, 7]]"
recovery_model,Concern_Binary,XGBoost,0.56,0.6,25,8,"[[5, 5], [6, 9]]"
recovery_model,Concern_Binary,SVM_RBF,0.72,0.6933333333333334,25,8,"[[6, 4], [3, 12]]"
recovery_model,Concern_Binary,RandomForest,0.6,0.5866666666666667,25,8,"[[3, 7], [3, 12]]"
recovery_model,Concern_Binary,GaussianNB,0.44,0.3933333333333333,25,8,"[[8, 2], [12, 3]]"
