# Equation: Adaptive Response (Eq6)
# R(C,t) = R_0 + E_{max} C^n/(EC_{50}^n+C^n) \cdot e^{-t/\tau_{adapt}} (1-e^{-t/\tau_{onset}})
# Parameters: ['R0', 'Emax', 'EC50_norm', 'n', 'tau_onset', 'tau_adapt']
#
Drug,Contractility,,,,,,,,,,,,,O2,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,EC50_norm,n,tau_onset,tau_adapt,Cmax_used,R2,N_points,,R0,Emax,EC50_norm,n,tau_onset,tau_adapt,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.0847718459901817,0.1458953892513523,0.0642660359328106,5.999999999999999,6.621522060890333,14.855975873545429,0.29,0.2944057995644309,296,,10.06582225149926,99.99999999948074,0.0100000000000007,0.2489030454166468,95.99999999979504,95.9999999999999,0.29,0.2290472650792575,296
Doxorubicin,true,true,most,0.0591010392948399,0.1872382647608648,2.0,0.6542885385759686,11.887918626341978,95.99999994582495,0.13,0.1857712942903689,259,,9.744496956970671,100.0,2.0,2.655050957149489,55.72453906729212,96.0,0.13,0.5596405187537292,259
Epirubicin,true,true,most,0.0499266111821537,0.1975164303104388,2.0,0.907606743682048,9.079178047453215,95.9999999946656,0.45,0.469147999400781,296,,20.9552210006859,100.0,1.7740670225373965,1.2580398736222314,52.45706357896765,96.0,0.45,0.5578188751803044,296
Ibrutinib,true,true,most,0.1015796649799571,0.0520257216608373,1.2672664602740655,5.999999999999999,3.558040018854257,95.9999999214423,0.53,0.1667806081001647,296,,11.204201578752844,99.99999806576784,0.054969730487089,0.275637460707099,68.98531828587097,95.99999999999557,0.53,0.341120336266197,296
Isoproterenol,true,true,most,0.0874048120673545,0.1993986134501325,1.9999999932750552,3.392238535497408,63.033580664894224,14.170659991679306,0.013,0.0173529007940302,238,,9.816049659770748,51.77458805014367,0.0248598498236797,4.864300982478276,95.99999999998552,95.99999999986753,0.013,0.0905733457759587,238
Panobinostat,true,true,most,0.0786329243422565,0.098166924358374,0.2831908715859582,5.999999999999999,5.689868925887774,96.0,0.063,0.5789625193361787,259,,9.549547511921906,100.0,0.0100000000000004,0.1844472586571592,95.99999999944788,95.99999999993732,0.063,0.1643592478410313,259
Sotalol,true,true,most,0.0907309600904863,0.0972514402482751,0.01,5.999999999999999,14.757259968305794,14.24624659028436,3.2,0.0590436608511201,272,,24.73820177771041,75.5077241161609,1.1434381153794535,5.999999999999999,95.47761409108313,95.99999965534016,3.2,0.4655746094780721,272
Sunitinib,true,true,most,0.0642052197335591,0.0975909213206956,0.01,5.999999999999999,21.61390795304518,9.454530911748828,0.15,0.0140498310718754,296,,19.43255283212025,90.21031677443546,2.0,5.999999999999998,96.0,95.99999999999996,0.15,0.3886783105548871,296
Vandetanib,true,true,most,0.1138695725838131,0.1726721840315855,0.5540026838441919,5.999999999999999,14.975712321587732,14.219984144669295,1.2,0.0803222160329064,296,,10.304513494214696,100.0,0.0981534284798168,0.7477784514964324,52.57386406160461,96.0,1.2,0.3992707084727984,296
Cobimetinib,false,true,most,0.0569668645025655,0.0413825749431114,0.2743266962546391,5.999999999999999,0.1000000002940116,95.99999999953812,0.53,0.1704323626474106,296,,16.840129579088284,100.0,0.7105573256202496,0.9540908107437196,50.52677036061469,96.0,0.53,0.5426592111693721,296
