Drug,R0,Emax,EC50_norm,n,tau_onset,tau_adapt,Cmax_used,R2,N_points
Amiodarone,0.06268862808068411,0.05827582076745591,0.010000000000000002,5.999999999999999,7.021712081197066,19.97420383044383,2.8,0.048196998069189645,255
Bortezomib,0.08477184599018175,0.14589538925135234,0.06426603593281069,5.999999999999999,6.621522060890333,14.855975873545429,0.29,0.2944057995644309,296
Chlorpromazine,0.08611286496115689,0.05324319583421163,0.010000000000000002,5.999999999999999,3.101900020274098,26.758089892563827,2.5,0.046100797073913014,272
Cobimetinib,0.05696686450256557,0.041382574943111455,0.2743266962546391,5.999999999999999,0.10000000029401167,95.99999999953812,0.53,0.17043236264741068,296
Dactinomycin,0.06608926351221184,0.07193026720359084,1.9999999999499354,0.4249107929738916,1.4775989709842714,38.29528801872976,0.034,0.09875445441673303,272
Daunorubicin,0.0975567265558622,0.19999999999999998,1.9999999999999998,1.9583751528072968,20.58117139910639,95.99999999999999,0.24,0.7930384864880649,259
Doxorubicin,0.05910103929483995,0.18723826476086486,1.9999999999999998,0.6542885385759686,11.887918626341978,95.99999994582497,0.13,0.18577129429036898,259
Epirubicin,0.04992661118215374,0.19751643031043883,1.9999999999999998,0.907606743682048,9.079178047453215,95.99999999466559,0.45,0.469147999400781,296
Erlotinib,0.06914605940544499,0.04971215039746447,1.6334488041821227,5.999999999999999,95.99999944943465,95.99999999999815,0.65,0.07336852323507137,296
Etomoxir,0.06242309728541258,0.023842093115758467,0.01364012860247104,5.95112534013477,1.2652657703736463,16.45821020330703,0.1,0.01123082371486972,272
Gemcitibine,0.0738193794123438,0.19999999999999998,0.26389935619778376,5.999999999999999,19.802085448752347,17.870926802494647,20.0,0.14089350460151717,264
Ibrutinib,0.10157966497995714,0.052025721660837326,1.2672664602740655,5.999999999999999,3.558040018854257,95.9999999214423,0.53,0.1667806081001647,296
Ibuprofen,0.004586621675849829,0.011274766408514231,0.8158015509880067,5.999999998590975,95.9999999997859,95.99999994583175,150.0,0.07039503759837618,648
Isoproterenol,0.08740481206735452,0.1993986134501325,1.9999999932750552,3.3922385354974076,63.033580664894224,14.170659991679306,0.013,0.01735290079403029,238
Mexiletine,0.0723941989569883,0.09069165818697317,0.3087256872464425,5.999999999999999,3.0476639453021876,95.99999999999999,3.6,0.3077137469261445,272
Nifedipine,0.052486329795925435,0.03794616103346009,0.2038052722144122,5.999999999999999,0.33738889597626254,95.99627301198555,0.39,0.12456468657924624,272
Panobinostat,0.0786329243422565,0.09816692435837408,0.2831908715859582,5.999999999999999,5.689868925887774,95.99999999999999,0.063,0.5789625193361787,259
Plicamycin,0.042956117410962155,0.05155764699218868,1.4177117796268375,5.999999999999998,2.0726391665246355,95.99987818246218,0.15,0.10305289904387027,272
Rosiglitazone,0.0030699775016262533,0.004705848465216603,0.6154527016874454,5.99999999999664,3.780454588510888,20.72193894974166,0.85,0.11291701675818844,612
Sotalol,0.09073096009048633,0.09725144024827516,0.010000000000000002,5.999999999999999,14.757259968305794,14.24624659028436,3.2,0.05904366085112012,272
Sunitinib,0.06420521973355915,0.09759092132069565,0.010000000000000002,5.999999999999999,21.61390795304518,9.454530911748828,0.15,0.014049831071875407,296
Vandetanib,0.11386957258381317,0.17267218403158552,0.5540026838441919,5.999999999999999,14.975712321587732,14.219984144669295,1.2,0.08032221603290646,296
Vincristine,0.06903454072490374,0.14935617543804122,1.9999999999999998,0.35564945842973494,83.71015809270023,35.9762173386987,0.063,0.014243507531655486,263
Vioxx,0.0036229954502328588,0.00232635167803998,0.01856106287383595,5.999994770061112,0.8172718416518492,16.739768520808965,0.66,0.05656755134942071,588
Vorinostat,0.05677193803624699,0.07910662683243419,0.04919659113832008,5.999999999999999,15.088985226468273,13.262058516148128,1.5,0.05812915341318048,296
