Drug,R0,Emax,EC50_norm,n,tau_onset,tau_adapt,Cmax_used,R2,N_points
Amiodarone,21.025300561196662,99.99999999999999,1.714972711360798,2.876313701838929,56.41707522737584,95.99999999999999,2.8,0.6472289924913689,255
Bortezomib,10.06582225149926,99.99999999948074,0.010000000000000724,0.24890304541664682,95.99999999979505,95.9999999999999,0.29,0.22904726507925754,296
Chlorpromazine,18.173519477094768,99.99999999999973,1.9999999999999998,3.497485281983746,45.010068471973646,95.99999999999999,2.5,0.6728895364686014,272
Cobimetinib,16.840129579088284,99.99999999999999,0.7105573256202496,0.9540908107437197,50.526770360614684,95.99999999999999,0.53,0.5426592111693721,296
Dactinomycin,24.999999999999996,99.99999999999999,0.3736923453988938,1.367414243727344,48.57553852457428,95.99999999999999,0.034,0.5718193689164677,272
Daunorubicin,8.112710429950537,99.99999999971229,1.9999999999988072,1.2101069724132765,50.13481767070165,95.99999999999989,0.24,0.544121022178069,259
Doxorubicin,9.744496956970671,99.99999999999999,1.9999999999999998,2.655050957149489,55.72453906729212,95.99999999999999,0.13,0.5596405187537292,259
Epirubicin,20.9552210006859,99.99999999999999,1.7740670225373965,1.2580398736222314,52.45706357896765,95.99999999999999,0.45,0.5578188751803044,296
Erlotinib,13.48609006393078,99.99999999999999,1.5727864108376437,0.7467798499855193,56.63438179566993,95.99999999999999,0.65,0.4999887104987677,296
Etomoxir,18.26381587713821,99.99999323110484,1.9999999999993776,0.4664051423505631,79.26848501375609,95.99999999998813,0.1,0.2227206107499825,272
Gemcitibine,23.512547615542438,99.99999996176386,0.6554815944138513,5.999999999999999,89.51983949064517,74.20532391488241,20.0,0.2432778451341141,264
Ibrutinib,11.204201578752844,99.99999806576785,0.05496973048708903,0.275637460707099,68.98531828587097,95.99999999999555,0.53,0.341120336266197,296
Ibuprofen,24.999999999999996,81.8947626650843,1.9999999999026445,0.24933801124262786,4.042403943267251,67.26414015996605,150.0,0.31176535964449315,648
Isoproterenol,9.816049659770748,51.77458805014367,0.02485984982367978,4.864300982478276,95.99999999998552,95.99999999986751,0.013,0.09057334577595877,238
Mexiletine,24.957712040444477,87.42599546540747,1.9999999999999998,5.999999999999999,95.99999701918779,76.64991339080986,3.6,0.31938222862817045,272
Nifedipine,12.717796129321933,99.99999999999999,1.9999999999999998,0.9690500538236676,76.56574748427693,95.99999999999632,0.39,0.34043548714330873,272
Panobinostat,9.549547511921906,99.99999999999999,0.010000000000000467,0.18444725865715922,95.99999999944788,95.99999999993732,0.063,0.1643592478410313,259
Plicamycin,16.548131954076023,99.99999985305682,1.9999999997342228,0.7688159612092895,69.13497131666318,95.99999999999876,0.15,0.37068579677293334,272
Rosiglitazone,24.999999999999996,67.77980373268477,1.9999999990727115,0.16301049533278225,17.581340603178692,95.99999999999999,0.85,-0.13693018191158868,612
Sotalol,24.738201777710415,75.5077241161609,1.1434381153794535,5.999999999999999,95.47761409108311,95.99999965534016,3.2,0.46557460947807217,272
Sunitinib,19.432552832120255,90.21031677443546,1.9999999999999998,5.999999999999998,95.99999999999999,95.99999999999996,0.15,0.3886783105548871,296
Vandetanib,10.304513494214696,99.99999999999999,0.09815342847981685,0.7477784514964324,52.57386406160461,95.99999999999999,1.2,0.39927070847279844,296
Vincristine,8.248478535283752,81.30972447830175,1.9999999999999998,5.999999999999985,95.99999999994992,95.99999997642668,0.063,0.12123293675670399,263
Vioxx,24.999999999999996,66.80128671094853,0.028117626413974063,5.999999999999999,36.01029976152663,28.57242025492191,0.66,0.28069702488170667,588
Vorinostat,12.471080342204209,99.99999999999959,0.164952271742264,0.7217679022267949,85.09742902436533,95.99999999999999,1.5,0.32859055977646845,296
