# Equation: Biphasic Response (Eq7)
# R(C,t) = R_0 + E_{stim} C^{n_1}/(EC_{50,stim}^{n_1}+C^{n_1})(1-e^{-t/\tau_{stim}}) - E_{inhib} C^{n_2}/(IC_{50}^{n_2}+C^{n_2})(1-e^{-t/\tau_{inhib}})
# Parameters: ['R0', 'E_stim', 'E_inhib', 'EC50_stim_norm', 'IC50_norm', 'n1', 'n2', 'tau_stim', 'tau_inhib']
#
Drug,Contractility,,,,,,,,,,,,,,,,O2,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,E_stim,E_inhib,EC50_stim_norm,IC50_norm,n1,n2,tau_stim,tau_inhib,Cmax_used,R2,N_points,,R0,E_stim,E_inhib,EC50_stim_norm,IC50_norm,n1,n2,tau_stim,tau_inhib,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.1183459722487124,0.0999999999999999,0.0905688670883174,1.9999999980638656,0.0612867028574618,0.2971906981211457,5.999999999999999,3.781757711990559,29.51130153109872,0.29,0.387281937385772,296,,9.730147101075774,49.999999740583526,23.123948444265675,0.0756293157353241,0.1696308755885235,0.8764792850047157,5.999999999999973,32.8071394919112,29.75954753903779,0.29,0.3196284918615035,296
Doxorubicin,true,true,most,0.108221498557813,0.0999999999999999,0.0609219517202817,2.0,1.2638061749851708,1.0176676962005269,5.999999999999999,0.5717190614439176,0.4178313108993819,0.13,0.2359868121850893,259,,14.045530433599026,49.9999999999916,10.138907754436431,2.0,0.0320670040560506,1.6414737197681832,5.94986253910191,27.523912131130157,5.214334420171403,0.13,0.6993954595092693,259
Epirubicin,true,true,most,0.0859473517350526,0.0999999999999999,0.0617046306751536,1.999999999999988,0.01,1.0556407666051248,5.999999999999997,6.50622253065727,67.79897456023266,0.45,0.4722893562628247,296,,17.966277749601048,49.99999999999999,6.952210498728753e-18,1.5868234195621826,1.99976958298796,1.063071445319374,0.1000005812757058,31.580096743950318,95.99999773810178,0.45,0.6806239631152414,296
Ibrutinib,true,true,most,0.1113832857775843,0.0999999999999999,0.1040561109007865,1.3038338792343414,2.0,5.999999999999997,1.547513268100934,0.5311341139419252,1.809211351495989,0.53,0.4645461043487217,296,,21.00614329952773,49.99999999999999,18.53682838450683,1.999999391013013,1.0668169217185195,0.7749094106832797,3.484184741532469,21.4493623202344,4.944083319184241,0.53,0.449090005721995,296
Isoproterenol,true,true,most,0.0886377310745673,0.0999999999999991,0.1071641850161294,1.9999999999995404,1.999999999985724,2.506360285385925,1.40928978291642,11.241069097512286,16.681647172893573,0.013,0.0276841522248687,238,,19.17917189688056,49.99999989666146,48.2489644627769,1.9999981540072087,1.999999999999647,3.9234049442182832,1.553897675757918,12.314998180863896,5.7284602731544805,0.013,0.1704987834986495,238
Panobinostat,true,true,most,0.1212198899363317,0.0928701692804144,0.131934653102845,0.2644947396215229,0.01,5.999999999999999,0.1,11.10255498892359,20.76893902618048,0.063,0.7654866197577899,259,,15.50361797273104,49.99999970858007,21.570889607345915,0.1759296048745077,0.2627079709736781,1.3685194672918088,5.999999982240689,52.089185731813146,14.848523461379614,0.063,0.3299433491905468,259
Sotalol,true,true,most,0.0904039976025949,0.0999999999999994,0.1088936504692847,1.2678475790134025,1.996620602435097,5.999999999999999,5.999999999991613,4.197455831489055,7.48421800031336,3.2,0.5630958540451745,272,,24.999999999954337,49.99999999999921,23.187874278077285,0.7142382523126074,0.2042937049288173,0.8506953002489485,3.551542249670421,13.032125694938758,5.868033830847343,3.2,0.5061472306988388,272
Sunitinib,true,true,most,0.0770407512908538,0.0999999999999999,0.1466340249135572,0.9778584168086244,1.6954612647803555,5.999999999999999,5.168844905218135,1.7216514536838403,2.3637897634102893,0.15,0.6376370732006539,296,,23.060475161684607,49.99999999999999,17.65471668378552,1.7014276471839644,0.8630334627340516,5.9951720347207615,5.999999999999999,44.48043647588652,5.437075375968145,0.15,0.5530166644950401,296
Vandetanib,true,true,most,0.1146523870306833,0.0999999999999999,0.1553428465399007,0.0100000000001255,1.999999999999788,0.1000000000000983,0.2792097807788349,7.257437513049528,22.78805433509731,1.2,0.1132063406592897,296,,7.207840821784069,49.99999999999999,0.7207523688913556,0.1175946424972153,2.0,0.5752459176496199,5.999999999999999,26.127406676542225,95.99993513859228,1.2,0.4631489360056826,296
Cobimetinib,false,true,most,0.0560328279956322,0.0999999999475393,0.0866817489524481,0.3418365403934217,0.5701872813025126,5.999999999999999,5.999999999999999,2.373168587918943,5.672030524050545,0.53,0.5038800610437688,296,,19.691901997200624,49.99999999999999,12.225172298197371,0.6070736789349617,0.2685688458784322,1.2137598077643357,5.999999929172001,22.021603552685196,2.151375584937351,0.53,0.6551711483212155,296
Daunorubicin,false,true,most,0.1086505303790949,0.0999999999999999,0.0293536417557979,2.0,0.0100000000332587,1.973992370127442,4.327995331865831,9.007066216419357,96.0,0.24,0.7747496243091869,259,,5.399306442476066,49.999999999988816,1.2144328273256538e-08,1.999999999999992,0.3463162673837073,1.093416144486972,5.703962460511908,29.498328185956368,88.00314629372781,0.24,0.6747076003847806,259
Ibuprofen,false,true,most,0.0046873235779854,0.099999999999687,0.1043777656421375,0.3781109919631104,0.352548973298,4.673771850735871,5.999999999999999,83.1184095264192,96.0,150.0,0.134135878454081,648,,25.0,49.999999999344425,53.86561482058227,0.1029903797843465,0.0100000000000246,0.2120691811871206,0.1000000000015338,3.254399838690348,95.99999999999996,150.0,0.3325605495021164,648
Rosiglitazone,false,true,most,0.0039425400596057,0.0999999149036372,0.1015147424100903,0.7475154134571427,0.777941582503333,5.999999999999999,4.961609662959023,8.432350057005875,9.030682451108309,0.85,0.4264409710764879,612,,25.0,32.48675317181485,2.188150237993079e-19,1.9999999878452823,0.0161988227366574,0.169531748894782,5.56393610366196,0.7226749809579108,25.380983426773184,0.85,0.1574697608027931,612
Vioxx,false,true,most,0.0046892619075812,0.0036394733829467,0.0093997818302284,0.017493504716577,0.9242222355360344,5.999999999999999,0.1,4.4818314478498325,10.368228559475956,0.66,0.1666209929152752,588,,25.0,11.55259375770662,21.92851166154051,0.0418376571324819,1.575146097763361,3.6724170922065102,5.999999999999999,2.1910139007506837,96.0,0.66,0.3460870047280697,588
Mexiletine,true,false,most,0.0708881010423167,0.0856538642846318,0.0788012767740901,0.355495337547433,1.4093226731396975,5.999999999999999,5.999999999999999,2.29200165795601,50.82576124240411,3.6,0.3934658864553338,272,,23.32545121547818,49.99996478229164,30.068006596496485,1.0884495224407018,0.9796988701965216,2.3515726170493605,5.999999999999999,11.45064786429565,6.450471235911048,3.6,0.4215893260446435,272
Amiodarone,true,true,less,0.076606852014196,0.0999999999999999,0.1332630814214248,0.01,0.0502412157479626,5.999999999999999,1.1082376537900436,9.276652016953236,15.245276777529591,2.8,0.3799036822295749,255,,20.391430498374863,49.9999999998028,6.813691089850875e-16,1.757642580658962,1.9837686215925197,2.450992764589821,5.970647407407415,39.170811347002505,95.99999763384795,2.8,0.7111636206369059,255
Chlorpromazine,true,true,less,0.1315472937871427,0.0999999972729476,0.1459154580080797,0.0167666967874943,0.083853037691934,0.6121372971662733,5.999999985634025,7.025870478453179,10.844726571509195,2.5,0.732709108148804,272,,19.04793712923111,49.99999999777864,11.565969510132218,1.9999999999999984,1.2214070923177125,3.378556663125013,5.999995676389719,11.940235546032046,5.648644722094764,2.5,0.7223725212198441,272
Gemcitibine,true,true,less,0.0839881926034733,0.062310029866486,0.1999999999999999,0.3062458630956657,0.9620552870497162,5.999999999999999,0.840276386930212,6.94728514031516,49.38815548943309,20.0,0.2397401142377997,264,,25.0,49.99999999999999,21.10800097508932,0.458241645207137,0.1326328254530214,1.6327862625862688,5.999858883361093,15.930966687867937,3.505828677107895,20.0,0.3338693841377821,264
Nifedipine,true,true,less,0.0840943076995001,0.0999999855774815,0.1235785801998559,0.2047103398627619,0.168146853146693,5.999999999999999,1.040541277559372,5.720211997347311,9.017407447008122,0.39,0.5263519828742907,272,,17.223342202206638,49.99999996679278,21.999715228747693,1.999999999828495,0.6660128980928737,1.103767054346637,3.145107786178263,13.43843365526612,6.492635694045186,0.39,0.4683528100170333,272
Vincristine,false,true,less,0.0728302109012052,0.0999779876751096,0.1443812150832942,2.0,1.8369540288239103,2.714612360464285,1.4419381004601104,46.355522737756566,95.99906986735408,0.063,0.029480768852915,263,,21.145441213690773,49.999999999858815,42.76220769166858,1.9999999999999285,1.2947606085686194,5.999999999999999,1.9897675461211175,14.973079017205404,8.481474704248232,0.063,0.1543181193155219,263
Vorinostat,false,true,less,0.077307564052138,0.0755165800967736,0.1999999999999872,0.0598613424699064,1.253362953291986,4.051149318648511,0.3468272097936721,5.602904849881947,8.043515319890211,1.5,0.6867249332761401,296,,18.25070023090437,49.99999998095116,16.61337931448498,0.1146130342298281,0.0560698153360625,0.8431225300915212,5.999998264714538,39.43886157038014,6.940981561367258,1.5,0.4995445969691454,296
Dactinomycin,false,false,no,0.0779120998794934,0.0955113725596557,0.0853256078072385,1.9999999570479168,0.99116052761303,1.3688306976760432,5.999999999999999,5.078764467971415,15.42798310356319,0.034,0.3809951446952067,272,,23.95533766466889,49.99999999984291,4.1978050694998894e-11,0.364159338681245,1.9998150569359217,1.1752559446958732,0.1000001711632731,33.1287261525285,95.99993738043814,0.034,0.8426779028596427,272
Erlotinib,false,false,no,0.0843107884520175,0.0999999999999999,0.1084137891808874,1.8466475805723253,2.0,5.999999999999999,1.1307556294233871,32.19348841733228,18.54228721997532,0.65,0.3961007128547291,296,,16.866341687253023,49.99999999999999,12.49474135064393,1.992199703718264,1.4240380511778734,1.015892455187864,5.999999999999999,24.986722823713045,3.2390143437385968,0.65,0.6661266809824391,296
Etomoxir,false,false,no,0.1039551202635763,0.0999999999999999,0.1459608144126976,1.7585366384368244,1.9239583716405184,2.7868546203506552,5.999999999999999,0.3711176249721881,1.4062177455933556,0.1,0.349073946455214,272,,24.9999999995911,49.9999999998586,27.677139549989903,1.999999999999904,1.799752939882169,0.7920912500130541,5.999999999999988,15.85088875749336,5.066374502356317,0.1,0.3620667499289673,272
