Drug,R0,E_stim,E_inhib,EC50_stim_norm,IC50_norm,n1,n2,tau_stim,tau_inhib,Cmax_used,R2,N_points
Amiodarone,0.07660685201419601,0.09999999999999999,0.13326308142142487,0.010000000000000002,0.05024121574796269,5.999999999999999,1.1082376537900436,9.276652016953237,15.245276777529593,2.8,0.37990368222957493,255
Bortezomib,0.11834597224871243,0.09999999999999999,0.09056886708831746,1.9999999980638659,0.061286702857461864,0.2971906981211457,5.999999999999999,3.781757711990559,29.511301531098717,0.29,0.387281937385772,296
Chlorpromazine,0.13154729378714272,0.09999999727294767,0.14591545800807973,0.01676669678749437,0.08385303769193406,0.6121372971662733,5.999999985634025,7.025870478453179,10.844726571509197,2.5,0.732709108148804,272
Cobimetinib,0.05603282799563225,0.0999999999475393,0.08668174895244812,0.34183654039342176,0.5701872813025126,5.999999999999999,5.999999999999999,2.373168587918943,5.672030524050545,0.53,0.5038800610437688,296
Dactinomycin,0.07791209987949343,0.09551137255965571,0.08532560780723857,1.9999999570479172,0.99116052761303,1.3688306976760432,5.999999999999999,5.078764467971415,15.42798310356319,0.034,0.3809951446952067,272
Daunorubicin,0.10865053037909499,0.09999999999999999,0.02935364175579795,1.9999999999999998,0.010000000033258747,1.973992370127442,4.327995331865831,9.007066216419357,95.99999999999999,0.24,0.7747496243091869,259
Doxorubicin,0.10822149855781303,0.09999999999999999,0.06092195172028179,1.9999999999999998,1.2638061749851708,1.0176676962005267,5.999999999999999,0.5717190614439176,0.41783131089938197,0.13,0.23598681218508932,259
Epirubicin,0.08594735173505268,0.09999999999999996,0.06170463067515368,1.999999999999988,0.010000000000000009,1.0556407666051248,5.999999999999997,6.50622253065727,67.79897456023266,0.45,0.47228935626282476,296
Erlotinib,0.08431078845201759,0.09999999999999999,0.1084137891808874,1.8466475805723253,1.9999999999999998,5.999999999999999,1.1307556294233871,32.19348841733228,18.54228721997532,0.65,0.39610071285472914,296
Etomoxir,0.10395512026357633,0.09999999999999998,0.1459608144126976,1.7585366384368244,1.9239583716405186,2.7868546203506552,5.999999999999999,0.3711176249721881,1.4062177455933556,0.1,0.34907394645521406,272
Gemcitibine,0.08398819260347337,0.062310029866486,0.19999999999999998,0.30624586309566576,0.9620552870497162,5.999999999999999,0.840276386930212,6.94728514031516,49.38815548943309,20.0,0.23974011423779973,264
Ibrutinib,0.11138328577758438,0.09999999999999999,0.10405611090078658,1.3038338792343414,1.9999999999999998,5.999999999999997,1.547513268100934,0.5311341139419252,1.8092113514959893,0.53,0.4645461043487217,296
Ibuprofen,0.0046873235779854,0.09999999999968709,0.10437776564213752,0.37811099196311043,0.352548973298,4.6737718507358705,5.999999999999999,83.1184095264192,95.99999999999999,150.0,0.13413587845408104,648
Isoproterenol,0.08863773107456731,0.0999999999999991,0.10716418501612941,1.9999999999995404,1.9999999999857239,2.5063602853859255,1.40928978291642,11.241069097512286,16.681647172893573,0.013,0.027684152224868752,238
Mexiletine,0.07088810104231673,0.08565386428463188,0.07880127677409016,0.355495337547433,1.4093226731396975,5.999999999999999,5.999999999999999,2.29200165795601,50.82576124240411,3.6,0.39346588645533387,272
Nifedipine,0.08409430769950017,0.09999998557748159,0.1235785801998559,0.20471033986276196,0.16814685314669303,5.999999999999999,1.0405412775593719,5.720211997347311,9.017407447008122,0.39,0.5263519828742907,272
Panobinostat,0.1212198899363317,0.09287016928041442,0.13193465310284508,0.2644947396215229,0.010000000000000002,5.999999999999999,0.10000000000000002,11.10255498892359,20.76893902618048,0.063,0.7654866197577899,259
Plicamycin,0.07690640081129213,0.09999999901833767,0.1737548114095852,1.099366571172902,0.21732382655908833,5.999999999999999,0.10000000000000134,8.622105193129615,11.746854331734417,0.15,0.1937201094597959,272
Rosiglitazone,0.003942540059605746,0.09999991490363729,0.10151474241009037,0.7475154134571427,0.777941582503333,5.999999999999999,4.961609662959023,8.432350057005875,9.030682451108309,0.85,0.42644097107648793,612
Sotalol,0.09040399760259496,0.09999999999999945,0.10889365046928473,1.2678475790134025,1.996620602435097,5.999999999999999,5.999999999991613,4.197455831489055,7.48421800031336,3.2,0.5630958540451745,272
Sunitinib,0.07704075129085385,0.09999999999999999,0.14663402491355726,0.9778584168086244,1.6954612647803557,5.999999999999999,5.168844905218135,1.7216514536838403,2.3637897634102893,0.15,0.6376370732006539,296
Vandetanib,0.11465238703068338,0.09999999999999999,0.15534284653990071,0.010000000000125572,1.9999999999997877,0.10000000000009832,0.2792097807788349,7.257437513049528,22.78805433509731,1.2,0.1132063406592897,296
Vincristine,0.07283021090120524,0.09997798767510967,0.1443812150832942,1.9999999999999998,1.8369540288239106,2.714612360464285,1.4419381004601104,46.355522737756566,95.99906986735408,0.063,0.029480768852915062,263
Vioxx,0.0046892619075812976,0.003639473382946765,0.009399781830228411,0.017493504716577058,0.9242222355360344,5.999999999999999,0.10000000000000002,4.4818314478498325,10.368228559475956,0.66,0.1666209929152752,588
Vorinostat,0.077307564052138,0.07551658009677363,0.19999999999998727,0.0598613424699064,1.253362953291986,4.051149318648511,0.3468272097936721,5.602904849881947,8.043515319890211,1.5,0.6867249332761401,296
