# Equation: Bivariate Gaussian (Eq2)
# R(C,t) = R_0 + A_1 G_1(C,t) + A_2 G_2(C,t)
# Parameters: ['R0', 'A1', 'A2', 'muC1', 'muT1', 'sigC1', 'sigT1', 'rho1', 'muC2', 'muT2', 'sigC2', 'sigT2', 'rho2']
#
Drug,Contractility,,,,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,A1,A2,muC1,muT1,sigC1,sigT1,rho1,muC2,muT2,sigC2,sigT2,rho2,Cmax_used,R2,N_points,,R0,A1,A2,muC1,muT1,sigC1,sigT1,rho1,muC2,muT2,sigC2,sigT2,rho2,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.089241630924491,0.0548445751117281,0.0903960913535717,1.0553690681447312,0.0002208487042081,1.1977668883741337,19.96746015379681,-0.8404561873707387,1.7963680996379088,1.658760105088312e-05,0.5700650434843558,23.766296540936388,0.6536844123306057,0.29,0.3141574402468151,296,,20.329764332839844,15.33155641405301,99.99999999995042,1.464333569229059,83.99975578944377,2.0,32.35946104176859,0.8716586438789581,1.478782171631634,36.97387971441558,0.2942257826284641,5.688245702766465,0.4428055485805903,0.29,0.2124797938258541,296
Doxorubicin,true,true,most,0.1271655183934047,0.0970714158302862,0.099977639978177,0.6210132629797226,13.83349139199438,0.3214348793471271,6.231118382475963,-0.58521071392599,0.7929924641135684,46.39789702291035,0.0132591285539925,9.01446539525734,0.1762191148318808,0.13,0.0009324087291989,259,,25.0,6.45097357711043,42.623761864611296,0.0009622862036732,10.7183643564244,0.0479330762256343,72.20462918110675,0.6771323351145915,1.9989006377819136,51.80569618421282,0.3005365675390242,0.9941536603937908,0.886387328482868,0.13,-0.186042720168875,259
Epirubicin,true,true,most,0.1035170486844797,0.1939245004484134,0.1572044901416381,0.4970553019981372,95.99616678323322,0.0444699164589001,95.03137365412069,-0.4059864017492203,1.6471736964105563,59.511760121171605,0.0597022455264139,0.0190369185981875,-0.8702378469794078,0.45,0.0216378252617659,296,,25.0,60.75780001230921,26.099442126685737,0.2054546066359306,48.39973998090668,0.0926725894524606,3.893330847113172,-0.6854884466156164,2.0,62.34603984746429,1.0060416955016276,19.936835392664868,-0.0019706823232779,0.45,-0.2095872093319033,296
Ibrutinib,true,true,most,0.1025658058906198,0.0662218513998882,0.1110207814760984,0.1743406263150535,21.918929486875296,0.0544135361782844,53.40641877814955,0.7888395842386206,1.8378585132697267,26.04479938154489,0.1722843065354234,57.16419963743933,0.6702523970339438,0.53,0.5587490294851651,296,,25.0,9.917511566413507,15.028367087724147,0.5506534979159777,58.59636161378528,0.4244361592381224,24.1414542346317,-0.899999999999792,1.3549435186799037,60.93665616487645,1.0737202984552754,18.19759312789117,0.8999999999884004,0.53,0.0507492909883869,296
Isoproterenol,true,true,most,0.0919506213105111,0.024,0.036,0.5,24.0,0.3,12.0,0.0,1.5,48.0,0.3,12.0,0.0,0.013,0.0,238,,20.62462177072022,6.0,9.0,0.5,24.0,0.3,12.0,0.0,1.5,48.0,0.3,12.0,0.0,0.013,0.0,238
Panobinostat,true,true,most,0.1108839587809088,0.3999999999999999,0.3999999911544678,0.7644184461508713,1.188778481527047e-10,0.125147398132868,84.36846830444766,-0.5239344569468373,1.345584661830856,96.0,0.2612108915899902,50.87841694814077,-0.7514024776272127,0.063,0.1674616173358563,259,,18.862862960925483,27.94661911911666,99.99999999016649,0.279640281015381,81.9325519981402,0.1557653692609252,32.334569495768775,0.8999999999593216,1.517755836638221,95.99999999999984,0.3085991886384243,28.712841255382635,0.530157550283765,0.063,0.3360217790647223,259
Sotalol,true,true,most,0.0828674074492102,0.045457576893929,0.0859765791712662,0.3857535424000164,0.8363872679704769,0.1924455578822233,32.0733104436209,-0.1511434184309333,1.5972651224464032,25.2483977185974,0.1186958855144975,62.965975245793054,0.0799952423499218,3.2,0.7409145286513112,272,,25.0,51.84545493191568,24.344979146810196,0.2734151831774183,59.507557287112405,0.104879091215029,1.783949207037911,-0.8149404481561154,1.609231699434312,62.522007784969446,0.0922394137759866,49.9421905479571,-0.1887641364674271,3.2,-0.0508405795510404,272
Sunitinib,true,true,most,0.0330801253748869,0.0862108918811291,0.3999999999999954,0.040861530653558,20.153073701074835,0.1815279597321494,90.81885585898112,-0.0879313832688409,1.2480480506418508,29.22976326477448,0.226689167800397,96.0,0.0418153581640874,0.15,0.8772354250911162,296,,25.0,15.289041210633425,8.914695719692594,0.132699308230239,59.3698467679575,0.0664626342556891,14.62985351006088,0.672537222101241,1.6529361624461545,74.45664829147454,0.146332699267337,14.228222297819288,0.6884296633984835,0.15,0.0262418592401519,296
Vandetanib,true,true,most,0.1024192357314391,0.0376503371015986,0.3999999992590467,2.0,15.131493209976291,2.0,13.187303109501348,-0.4567803729438067,1.2139816303579472,96.0,0.2073977852724791,95.94681934146048,0.3699348890866893,1.2,0.4218000956445861,296,,25.0,22.689802246277647,45.84934942006335,0.4695834380933317,51.53879428678091,0.0444451683296004,30.206300463579097,-0.287227239967949,1.29843187487863,74.73237910755962,0.4727653446461837,23.573051151124865,-0.0457161830754435,1.2,0.1835052465981683,296
Cobimetinib,false,true,most,0.0618894378571144,0.1041670900400744,0.1275762174867788,0.5018237522818789,9.13725479627927,0.0424131908772784,96.0,-0.0010779152222999,1.7240610252410102,95.99764310286444,0.0910899606667038,95.99999999995788,0.0926260465982142,0.53,0.5974210516662508,296,,25.0,28.202929350182828,37.10169182827039,2.0,50.40823232583005,0.9672953120701006,13.471743669131747,-0.0186928321523324,2.0,96.0,2.0,31.934149429345435,-0.8838506446016721,0.53,0.1706051408893883,296
