Drug,R0,A1,A2,muC1,muT1,sigC1,sigT1,rho1,muC2,muT2,sigC2,sigT2,rho2,Cmax_used,R2,N_points
Amiodarone,24.999999999999996,99.94403394939827,99.98693590880924,0.16495113512679668,94.99451637486727,0.07590351334507056,0.8258176412551668,0.8999811862897875,1.3853252203396382,76.03285033409352,0.22448983793203114,20.51696600601028,0.05893176398406106,2.8,0.13535051715554314,255
Bortezomib,20.329764332839844,15.33155641405301,99.99999999995042,1.4643335692290593,83.99975578944377,1.9999999999999998,32.35946104176859,0.8716586438789581,1.478782171631634,36.97387971441558,0.29422578262846416,5.688245702766465,0.4428055485805903,0.29,0.21247979382585414,296
Chlorpromazine,24.999999999999996,0.08628243128683195,49.791099162236016,0.008409703405992027,0.4755331878748814,0.012576535197639337,95.3809661330443,-0.899859810718287,1.8874351587183607,61.378402351318584,0.18204114480481787,1.2831500932107138,0.7821661266088064,2.5,-0.034511874911604457,272
Cobimetinib,24.999999999999996,28.202929350182828,37.10169182827039,1.9999999999999998,50.40823232583005,0.9672953120701006,13.471743669131747,-0.018692832152332407,1.9999999999999998,95.99999999999999,1.9999999999999998,31.934149429345435,-0.8838506446016721,0.53,0.17060514088938838,296
Dactinomycin,24.999999999999996,19.396092401300923,56.028080613081514,1.9999999803620223,45.17572276389914,1.9999999895171099,15.500010292226067,-0.0716289820487848,1.9999999999999998,95.99999999999999,1.9999999999999998,33.914551249198425,-0.4609376901758802,0.034,-1.5227985868035514,272
Daunorubicin,24.999999999999996,0.13124040510274185,41.05036928170078,0.03179336539960952,85.89478282130712,0.12843138348100938,2.154025120303577,0.815547211052515,1.864748095429781,81.22589173207895,0.17748719681946407,0.7963538515368945,0.8905052300753111,0.24,-0.013518142587911841,259
Doxorubicin,24.999999999999996,6.45097357711043,42.623761864611296,0.0009622862036732647,10.718364356424399,0.047933076225634315,72.20462918110675,0.6771323351145915,1.9989006377819138,51.80569618421282,0.30053656753902425,0.9941536603937908,0.886387328482868,0.13,-0.18604272016887502,259
Epirubicin,24.999999999999996,60.75780001230921,26.099442126685737,0.2054546066359306,48.39973998090668,0.09267258945246062,3.893330847113172,-0.6854884466156164,1.9999999999999998,62.34603984746429,1.0060416955016276,19.936835392664868,-0.0019706823232779227,0.45,-0.20958720933190333,296
Erlotinib,24.999999999999996,99.99999999999999,24.976131157063715,0.7067809827976792,58.777205447969095,0.12489932526529104,7.5011314341936135,-0.8973726064793611,0.9294573541352535,67.58342558953338,0.07209767280416143,23.78157588781982,0.18466967145111227,0.65,0.020881714325875822,296
Etomoxir,24.999999999999996,16.209765127787588,17.0309599928472,1.9999999999191205,69.29913328813215,0.9548203219745423,51.53163136809517,0.8999997061999667,1.9999999999999998,77.94328089145706,0.9766747611277098,20.345130959720624,-0.8999999999999999,0.1,-0.4365436905216413,272
Gemcitibine,14.156368552148574,36.918454340025995,19.007588134926344,0.8804641306670562,58.36283793245614,0.3147411739713205,34.435323114278525,-0.3494924588376036,0.035808806018006144,62.90152930461556,0.06414649393583621,26.281537927697286,0.14306044962589343,20.0,0.4659845996124583,264
Ibrutinib,24.999999999999996,9.917511566413507,15.028367087724147,0.5506534979159777,58.596361613785284,0.4244361592381224,24.1414542346317,-0.899999999999792,1.3549435186799037,60.93665616487645,1.0737202984552754,18.19759312789117,0.8999999999884004,0.53,0.050749290988386986,296
Ibuprofen,24.84486391841972,20.927068216222896,30.381511678347056,0.33805379424985826,20.845338297272622,0.3667126325113769,26.470528606798148,-0.02920969682188902,1.0376210194501232,56.842225980978334,0.42211827985337447,95.99999999999999,-0.5295482944067356,150.0,0.5644434203659825,648
Isoproterenol,20.62462177072022,6.0,9.0,0.5,24.0,0.3,12.0,0.0,1.5,48.0,0.3,12.0,0.0,0.013,0.0,238
Mexiletine,24.470354006757795,26.770972286539784,22.25224932986504,0.7519731599936507,43.7645788079042,0.05986393440731145,35.66540144963011,-0.4717918378224942,1.9999999999999998,95.99999999999999,1.9999999999999998,71.82542257506725,-0.8999999999999999,3.6,0.3116755209743346,272
Nifedipine,24.54438342559939,2.2968775425172714,21.407807949980374,1.910923418169978,95.98779733436947,0.053672063419095736,1.0056080528947668,-0.8431683039552254,1.426329331374418,47.89580551203546,0.16580792490770893,0.4287899844834896,-0.20658403662981478,0.39,0.0038630883555617057,272
