# Equation: Cumulative Exposure (Eq8)
# R(C_0,t) = R_0 - E_{tox}(1-e^{-\alpha \cdot AUC(t)/TC_{50}}), \quad AUC(t)=C_0(1-e^{-k_{elim}t})/k_{elim}
# Parameters: ['R0', 'E_tox', 'alpha', 'TC50_norm', 'k_elim']
#
Drug,Contractility,,,,,,,,,,,,O2,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,E_tox,alpha,TC50_norm,k_elim,Cmax_used,R2,N_points,,R0,E_tox,alpha,TC50_norm,k_elim,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.1272410232081738,0.032170536119186,0.2308342302640107,0.6935919731770399,1.0000000000000002e-06,0.29,0.0517319087133066,296,,24.72658743175801,5.81936326104989e-14,0.1000000000001568,1.9999999999998763,0.9999999999999124,0.29,-2.220446049250313e-16,296
Doxorubicin,true,true,most,0.1274338528289706,2.027137491441534e-15,2.809605427295832,0.6940761877594324,0.3636923961017028,0.13,-5.444533712761769e-13,259,,25.0,8.775523167452764e-13,9.999999999,1.0,0.05,0.13,-0.1897494287883887,259
Epirubicin,true,true,most,0.1061309115722555,2.1172602507703332e-14,8.193723605377976,0.208690383496199,0.0028931243140633,0.45,-2.2870594307278225e-14,296,,24.999999999999982,3.2492786308858696e-15,0.1000000000001089,1.999999999996268,0.999999999998123,0.45,-0.3957634299443313,296
Ibrutinib,true,true,most,0.1171260577589656,8.807283740732595e-19,0.1001700465755905,1.9999607841101847,0.9999762374084916,0.53,-2.0650148258027912e-14,296,,25.0,6.713200480626477e-13,0.1000000000022128,1.9999999999964813,0.9999999999971372,0.53,-0.103270203030775,296
Isoproterenol,true,true,most,0.0992821912263538,0.0107449770242599,0.1000000000000038,1.999953091867657,0.6867815526542879,0.013,0.0054551680574345,238,,20.62461528479096,2.9425768350614852e-09,9.999999999,1.0,0.05,0.013,-4.685807297732936e-12,238
Panobinostat,true,true,most,0.1207920574505777,5.631710473493152e-17,3.2577194848069126,0.0100024178884813,1.0970752848523876e-06,0.063,-6.661338147750939e-16,259,,23.42249408012007,2.0376032076557624e-10,5.613518492265723,0.114949490457451,0.7733275731560659,0.063,-9.401368572525826e-13,259
Sotalol,true,true,most,0.108832415827302,0.0135165539218262,0.6686543131813424,1.644364376953651,1.0005336419391005e-06,3.2,0.0097793530243402,272,,24.999999999999968,4.953911658458162e-15,0.1000000000024848,1.999999999999525,0.9999999999997417,3.2,-0.4035990480218683,272
Sunitinib,true,true,most,0.0927615214378277,0.0622810512101437,0.1000000008394178,1.999999999482126,0.146155891971076,0.15,0.3973530265446958,296,,24.99999999997662,1.9490119753702844e-12,9.964606198566855,0.0162372136805353,0.0041796183651244,0.15,-0.0128198459804198,296
Vandetanib,true,true,most,0.1623713968967393,0.0489609703620673,5.464355069708113,0.4454654389164709,0.9991443021103534,1.2,0.0796068194397678,296,,25.0,1.5039069660035569e-15,9.999999999982291,0.0275235643122241,0.0003129385762052,1.2,-0.1548509277907657,296
Cobimetinib,false,true,most,0.0785214919027025,0.0052497252866151,9.433181552061852,0.0100714046942304,3.271262544091505e-06,0.53,0.0007503682770313,296,,24.999999999999982,6.796901616445089e-11,0.1000000004675822,1.9999999994942503,0.9999999996610446,0.53,-0.1657123489116965,296
Daunorubicin,false,true,most,0.1563068847379755,6.575327322013802e-15,6.064276060972466,0.4035724297182228,0.010250183032395,0.24,-7.824629832953178e-12,259,,24.99999999989057,1.866222878794513e-11,9.99999999904526,0.955193975501926,0.048199455357953,0.24,-0.0169895700392823,259
Ibuprofen,false,true,most,0.0048805832386852,0.0001142901043485,8.235588209976141,0.1944969377977352,0.5631211493032479,150.0,0.0003558336454524,648,,25.0,1.897321326606435e-13,0.1000000000010522,1.999999999999892,0.999999999999844,150.0,-1.2112719881105385,648
Rosiglitazone,false,true,most,0.0046289931777741,0.0020847389133859,0.1,1.9999999999999976,0.999999999999995,0.85,0.1055948466752084,612,,24.999999999999968,3.175949510346233e-14,0.1000000003360834,1.9999999996570648,0.9999999996928692,0.85,-9.167660273148192,612
Vioxx,false,true,most,0.0048470705884284,0.0010974868766685,3.609422345335391,1.145940894837812,1.0000247952363129e-06,0.66,0.0296090434112943,588,,25.0,3.622975313238152e-16,0.1000000000000002,2.0,1.0,0.66,-0.4866178029588996,588
Mexiletine,true,false,most,0.1249292516144534,0.0233398044528468,5.426472005753749,0.1928560494416781,0.5875331909229481,3.6,0.0070374955132327,272,,25.0,2.3050745249723498e-17,9.99999999999952,0.0104744851559838,0.0064425238747112,3.6,-0.1079977036204695,272
Amiodarone,true,true,less,0.123818486074552,0.0706125846581879,0.3642270918277704,1.8248936940875289,0.0187390778227524,2.8,0.3550004421826455,255,,25.0,6.315358199507853e-17,9.988921567480954,0.0111334568959813,0.0026381878705959,2.8,-0.0252049926661441,255
Chlorpromazine,true,true,less,0.1736264327536983,0.0900763343407458,1.1998730377724434,1.7043335848329453,0.0621930739696267,2.5,0.2657556358568682,272,,24.999999999938154,1.1857762876070954e-15,9.99507228641833,0.0248105464796929,0.0011389529396495,2.5,-0.0422931597174416,272
Gemcitibine,true,true,less,0.1999999999999999,0.125322604296158,7.362825872353963,0.0772615227056656,0.4490941223208766,20.0,0.1583637745327785,264,,24.999999999999872,1.1139367813893485e-13,9.616009602681771,0.0106199758773362,0.2051981502599669,20.0,-0.0078874347999613,264
Nifedipine,true,true,less,0.07803423446948,0.0117330381770021,0.1000000042283015,1.9999999985392056,0.1306994788368292,0.39,0.029989918858995,272,,24.598150034594585,3.255636467516913e-09,9.37130741023782,0.0566266197040371,0.0153582273441811,0.39,-1.3042456004086487e-11,272
Vincristine,false,true,less,0.0985324809311419,0.0200284214424416,0.115338153961764,1.1744056873511743,1.844309248474178e-06,0.063,0.0009627709417232,263,,24.609824364409462,0.6593576723590778,9.999999999,1.0,0.05,0.063,-2.220446049250313e-16,263
Vorinostat,false,true,less,0.0750605412745018,0.1948561437447279,0.1,2.0,1.0,1.5,0.5171639186673742,296,,24.999999999991925,1.5000810966105685e-12,9.999182836667693,0.0103520787236025,0.023994546439282,1.5,-0.016104231295432,296
Dactinomycin,false,false,no,0.1001818476069776,0.0245286947133732,0.110620677091628,1.506825574172602,1.0002680337309974e-06,0.034,0.0355953743266164,272,,24.999999999999723,1.8857344664594122e-13,0.1000000000000856,1.99999999999991,0.9999999999999464,0.034,-3.1421089266557383,272
Erlotinib,false,false,no,0.0756115688198873,0.0006278891249391,0.2368696253027256,1.734207336685483,1.1533247661806017e-06,0.65,4.937581101482902e-05,296,,24.999999999998074,1.887716999255756e-12,7.974456064783824,0.1991952657348094,0.001888523330296,0.65,-0.0955613151213974,296
Etomoxir,false,false,no,0.108099105293336,0.0544333311414505,0.1000000000000007,2.0,0.2099430998045439,0.1,0.1868100451715646,272,,25.0,3.3991255867543005e-13,9.999999999,1.0,0.05,0.1,-0.5511933642597442,272
Plicamycin,false,false,no,0.0828106433760788,0.0144963530550305,5.177475593581087,0.540477852033167,0.0266556505646176,0.15,0.004474285211628,272,,25.0,7.809270413095706e-12,9.999999999,1.0,0.05,0.15,-0.3674429060907831,272
