Drug,R0,E_tox,alpha,TC50_norm,k_elim,Cmax_used,R2,N_points
Amiodarone,0.12381848607455209,0.07061258465818795,0.3642270918277704,1.8248936940875287,0.018739077822752487,2.8,0.3550004421826455,255
Bortezomib,0.12724102320817388,0.032170536119186015,0.23083423026401076,0.6935919731770399,1.0000000000000002e-06,0.29,0.051731908713306685,296
Chlorpromazine,0.1736264327536983,0.09007633434074588,1.1998730377724434,1.7043335848329453,0.06219307396962672,2.5,0.26575563585686823,272
Cobimetinib,0.07852149190270259,0.005249725286615168,9.433181552061852,0.01007140469423047,3.271262544091505e-06,0.53,0.0007503682770313436,296
Dactinomycin,0.10018184760697768,0.024528694713373243,0.11062067709162807,1.506825574172602,1.0002680337309974e-06,0.034,0.035595374326616414,272
Daunorubicin,0.15630688473797558,6.575327322013802e-15,6.064276060972466,0.4035724297182228,0.010250183032395048,0.24,-7.824629832953178e-12,259
Doxorubicin,0.1274338528289706,2.027137491441534e-15,2.809605427295832,0.6940761877594324,0.3636923961017028,0.13,-5.444533712761768e-13,259
Epirubicin,0.10613091157225557,2.117260250770333e-14,8.193723605377976,0.20869038349619906,0.0028931243140633833,0.45,-2.2870594307278225e-14,296
Erlotinib,0.0756115688198873,0.0006278891249391086,0.23686962530272565,1.734207336685483,1.1533247661806017e-06,0.65,4.937581101482902e-05,296
Etomoxir,0.10809910529333608,0.05443333114145058,0.10000000000000078,1.9999999999999998,0.20994309980454395,0.1,0.18681004517156463,272
Gemcitibine,0.19999999999999998,0.12532260429615805,7.362825872353963,0.07726152270566568,0.4490941223208766,20.0,0.1583637745327785,264
Ibrutinib,0.1171260577589656,8.807283740732595e-19,0.10017004657559053,1.9999607841101847,0.9999762374084917,0.53,-2.0650148258027912e-14,296
Ibuprofen,0.004880583238685282,0.00011429010434853055,8.235588209976141,0.19449693779773525,0.5631211493032479,150.0,0.00035583364545244134,648
Isoproterenol,0.09928219122635383,0.01074497702425998,0.10000000000000384,1.9999530918676567,0.6867815526542879,0.013,0.005455168057434512,238
Mexiletine,0.12492925161445344,0.02333980445284688,5.426472005753749,0.19285604944167814,0.5875331909229481,3.6,0.007037495513232739,272
Nifedipine,0.07803423446948003,0.011733038177002197,0.10000000422830155,1.9999999985392058,0.13069947883682925,0.39,0.029989918858995046,272
Panobinostat,0.12079205745057771,5.631710473493152e-17,3.2577194848069126,0.010002417888481344,1.0970752848523876e-06,0.063,-6.661338147750939e-16,259
Plicamycin,0.08281064337607882,0.014496353055030555,5.177475593581087,0.540477852033167,0.026655650564617654,0.15,0.004474285211628071,272
Rosiglitazone,0.004628993177774147,0.002084738913385917,0.10000000000000002,1.9999999999999976,0.999999999999995,0.85,0.10559484667520846,612
Sotalol,0.108832415827302,0.013516553921826272,0.6686543131813424,1.6443643769536507,1.0005336419391003e-06,3.2,0.009779353024340298,272
Sunitinib,0.09276152143782773,0.062281051210143754,0.10000000083941786,1.999999999482126,0.14615589197107606,0.15,0.39735302654469584,296
Vandetanib,0.16237139689673932,0.04896097036206738,5.464355069708113,0.4454654389164709,0.9991443021103534,1.2,0.07960681943976788,296
Vincristine,0.09853248093114193,0.020028421442441643,0.11533815396176408,1.1744056873511743,1.844309248474178e-06,0.063,0.0009627709417232566,263
Vioxx,0.004847070588428432,0.0010974868766685192,3.609422345335391,1.145940894837812,1.0000247952363127e-06,0.66,0.029609043411294333,588
Vorinostat,0.0750605412745018,0.19485614374472798,0.10000000000000002,1.9999999999999998,0.9999999999999999,1.5,0.5171639186673742,296
