Drug,R0,E_tox,alpha,TC50_norm,k_elim,Cmax_used,R2,N_points
Amiodarone,24.999999999999996,6.315358199507853e-17,9.988921567480954,0.011133456895981358,0.0026381878705959982,2.8,-0.025204992666144177,255
Bortezomib,24.726587431758006,5.81936326104989e-14,0.10000000000015684,1.9999999999998763,0.9999999999999125,0.29,-2.220446049250313e-16,296
Chlorpromazine,24.999999999938154,1.1857762876070954e-15,9.99507228641833,0.02481054647969294,0.0011389529396495512,2.5,-0.04229315971744163,272
Cobimetinib,24.999999999999982,6.796901616445089e-11,0.10000000046758228,1.9999999994942506,0.9999999996610446,0.53,-0.1657123489116965,296
Dactinomycin,24.999999999999723,1.885734466459412e-13,0.10000000000008566,1.99999999999991,0.9999999999999465,0.034,-3.1421089266557383,272
Daunorubicin,24.99999999989057,1.8662228787945132e-11,9.99999999904526,0.955193975501926,0.04819945535795307,0.24,-0.016989570039282365,259
Doxorubicin,24.999999999999996,8.775523167452764e-13,9.999999999,1.0,0.05,0.13,-0.18974942878838874,259
Epirubicin,24.999999999999982,3.2492786308858696e-15,0.10000000000010899,1.9999999999962679,0.999999999998123,0.45,-0.39576342994433134,296
Erlotinib,24.999999999998074,1.887716999255756e-12,7.9744560647838245,0.1991952657348094,0.001888523330296073,0.65,-0.09556131512139743,296
Etomoxir,24.999999999999996,3.3991255867543005e-13,9.999999999,1.0,0.05,0.1,-0.5511933642597442,272
Gemcitibine,24.999999999999872,1.1139367813893484e-13,9.616009602681773,0.010619975877336233,0.2051981502599669,20.0,-0.007887434799961346,264
Ibrutinib,24.999999999999996,6.713200480626477e-13,0.10000000000221287,1.9999999999964815,0.9999999999971372,0.53,-0.10327020303077505,296
Ibuprofen,24.999999999999996,1.897321326606435e-13,0.10000000000105223,1.999999999999892,0.999999999999844,150.0,-1.2112719881105383,648
Isoproterenol,20.62461528479096,2.9425768350614856e-09,9.999999999,1.0,0.05,0.013,-4.685807297732936e-12,238
Mexiletine,24.999999999999996,2.3050745249723498e-17,9.99999999999952,0.010474485155983815,0.006442523874711212,3.6,-0.10799770362046957,272
Nifedipine,24.598150034594582,3.255636467516913e-09,9.371307410237819,0.05662661970403715,0.015358227344181186,0.39,-1.3042456004086489e-11,272
Panobinostat,23.42249408012007,2.0376032076557624e-10,5.613518492265723,0.11494949045745106,0.7733275731560659,0.063,-9.401368572525826e-13,259
Plicamycin,24.999999999999996,7.809270413095706e-12,9.999999999,1.0,0.05,0.15,-0.3674429060907831,272
Rosiglitazone,24.999999999999968,3.175949510346233e-14,0.10000000033608346,1.9999999996570648,0.9999999996928693,0.85,-9.167660273148192,612
Sotalol,24.999999999999968,4.953911658458162e-15,0.10000000000248487,1.999999999999525,0.9999999999997415,3.2,-0.4035990480218683,272
Sunitinib,24.99999999997662,1.9490119753702844e-12,9.964606198566857,0.016237213680535323,0.004179618365124482,0.15,-0.012819845980419853,296
Vandetanib,24.999999999999996,1.5039069660035567e-15,9.999999999982291,0.027523564312224136,0.0003129385762052142,1.2,-0.1548509277907657,296
Vincristine,24.609824364409462,0.6593576723590778,9.999999999,1.0,0.05,0.063,-2.220446049250313e-16,263
Vioxx,24.999999999999996,3.6229753132381514e-16,0.10000000000000021,1.9999999999999998,0.9999999999999999,0.66,-0.48661780295889967,588
Vorinostat,24.999999999991925,1.5000810966105683e-12,9.999182836667691,0.010352078723602554,0.02399454643928206,1.5,-0.016104231295432037,296
