# Equation: Dual Exponential (Eq1)
# R(C,t) = R_0 + A_b(1-e^{-k_b C^{n_b}})(1-e^{-t/\tau_b})^{m_b} - A_t(1-e^{-k_t C^{n_t}})(1-e^{-t/\tau_t})^{m_t}
# Parameters: ['R0', 'A_benefit', 'A_tox', 'kb', 'kt', 'tau_b', 'tau_t', 'nb', 'nt', 'mb', 'mt']
#
Drug,Contractility,,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points,,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.1317049880731244,0.1999999999951284,0.0599132894714755,1.040558163408283e-06,100.0,18.654569091971773,13.616248390483165,5.999999998601755,1.6494519536127903,2.1938553012513355,5.634340058240193,0.29,0.4817265436257202,296,,11.803447783134134,99.99987781245224,78.9233291685953,5.96236608736312,54.773443273375975,16.496177830109577,15.11459418983574,1.1274459938498176,2.614930379732781,4.467782180307235,5.999999999999835,0.29,0.3520573629631088,296
Doxorubicin,true,true,most,0.1089531936732887,0.0952026029424856,0.0555850388620056,1.0000221346705024e-06,0.0299299784050807,0.4459027246009204,45.54175274516535,3.914493680949887,5.998581945585944,0.1705399395861769,5.955599029901633,0.13,0.4306791707981237,259,,16.351694910665973,99.9999999934346,31.95903020907792,0.2985846969854611,99.98894043720436,20.043214289678208,34.566219053196214,0.4389167708738569,5.999080681604411,3.9114078469195097,2.172272982431319,0.13,0.8291539746768442,259
Epirubicin,true,true,most,0.0682843655779002,0.1999999999000454,0.1265723040388251,0.1716303724796513,0.0756286355771552,9.14219390023107,22.77039867988117,1.284921511017447,3.902135445644835,1.412904913613796,1.7315975353659483,0.45,0.6040421475769858,296,,15.560444115229473,99.99999985993534,23.403322724487435,0.3908315538827372,26.98874522338392,14.926198566520137,35.893549752436904,0.3687136110434693,0.1000006346967333,5.9999999990391215,5.999999997265159,0.45,0.8175677084624529,296
Ibrutinib,true,true,most,0.1105535599832855,0.1999999999269136,0.1767936640810479,1.2661064167514489,26.64938161904482,3.873467757191104,7.03546728784333,2.5977514987319297,5.999996687474112,0.7699712624219228,0.5165541360085079,0.53,0.357580839621947,296,,16.860695051845983,100.0,49.31940891908352,0.3884295431425729,0.395987560614878,11.261198921565253,5.277542603301896,0.5721517866423883,1.5028046532396289,2.447145037659784,5.999960770835868,0.53,0.6232209853256326,296
Isoproterenol,true,true,most,0.0783388063979895,0.1996570444076017,0.1997572728815335,4.414371967026694e-06,4.575399076485817e-06,6.087027746220199,27.11527988859609,5.999906235975696,5.582485322793072,0.2573563719602412,0.1471876548155762,0.013,0.211534041531604,238,,18.18513221416667,37.1659861632119,52.11722303170573,21.214915697746008,0.3085530021885321,13.790115855129455,95.99977325835738,4.393246027759568,0.8658955769073314,4.858980177776138,0.6952146845871289,0.013,0.2030654198994426,238
Panobinostat,true,true,most,0.1109003517238792,0.1209477574808562,0.0915912186769456,100.0,99.99999967445709,31.879795991390143,17.57396388632244,3.5287208190569177,1.954381582199825,0.707142614243874,2.4810013319794333,0.063,0.7819119943609336,259,,11.344370060752835,99.99999997288548,15.477108887328972,0.6697057474027754,99.9999999857479,95.9999999958032,5.597672941148443,0.2201242067756082,3.953918218178764,0.7655396828094421,5.999999999999999,0.063,0.3606934098225115,259
Sotalol,true,true,most,0.0957136470474146,0.1851864445835746,0.1999993483636562,0.228145299202523,0.2819666658656041,1.791234312405825,18.398949210326144,5.999999999999999,2.769493209965926,1.1400547480393497,0.1607571366769344,3.2,0.6607781681364312,272,,25.0,99.99999999999788,81.88905184093795,2.173003894171781,6.072355504945831,8.264511897935787,6.009116656630902,1.65011774432645,2.359408960154403,1.4541823127200733,1.7652187679206344,3.2,0.5334703754268103,272
Sunitinib,true,true,most,0.0964510575335234,0.1327038497694602,0.1999999999999999,2.963410749171071,0.6317032472690002,1.7933984420944251,12.61896863305748,5.999999999999999,1.2071412180858103,0.6341255065891314,0.1000015886221251,0.15,0.7635271562410961,296,,13.279180841494384,99.9999997694514,40.13949474891347,0.7586274277506335,3.0099531283071776,31.69344338037289,7.04106439345418,0.4165383392590976,1.2406768687802483,0.9039009574877164,2.7464445212663757,0.15,0.631130122202152,296
Vandetanib,true,true,most,0.1504256707469435,0.1397709402326359,0.1999999999999986,15.264777103896536,1.1510788475249252,2.468612419024669,21.795925397588125,5.999999999996007,0.856925506765468,0.9622819676694856,0.2281058708457867,1.2,0.6852341141984617,296,,17.02755519381277,99.9999999999986,52.90878049279511,0.4348231276299916,0.0211291409710024,12.322710149472735,34.85553351845321,0.7210738054570116,5.129021499289357,5.999999992141843,1.7224096169606091,1.2,0.5963912483449432,296
Cobimetinib,false,true,most,0.0533187395535461,0.1999999999999999,0.1753185587774481,1.662448731850823,4.879608609026478,1.172873907528223,18.830376704729645,1.824467706518129,5.999999999999999,0.6254543529198076,0.1000420617050555,0.53,0.6747853383559339,296,,11.186937825981923,82.50627496349142,32.10898737300918,1.128550551151941,100.0,15.53008137291051,22.885709626919034,0.6268197026776148,3.949547135570456,2.739209555223379,1.901581468670898,0.53,0.7329602793870711,296
