Drug,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points
Amiodarone,0.09627586388284605,0.11319756499591489,0.19999999999999998,0.8831619870291428,0.5659206220128433,2.9764068439661537,14.779600220000464,5.999999999999283,1.1074757944732685,0.5111047809118,0.21834351925982434,2.8,0.6922334618889611,255
Bortezomib,0.13170498807312442,0.19999999999512844,0.05991328947147554,1.040558163408283e-06,99.99999999999999,18.654569091971773,13.616248390483163,5.999999998601755,1.6494519536127903,2.1938553012513355,5.634340058240193,0.29,0.4817265436257202,296
Chlorpromazine,0.1867857114474221,0.036523703134880625,0.1485455347432839,4.575211818811758,99.99996803893332,1.9878870058673563,95.98662694195625,5.999999999999999,2.089061765312723,4.738215884562415,0.15350638677331935,2.5,0.5618236527080598,272
Cobimetinib,0.05331873955354615,0.19999999999999998,0.1753185587774481,1.662448731850823,4.879608609026478,1.172873907528223,18.830376704729645,1.824467706518129,5.999999999999999,0.6254543529198076,0.10004206170505553,0.53,0.6747853383559339,296
Dactinomycin,0.08722959010005761,0.05122115666970231,0.046963702715546375,1.890929531536221e-06,0.687799183830286,36.424899778360675,23.74569598284237,5.999999949981295,5.999999999999999,0.4236254455382641,1.7903125918707918,0.034,0.5039693399918453,272
Daunorubicin,0.109779684032675,0.1909749461866371,0.19999999999999984,0.05986593824000859,0.11207925945426228,55.549721073111385,34.73167244905012,1.7729787814884121,0.8550817281661488,0.6185223579329174,5.999999999952152,0.24,0.8766354987524366,259
Doxorubicin,0.10895319367328873,0.09520260294248563,0.0555850388620056,1.0000221346705024e-06,0.029929978405080743,0.44590272460092045,45.54175274516535,3.914493680949887,5.9985819455859435,0.1705399395861769,5.955599029901633,0.13,0.4306791707981237,259
Epirubicin,0.06828436557790026,0.1999999999000454,0.12657230403882516,0.1716303724796513,0.07562863557715527,9.14219390023107,22.770398679881172,1.284921511017447,3.902135445644835,1.4129049136137959,1.7315975353659485,0.45,0.6040421475769858,296
Erlotinib,0.06049494913628548,0.19999999999999998,0.16150647617930436,1.653724574462559,3.6469228772777007,91.2117042689102,17.29499501585874,2.6298882001808646,5.999999999999999,0.1469046995948995,0.2944777271771037,0.65,0.436636901340654,296
Etomoxir,0.0944042328987133,0.19965893552435512,0.0876027819901156,0.17057363906195416,0.008453981840281715,5.075899921670946,41.942326946956655,0.11776095520845736,5.999999999999999,0.10000000044183781,0.13010513935111434,0.1,0.3722125203442046,272
Gemcitibine,0.08659760072016613,0.05894314623834203,0.19999999999999998,99.99999999994743,0.7730350106574991,2.2578989843506734,62.13482802288061,4.303584691835571,0.6368274526114239,5.577624967138811,0.8483926141433564,20.0,0.25538410328665506,264
Ibrutinib,0.11055355998328552,0.19999999992691367,0.1767936640810479,1.2661064167514489,26.64938161904482,3.8734677571911034,7.03546728784333,2.5977514987319297,5.999996687474112,0.7699712624219228,0.5165541360085079,0.53,0.357580839621947,296
Ibuprofen,0.004715480517870811,0.19999999640629249,0.19958418409427203,27.993062615542065,99.99999999999999,20.811123536469456,21.61701912446341,4.80997123400198,5.85347412035808,5.999999999999999,5.745873681828281,150.0,0.14457453471816273,648
Isoproterenol,0.0783388063979895,0.1996570444076017,0.19975727288153358,4.414371967026694e-06,4.575399076485817e-06,6.0870277462201985,27.115279888596092,5.999906235975696,5.5824853227930715,0.25735637196024125,0.1471876548155762,0.013,0.21153404153160404,238
Mexiletine,0.12491461001391765,0.1777191230467487,0.19999999999999998,91.78148155692607,2.3105803591461718,9.577123408443821,37.452161516832916,4.311789698585323,0.7303726737865651,0.35102773403017734,0.2092208941741802,3.6,0.5331971293104631,272
Nifedipine,0.08290576712167667,0.18327618779570595,0.19999999999999885,99.99999989727092,4.749128071624109,1.8349615613307648,12.215004521139326,3.0997666473878285,1.0761255822133449,0.9786158598832033,0.21145216758971092,0.39,0.5756243861736539,272
Panobinostat,0.11090035172387926,0.12094775748085622,0.0915912186769456,99.99999999999999,99.99999967445707,31.879795991390143,17.57396388632244,3.5287208190569177,1.954381582199825,0.707142614243874,2.4810013319794333,0.063,0.7819119943609336,259
Plicamycin,0.0811102811232169,0.18355949274253144,0.19999942930770148,0.06126773144418763,0.3943637763632899,7.451042394918506,28.971946081178782,5.998814596353239,2.135262957788453,0.1930948294663922,0.11824692974970202,0.15,0.25662019369346456,272
Rosiglitazone,0.0038877162966370433,0.1979838721924805,0.19996695998809613,2.146312566066522,1.5764949294545558,14.604668461564357,19.53644726140274,5.999999999999999,5.312434103048961,0.10660340109878044,0.10000000000000002,0.85,0.5135934264260749,612
Sotalol,0.09571364704741463,0.18518644458357464,0.19999934836365624,0.228145299202523,0.2819666658656041,1.791234312405825,18.398949210326144,5.999999999999999,2.7694932099659266,1.1400547480393497,0.16075713667693442,3.2,0.6607781681364312,272
Sunitinib,0.09645105753352345,0.13270384976946029,0.19999999999999998,2.963410749171071,0.6317032472690002,1.7933984420944253,12.618968633057479,5.999999999999999,1.2071412180858105,0.6341255065891314,0.10000158862212519,0.15,0.7635271562410961,296
Vandetanib,0.15042567074694352,0.1397709402326359,0.19999999999999868,15.264777103896536,1.1510788475249252,2.468612419024669,21.795925397588125,5.999999999996007,0.856925506765468,0.9622819676694856,0.22810587084578676,1.2,0.6852341141984617,296
Vincristine,0.0771971756276257,0.15989452450934435,0.1999999046396426,7.233779272679959e-05,0.008890912026916132,37.53916892731557,65.42393959440331,5.999894740720487,2.4414410591109315,1.052641275889228,0.8761596069134985,0.063,0.16930772992992005,263
Vioxx,0.004687190210520409,0.1897439331447225,0.1907112695184686,25.983310517583,6.352776652110467,95.99902797685037,86.62526618393953,0.4574305377041944,0.10000000241545945,0.10000040736420328,0.10549967754551107,0.66,0.16953177024607002,588
Vorinostat,0.07866847569704186,0.1058452920095757,0.19999999999979845,99.99955826106614,1.0956179851476167,3.123809611406789,45.88892871544416,1.6532453216392191,0.2442060588542651,0.3094984408315164,0.10737790678135699,1.5,0.7143594371396186,296
