Drug,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points
Amiodarone,10.63098243018946,99.99999999999999,24.858206598245168,0.7061898632321358,99.99999999999999,24.81264137965572,3.7228566971700805,0.524250547986262,3.1883215926697286,0.8367906403340031,5.999999999983141,2.8,0.8243102311116484,255
Bortezomib,11.803447783134134,99.99987781245223,78.9233291685953,5.96236608736312,54.773443273375975,16.496177830109577,15.11459418983574,1.1274459938498176,2.614930379732781,4.467782180307235,5.999999999999835,0.29,0.35205736296310886,296
Chlorpromazine,18.44123444714852,99.99999999999999,44.66765391602097,0.060347234707403705,0.010960140661663157,63.95682873109419,0.9947063163839742,2.5348207524836295,5.999999999999999,0.17613692390750058,5.212243024107617,2.5,0.7893170471132747,272
Cobimetinib,11.186937825981925,82.50627496349142,32.10898737300918,1.128550551151941,99.99999999999999,15.53008137291051,22.885709626919034,0.6268197026776148,3.9495471355704557,2.739209555223379,1.901581468670898,0.53,0.7329602793870711,296
Dactinomycin,17.35802654357114,99.99999999999999,30.868655764398028,0.6886615533825147,0.014585027989963448,32.371496357826054,26.715473529494886,0.3549384215376003,1.8477222274024128,1.5602597746738784,5.999999999999999,0.034,0.9400122647863084,272
Daunorubicin,6.679612930851412,99.99999999999999,31.388554594870758,0.20152819044578768,0.09770418104609263,24.952510653800807,4.117188689243348,0.865541810526931,2.2870683152358895,1.092972939194747,5.999999999999999,0.24,0.8846503311856548,259
Doxorubicin,16.351694910665973,99.99999999343459,31.95903020907792,0.2985846969854611,99.98894043720435,20.043214289678208,34.566219053196214,0.43891677087385694,5.999080681604411,3.9114078469195097,2.172272982431319,0.13,0.8291539746768442,259
Epirubicin,15.560444115229473,99.99999985993534,23.403322724487435,0.39083155388273727,26.98874522338392,14.926198566520137,35.893549752436904,0.3687136110434693,0.10000063469673333,5.9999999990391215,5.999999997265159,0.45,0.8175677084624529,296
Erlotinib,12.84452510844468,99.99999998988818,80.71353001096655,10.518801200482713,99.99999736156612,48.098994052857215,42.78556104709522,2.907715884363,4.458631321585329,2.391641302660424,5.999999999936834,0.65,0.5381952826721446,296
Etomoxir,24.999999999999996,99.99999846645362,87.3991290233176,17.054928627839313,1.0966033558947432,12.33242580745795,15.188817748025778,3.962954746563161,2.975805061112242,5.999999999992167,3.7987077941146863,0.1,0.1692469517636107,272
Gemcitibine,17.20076613553143,99.99999914182368,56.44312281602306,1.6588558722201925,24.607404142860393,11.285766936775348,16.901700727620508,0.554291321706499,1.482447778170083,5.999999972475874,2.633944838645008,20.0,0.416540776537084,264
