# Equation: Gaussian-Hill Hybrid (Eq3)
# R(C,t) = R_0 + E_{max} \exp(-(C-\mu_c)^2/(2\sigma_c^2)) \cdot (t/\tau)^m/(1+(t/\tau)^m) - E_{tox} C^n/(TC_{50}^n+C^n) (1-e^{-t/\tau_{tox}})
# Parameters: ['R0', 'Emax', 'mu_c', 'sigma_c', 'tau', 'm', 'E_tox', 'n', 'TC50_norm', 'tau_tox']
#
Drug,Contractility,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,mu_c,sigma_c,tau,m,E_tox,n,TC50_norm,tau_tox,Cmax_used,R2,N_points,,R0,Emax,mu_c,sigma_c,tau,m,E_tox,n,TC50_norm,tau_tox,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.1380893084260639,0.1291706800457726,0.5174441186869456,0.0212596312753819,88.8848369177543,5.999999999999999,0.1054964524987623,5.999999999999999,0.0574440890496473,82.84913446329838,0.29,0.3717200102558551,296,,20.28708121493583,11.125208527514802,1.156930530737536,1.3771186207214825,34.028351426927784,5.999999128423922,1.8994861554453587e-14,0.1000000000003714,1.970504561407852,95.9999980081178,0.29,0.1164881382699035,296
Doxorubicin,true,true,most,0.1329818028273897,6.8104503859448536e-06,0.1607540431239308,0.1031431426268412,70.27067637170833,0.3744437714790358,0.0150707345084336,5.923642604275661,0.0183792877588097,95.99927943536954,0.13,0.002276955794784,259,,24.999999999999982,21.36085675877053,1.9999999999369344,0.0293444785447304,73.79005320699508,4.832573358023175,4.252764605173535e-16,3.4902362091061767,0.0124499847697834,30.87034974749566,0.13,-0.1897494287883476,259
Epirubicin,true,true,most,0.1209878496202567,0.0672262572278025,0.4259467572754073,0.0287709361823131,66.09915216557098,2.1673422161037865,0.0478285903768008,5.999999999999904,0.0100000000000008,96.0,0.45,0.048596523959284,296,,25.0,20.03208956396557,1.9999999999995488,1.1581422173348113,31.81349906830673,5.9999999967399456,1.119064329437261e-11,0.1000007683372194,1.999358945980718,95.98533727569053,0.45,-0.2555412250582995,296
Ibrutinib,true,true,most,0.1182918481868386,0.0454625095357641,0.2586694746054558,0.0209110134279135,41.57020972817847,2.2065500143389576,0.0120051084115855,0.1,0.010000000000367,95.95892327055668,0.53,0.0159600309030985,296,,24.999999999991875,6.896881586857742,0.835510265800015,1.1093218343039968,29.793285548815664,5.999999999999037,1.1472085333030836e-13,0.1000018748523943,1.9999958166002736,95.99999782234894,0.53,-0.0023372764832043,296
Isoproterenol,true,true,most,0.1012320496118636,0.0538245295095666,1.9176810882836304,1.9998971048550849,61.73641440021923,5.586939850680138,0.0275328304135061,0.7358314308765626,2.0,84.71026811061633,0.013,0.0147881276634077,238,,19.867442963703745,47.92468185729852,1.9999928931506437,1.9999999981906469,22.679363259953583,5.999999999999999,3.1455960352513373e-40,0.1000000000957948,0.1027760587530632,95.9999999997734,0.013,0.0374415065322226,238
Panobinostat,true,true,most,0.1206344142161397,0.1999999999476635,0.7399883747999704,0.1239385097864742,0.1000000002520116,4.945161926982279,0.0337674798445839,0.1,0.01,96.0,0.063,0.1496346454603191,259,,20.110784501206663,18.60003144643176,1.0530949585093636,0.8042813351641254,59.46299908187036,5.999999950812583,1.0598583809011913e-13,1.6299866070101965,1.999999965646429,0.1227715349380744,0.063,0.1342115279101363,259
Sotalol,true,true,most,0.1104062561955841,0.0079213271387204,0.4416534498892733,0.0393754027551376,0.1,0.1,0.0601749008948145,0.1,0.01,95.99997059605076,3.2,0.0557252480998404,272,,24.999999995092384,30.58076610198876,1.9999999999293523,0.4782052124641945,16.728845804124052,5.999972952000332,1.8506525784588806e-09,0.1000000017204136,1.9999999990316184,95.9999999726957,3.2,-0.0964013312696714,272
Sunitinib,true,true,most,0.0997771109143905,0.1477562356081163,1.2528642878179843,0.3432618021361221,3.181939561517733,5.075540065430553,0.0689522879083913,5.999999999999999,0.2462090570463018,4.200590479714719,0.15,0.8388269765495215,296,,24.899172799653503,7.368622090646662,2.0,1.9999977704695489,55.9385817645139,5.999999989445161,4.860875794392024e-12,0.1,1.999973363208684,95.99922414632798,0.15,0.0223585095666278,296
Vandetanib,true,true,most,0.1530641991167953,0.1999999997480101,1.1708810722981982,0.2677793466003531,4.127249010871858,3.2200255936428555,0.0713790875709404,5.999999999999999,0.1108568879244952,14.141156221068808,1.2,0.7115594739477571,296,,25.0,35.89418968808523,1.314215283363083,0.6018491856021391,39.55888166892582,5.999999940532256,6.884454398132447e-12,0.1000000006681381,1.9999999987726456,95.9999984059382,1.2,0.1789343382675241,296
Cobimetinib,false,true,most,0.0805234086482108,0.1248182765394242,0.4534388678083426,0.033621109464436,0.1000000000000001,0.1,0.0278605619524168,5.999999999994069,0.04429623366192,47.28156086281262,0.53,0.5664708068685718,296,,24.99999999553915,23.863368241461828,1.9999999999999971,1.0011926163442564,30.357608914070152,5.999999690790059,7.175297543044762e-10,0.1295000000000001,1.9999999991129016,95.9999999763036,0.53,0.078602742789087,296
Daunorubicin,false,true,most,0.1563070080518407,0.0064892565544245,0.0184202836278384,0.023925237322989,88.46314553416144,1.8984514944743136,8.007850253654101e-17,0.1000000000775497,1.4651946497358517,77.73596660268315,0.24,-2.220446049250313e-16,259,,25.0,4.070053461336361,1.7663602160751102,0.1366307607056787,52.17064937835208,5.999976966743508,5.625180757097517e-21,5.986751577996494,0.0110058616152998,0.1005223834267295,0.24,-0.0169795878550895,259
Ibuprofen,false,true,most,0.0047771824541964,0.1999997228439727,1.1052709118386563,0.2038324658327548,3.015560433860491,1.5172880939160736,0.1999993758366717,3.3511350410825056,1.3079161370575407,4.400486901766194,150.0,0.1374396323654102,648,,25.0,40.230802900559695,0.9506902293336336,0.6610355272411083,1.975366210520508,1.635908559241187,40.35243338157698,0.2397057844108324,0.0100000004023115,95.99999992845854,150.0,0.4596807677407271,648
Rosiglitazone,false,true,most,0.0045753515832776,0.0296554726499439,1.040394698013299,0.0712616177329015,0.1,0.1,0.0041437302149251,5.999998362095968,0.3197260030177857,95.99999999999936,0.85,0.4880644522628644,612,,24.999999999999982,30.23217702546742,1.999999999952352,1.9999999999974785,0.1000000000165164,0.1000000003126533,9.844496455626228e-13,0.1000000021590646,1.9999999944134623,95.99999988670542,0.85,-5.905355578624387,612
Vioxx,false,true,most,0.0048752517261733,0.0147460948245759,0.1301338379949279,0.0124427382039184,79.52350834527525,5.999999999999504,0.004302703746856,0.1,0.0100000000000019,67.60836216860606,0.66,0.2925651634556577,588,,25.0,16.897509992505416,0.9838555308238258,0.6210427800869606,1.67966586089527,3.5326043021925813,4.635029830508159,0.1,0.0100000000168429,95.9999999981368,0.66,0.17830459088992,588
Mexiletine,true,false,most,0.1204593289289157,0.1447459539327266,1.013153527006745,0.2995888250422969,7.760229155620646,1.835331465400985,0.0687316479631023,5.999999999999999,0.0535901944576584,49.55824566355045,3.6,0.4003211737838517,272,,23.03731558791958,12.530008888089611,2.0,1.999999999323828,34.577105659162164,5.999999999976349,2.4156890375540465e-11,0.1,1.9899439287369345,95.99999999983989,3.6,0.1164927554315252,272
Amiodarone,true,true,less,0.1054590741532434,0.1999999999998377,1.4167589465171797,0.2944574673170604,10.01204880886417,1.7958226502398558,0.1024072921590171,1.818846904189411,0.3203843003518645,15.29550132831033,2.8,0.8238351615059587,255,,16.038721480339373,27.2024659849478,2.0,1.4610373398500929,34.54845644038888,4.361617531707524,5.311175980402904e-09,0.1000000000000567,0.0100000051984758,95.99999998427488,2.8,0.2423830043556322,255
Chlorpromazine,true,true,less,0.1064106942649937,0.1182257901464084,0.0588238857694555,0.0100003373119628,0.1000000050994561,5.999999979141406,0.059616728667612,5.999993763386797,0.0100000346487066,95.9995747221582,2.5,0.7776577162341499,272,,24.99999999999982,3.604672510852322e-05,0.0009304167863599,0.0109773829744242,95.95305392876438,2.5846436574811427,1.6150219053017515e-14,0.1000000000009247,1.9999931693679571,95.99999997710822,2.5,-0.0422931597160554,272
Gemcitibine,true,true,less,0.1061889019792204,0.1255304772129975,0.7002459563805046,0.1283850284359502,4.000888392067565,5.999975471334203,0.0547197502818774,5.999999999992987,0.0103242728219577,35.925910028578635,20.0,0.487098908217322,264,,16.323476147313826,48.80119109008541,1.149728323752002,0.6920232570342172,25.07014423553375,4.762983091736765,25.57902286897731,5.999999999991857,0.1179576194685955,49.70531457573549,20.0,0.4326008274592721,264
Nifedipine,true,true,less,0.0820898366760872,0.0834597136927713,0.3269009945073391,0.0110485915294578,0.1000000000000822,0.1,0.0335967672359774,0.1,0.01,29.3787928217874,0.39,0.4099134832008081,272,,24.598196946647683,5.116613022009375,0.5202926713016551,0.010101775666488,94.14026014198554,5.829453431357243,1.785782402834434e-16,5.999999644074845,0.0100000000155168,0.1000131778773152,0.39,1.1102230246251563e-16,272
Vincristine,false,true,less,0.0817698931883261,1.7454488227637263e-05,0.0341757047833194,0.0383692139715134,89.75859470736096,0.186047980602478,0.0080327423858597,5.703914298118361,0.0301371948354767,95.99801597441238,0.063,0.002102521955081,263,,23.95054602914171,8.748192416093177,1.0509491211402835,0.0570440961260395,95.90342158532168,0.1295000000003965,2.667077911664956e-07,0.1000008235021334,1.5618161154747112,74.8889216946402,0.063,-9.06767549935239e-10,263
Vorinostat,false,true,less,0.0725282080558361,0.0680371330065032,0.2749632336378597,0.1324907173106132,0.1,0.1,0.0701701323445014,0.2705653594432146,2.0,22.266464665597084,1.5,0.6201444241549919,296,,21.82135928080522,17.336440913375426,2.0,1.9999999840079103,52.212661352029215,5.999999985346451,1.1844681769708002e-10,0.1,0.0100568699953223,95.99999999430725,1.5,0.1211600592361276,296
