Drug,R0,Emax,mu_c,sigma_c,tau,m,E_tox,n,TC50_norm,tau_tox,Cmax_used,R2,N_points
Amiodarone,0.1054590741532434,0.19999999999983772,1.4167589465171797,0.29445746731706046,10.01204880886417,1.7958226502398558,0.10240729215901717,1.818846904189411,0.32038430035186455,15.29550132831033,2.8,0.8238351615059587,255
Bortezomib,0.13808930842606398,0.12917068004577265,0.5174441186869456,0.021259631275381982,88.8848369177543,5.999999999999999,0.10549645249876236,5.999999999999999,0.05744408904964737,82.84913446329838,0.29,0.3717200102558551,296
Chlorpromazine,0.10641069426499372,0.11822579014640844,0.05882388576945558,0.010000337311962898,0.10000000509945617,5.999999979141406,0.05961672866761202,5.999993763386797,0.010000034648706652,95.9995747221582,2.5,0.7776577162341499,272
Cobimetinib,0.08052340864821085,0.12481827653942429,0.45343886780834264,0.03362110946443607,0.10000000000000012,0.10000000000000002,0.02786056195241683,5.999999999994069,0.04429623366192004,47.28156086281262,0.53,0.5664708068685718,296
Dactinomycin,0.09826681319004826,0.0517493159187321,0.7737886090706961,0.0917988778518431,0.10000000702289592,0.10000000000250717,0.050787312850632246,5.99999361880988,0.010003168757052854,79.1564085733375,0.034,0.1704177090837331,272
Daunorubicin,0.15630700805184078,0.006489256554424572,0.018420283627838444,0.023925237322989096,88.46314553416144,1.8984514944743138,8.007850253654101e-17,0.10000000007754975,1.4651946497358515,77.73596660268315,0.24,-2.220446049250313e-16,259
Doxorubicin,0.13298180282738978,6.8104503859448536e-06,0.1607540431239308,0.10314314262684127,70.27067637170833,0.3744437714790358,0.015070734508433698,5.923642604275661,0.01837928775880973,95.99927943536954,0.13,0.0022769557947840413,259
Epirubicin,0.1209878496202567,0.06722625722780254,0.4259467572754073,0.028770936182313134,66.09915216557098,2.1673422161037865,0.04782859037680083,5.999999999999904,0.01000000000000088,95.99999999999999,0.45,0.048596523959284044,296
Erlotinib,0.07251193491448574,0.05395932664968236,0.5113753436317399,0.03374214123841985,0.10000000000035034,0.10000000000000002,6.656414260194383e-14,0.10000000000010395,1.612307414541803,59.26024188828765,0.65,0.1244588408761258,296
Etomoxir,0.08521930994394293,0.13378610098115398,1.1469690118395304,0.33321829777261736,1.7073192539262352,3.5580482542715397,0.03233364958460973,5.735892106215914,0.010845445624352773,16.751537659306887,0.1,0.34907454531093507,272
Gemcitibine,0.10618890197922048,0.12553047721299754,0.7002459563805046,0.12838502843595023,4.000888392067565,5.999975471334203,0.05471975028187743,5.999999999992987,0.010324272821957753,35.925910028578635,20.0,0.48709890821732205,264
