Drug,R0,Emax,mu_c,sigma_c,tau,m,E_tox,n,TC50_norm,tau_tox,Cmax_used,R2,N_points
Amiodarone,16.038721480339373,27.2024659849478,1.9999999999999996,1.4610373398500927,34.54845644038888,4.361617531707524,5.311175980402904e-09,0.10000000000005672,0.010000005198475865,95.99999998427488,2.8,0.2423830043556322,255
Bortezomib,20.28708121493583,11.125208527514802,1.156930530737536,1.3771186207214823,34.028351426927784,5.999999128423922,1.8994861554453587e-14,0.10000000000037144,1.9705045614078522,95.99999800811781,0.29,0.11648813826990356,296
Chlorpromazine,24.99999999999982,3.604672510852322e-05,0.0009304167863599057,0.010977382974424247,95.95305392876438,2.5846436574811427,1.6150219053017515e-14,0.1000000000009247,1.9999931693679573,95.99999997710822,2.5,-0.042293159716055406,272
Cobimetinib,24.99999999553915,23.863368241461828,1.9999999999999973,1.0011926163442564,30.357608914070152,5.999999690790059,7.175297543044763e-10,0.1295000000000001,1.9999999991129016,95.99999997630361,0.53,0.07860274278908708,296
Dactinomycin,24.99999999999949,55.455992863246806,1.9999999999993612,1.9999999954672827,42.81204730118656,2.4229324275493713,2.3881792365992227e-11,0.10000000000000454,1.9999999999707656,95.99999999955529,0.034,-1.605078215510673,272
Daunorubicin,24.999999999999996,4.070053461336361,1.7663602160751102,0.1366307607056787,52.170649378352074,5.999976966743508,5.625180757097517e-21,5.986751577996494,0.011005861615299872,0.10052238342672959,0.24,-0.016979587855089573,259
Doxorubicin,24.999999999999986,21.360856758770534,1.9999999999369342,0.029344478544730435,73.79005320699508,4.832573358023175,4.2527646051735345e-16,3.4902362091061767,0.012449984769783453,30.87034974749566,0.13,-0.18974942878834766,259
Epirubicin,24.999999999999996,20.03208956396557,1.9999999999995486,1.1581422173348113,31.813499068306726,5.9999999967399456,1.119064329437261e-11,0.10000076833721949,1.999358945980718,95.98533727569053,0.45,-0.25554122505829957,296
Erlotinib,24.999999999999996,98.79439547703862,0.7733012653168563,0.10871190332627592,33.55362484208418,5.999999999999999,4.1624003105243413e-51,1.41327171277362,0.2102464414642359,87.16323569826422,0.65,0.013509577876773537,296
Etomoxir,24.999999999999996,24.349123152549538,0.5803102847468232,0.9821516879731412,21.688035247020917,3.630188338002567,4.6966235453367393e-23,0.10000000085368012,1.9999999992380717,95.99999993789002,0.1,-0.44693677286662337,272
Gemcitibine,16.323476147313826,48.80119109008541,1.149728323752002,0.6920232570342172,25.07014423553375,4.762983091736765,25.57902286897731,5.999999999991857,0.11795761946859556,49.70531457573549,20.0,0.4326008274592721,264
Ibrutinib,24.999999999991875,6.896881586857742,0.835510265800015,1.1093218343039968,29.793285548815664,5.999999999999037,1.1472085333030836e-13,0.1000018748523943,1.9999958166002738,95.99999782234894,0.53,-0.0023372764832043647,296
Ibuprofen,24.999999999999996,40.230802900559695,0.9506902293336337,0.6610355272411083,1.975366210520508,1.635908559241187,40.35243338157698,0.23970578441083246,0.010000000402311554,95.99999992845854,150.0,0.4596807677407271,648
Isoproterenol,19.867442963703745,47.924681857298516,1.9999928931506434,1.9999999981906467,22.679363259953586,5.999999999999999,3.1455960352513377e-40,0.10000000009579488,0.10277605875306328,95.99999999977341,0.013,0.03744150653222267,238
Mexiletine,23.03731558791958,12.530008888089613,1.9999999999999998,1.9999999993238282,34.577105659162164,5.999999999976349,2.4156890375540462e-11,0.10000000000000002,1.9899439287369343,95.99999999983987,3.6,0.11649275543152526,272
Nifedipine,24.598196946647683,5.116613022009375,0.5202926713016551,0.010101775666488032,94.14026014198554,5.829453431357243,1.785782402834434e-16,5.999999644074845,0.01000000001551683,0.10001317787731523,0.39,1.1102230246251565e-16,272
Panobinostat,20.110784501206663,18.60003144643176,1.0530949585093636,0.8042813351641254,59.46299908187036,5.999999950812583,1.0598583809011911e-13,1.6299866070101963,1.9999999656464287,0.12277153493807447,0.063,0.13421152791013635,259
