# Equation: Gaussian Ridge (Eq5)
# R(C,t) = R_0 + A \exp(-(C-\mu_c)^2/(2\sigma_c^2))(1-e^{-\kappa(t/\tau)^m}) - B \exp(-(C-\mu_{tox})^2/(2\sigma_{tox}^2))(1-e^{-\lambda t})
# Parameters: ['R0', 'A', 'B', 'mu_c', 'sigma_c', 'mu_tox', 'sigma_tox', 'kappa', 'tau', 'm', 'lam']
#
Drug,Contractility,,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,A,B,mu_c,sigma_c,mu_tox,sigma_tox,kappa,tau,m,lam,Cmax_used,R2,N_points,,R0,A,B,mu_c,sigma_c,mu_tox,sigma_tox,kappa,tau,m,lam,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.113228763959215,0.0614233190583998,0.1356537630830009,0.7433809771320752,0.2353568602901212,0.99040402502819,0.6560645851268171,97.47965117041672,0.1000009197352977,0.1000000000000579,0.0126592195013822,0.29,0.2806949850949249,296,,20.47344351025505,10.780842075767367,16.27722339660208,1.0982192520372265,1.4136365790760108,1.44499231873178,0.0303522524554046,4.960629575971146,61.350944467270544,4.079050628424767,0.0585882926796786,0.29,0.1134271726126353,296
Doxorubicin,true,true,most,0.1527919342481694,0.3956224254443098,0.3999988938906633,1.5394969055365473,0.8225003322000202,1.2318284340423138,1.8327752842420093,57.01350130097642,2.681915224931392,1.984857774554564,0.8672247413678773,0.13,0.353916877279265,259,,25.0,58.00784311343177,66.11597586652834,1.117093254670163,0.2530256665744393,1.2130916929931828,0.5194274983001309,37.39434490185835,12.230201005966482,5.999999829969562,0.1540334162537183,0.13,-0.109812395782423,259
Epirubicin,true,true,most,0.1445106048553721,0.3999999999999999,0.1218895927341803,0.6127024968800047,0.1171706660272078,0.4449441314674879,2.0,3.1628335712349838,43.03264310940945,1.6218842269382374,0.0787072187410048,0.45,0.6477723098917798,296,,25.0,99.30816168282767,99.99999577613836,2.0,2.0,1.6219322577882438,1.827405067000696,2.7720886212194267,48.53655538339911,2.303931817743872,0.0259515652326394,0.45,-0.1263769671103403,296
Ibrutinib,true,true,most,0.1342300967981204,0.3960972788756359,0.1248864433031825,0.3585873932965643,0.0626234974180092,0.6113574328335312,0.3162171934055284,2.95568473722482,28.391335819717103,2.0303398258207626,0.0950545439104942,0.53,0.3653863788742734,296,,25.0,93.99298869111134,99.99999961908809,1.8575120332281816,1.5606976333951137,2.0,1.608270775082873,0.5726429186605984,21.939750699873542,1.76094034598035,0.0298606787713545,0.53,0.1028211266831455,296
Isoproterenol,true,true,most,0.0919506213105111,0.036,0.036,0.5,0.3,1.5,0.3,1.0,24.0,2.0,0.1,0.013,0.0,238,,20.624621770720218,9.0,9.0,0.5,0.3,1.5,0.3,1.0,24.0,2.0,0.1,0.013,0.0,238
Panobinostat,true,true,most,0.1405909702095703,0.3240554702834114,0.2734113932052546,0.6177105019797575,0.4294121313262525,0.4198293375948128,0.7281120887445297,1.536136415844921,67.37136880028079,0.8327132181822606,0.0329535910831149,0.063,0.7943425836428142,259,,21.62103814700158,99.97964425987364,27.4286513079126,1.893163307475666,0.8278788073461698,1.9682369530967616,0.1233346696142001,0.0289262256285165,28.14976750902073,2.4709857941939597,0.0283318657509575,0.063,0.2015943632508391,259
Sotalol,true,true,most,0.0867434125112041,0.178938076649179,0.1912668575366497,1.403925714900047,0.5046770272438353,1.1902738417189576,0.3576659021707682,54.24355243685413,19.767134976776,2.2919248811985877,0.0738850504662908,3.2,0.6647896083539866,272,,25.0,49.20536295980722,53.4033116906479,0.3215108258884017,1.4248924404509078,0.5442485352939401,0.6055324534720127,4.687123232294498,56.95549051889095,1.617641298620894,0.0677123659996399,3.2,0.01959136932142,272
Sunitinib,true,true,most,0.0394786421079574,0.3999999999999999,0.3459934044698275,1.7766076044373815,1.77636217019663,2.0,2.0,20.561378284442867,30.108798596773752,0.2045694705752633,0.7091819607254212,0.15,0.6067425801407165,296,,25.0,90.2149743588267,99.99999999459206,1.999999999998942,2.0,1.6365433095986532,1.490875881490238,3.649117807064753,82.21611539999269,1.8345433612075732,0.0253715746127497,0.15,0.3405006593916261,296
Vandetanib,true,true,most,0.1063066294936257,0.3999999999999999,0.3550891859500987,1.8596012665166135,0.5378425241420831,1.6655399817411438,0.065090236906485,19.708624048140766,11.605533000423469,0.2523659102055102,1.0,1.2,0.29605483236427,296,,25.0,85.41178034607384,99.99980423596712,1.17752035514946,0.4105329699096311,1.1810785327766615,0.2403861886288513,1.429254198619336,44.04847304993405,2.6298984422777463,0.0478725989873878,1.2,0.1990878501840677,296
Cobimetinib,false,true,most,0.0831240109483664,0.3999999690040384,0.291052833103429,0.4095211253402204,0.0906420655715895,0.5539341758683065,0.2270260970850311,1.238002711829393,26.707008035778127,0.7617688864230783,0.034877350648668,0.53,0.8868342168027968,296,,25.0,24.93103106389328,17.62311250935546,2.0,2.0,0.4734003771469118,0.428946840261229,0.8857364415109521,27.00471894840029,3.230334343235305,0.999999999999958,0.53,0.2322031491007765,296
