Drug,R0,A,B,mu_c,sigma_c,mu_tox,sigma_tox,kappa,tau,m,lam,Cmax_used,R2,N_points
Amiodarone,6.292235867208363e-13,0.156969439756417,0.12753497964126612,0.38037267625264976,1.4828583583191695,0.5738854780520354,0.38806566124359226,8.347109851563378,48.26591555808884,0.7168328886308871,0.07891965564435686,2.8,0.8207978297148616,255
Bortezomib,0.11322876395921502,0.06142331905839989,0.13565376308300095,0.7433809771320752,0.23535686029012126,0.9904040250281899,0.6560645851268171,97.47965117041672,0.10000091973529773,0.10000000000005792,0.012659219501382239,0.29,0.28069498509492496,296
Chlorpromazine,0.09086121521047127,0.39999999999997715,0.37836690117189264,4.400109573010756e-35,0.45216730385823056,0.2239362049116768,0.30708690382298426,61.06124352271237,3.5980066026629127,0.3237656406282577,0.8592337447387095,2.5,0.5516782210635782,272
Cobimetinib,0.08312401094836644,0.3999999690040384,0.291052833103429,0.40952112534022045,0.09064206557158953,0.5539341758683065,0.2270260970850311,1.238002711829393,26.707008035778127,0.7617688864230783,0.03487735064866805,0.53,0.8868342168027968,296
Dactinomycin,0.08382387124595145,0.08434728777070043,0.07044154900737469,0.5580233603591127,0.14908881930678597,0.9415566757431765,1.0398591119895622,31.48906106958991,12.707421284962974,0.19946194727566594,0.02313460429308361,0.034,0.35851891397905655,272
Daunorubicin,0.19070551792204787,0.044319505177059584,0.08933055787521198,0.9516984963402262,0.07319679339156765,0.7018729108606268,1.9999999999999998,13.684272097639658,74.9901226695585,1.1302844898930875,0.9999999999995891,0.24,0.6717650745956594,259
Doxorubicin,0.15279193424816942,0.39562242544430987,0.39999889389066334,1.5394969055365473,0.8225003322000202,1.2318284340423138,1.8327752842420095,57.01350130097642,2.6819152249313922,1.984857774554564,0.8672247413678773,0.13,0.353916877279265,259
Epirubicin,0.14451060485537215,0.39999999999999997,0.12188959273418033,0.6127024968800047,0.11717066602720784,0.44494413146748796,1.9999999999999998,3.1628335712349833,43.03264310940945,1.6218842269382374,0.07870721874100486,0.45,0.6477723098917798,296
Erlotinib,0.07853105467611553,0.04875648305641556,0.04312692416170681,0.4522242360875965,0.1059354554975491,0.6684008194263803,0.4408940785369058,71.36213503555274,9.683801797307073,0.10000000000016025,0.057067911813254615,0.65,0.4609812953408212,296
Etomoxir,0.06125429548665476,0.1980359461317307,0.05886630322816822,1.1012929703016368,0.3931984258353443,1.9999995400306831,1.1829086478665676,96.80122837007757,1.2361390485978447,0.14111430550366083,0.03689086598352964,0.1,0.42563538127011613,272
Gemcitibine,0.0828045844164687,0.09423410615991173,0.39999999999833935,0.5817006595101557,0.17022691955005043,0.55031574042674,0.2452340141166858,28.59076258622613,56.21653744079448,1.3736945126139806,0.0032903775471951817,20.0,0.32491935236809677,264
Ibrutinib,0.13423009679812042,0.39609727887563595,0.12488644330318258,0.35858739329656436,0.06262349741800925,0.6113574328335312,0.3162171934055284,2.9556847372248196,28.391335819717103,2.0303398258207626,0.09505454391049427,0.53,0.3653863788742734,296
Ibuprofen,0.004645465145341991,0.332573688189262,0.39999987274959753,0.7700430151859029,0.17660357034402083,0.58231557590888,0.09960940561418515,23.244344303393213,52.655938992568665,0.9860797960905625,0.46562010254942693,150.0,0.12823769775536709,648
Isoproterenol,0.09195062131051114,0.036,0.036,0.5,0.3,1.5,0.3,1.0,24.0,2.0,0.1,0.013,0.0,238
Mexiletine,0.13574595030182887,0.39999999999999997,0.35930749494000463,1.1134145497976946,0.5129154188255861,1.3066125202546661,0.8435148333344658,4.446604847410885,44.645809804227454,1.3816313341573887,0.059329980544840635,3.6,0.5526927226599794,272
Nifedipine,0.0652790779051682,0.3999999994082244,0.3999917319623063,0.45478443538598773,0.06514324921512138,1.9988789129502358,0.03030996895167703,99.99999969472451,0.10000000001360772,0.10000000000000732,0.0003366992897987503,0.39,0.3938161842956859,272
Panobinostat,0.14059097020957037,0.3240554702834114,0.27341139320525465,0.6177105019797575,0.42941213132625256,0.41982933759481283,0.7281120887445297,1.536136415844921,67.37136880028079,0.8327132181822606,0.03295359108311499,0.063,0.7943425836428142,259
Plicamycin,0.07058556676487553,0.04490508959318371,0.0674292794723191,1.70503110654406,0.41477770251270335,1.1009085243402104,0.10080332077050877,32.60298955163878,23.681073363001637,5.999880002041208,0.36533698985246954,0.15,0.2450117398843662,272
Rosiglitazone,0.00332428740174642,0.24601236808630195,0.019216213979694887,1.650925542931942,0.20554857889327913,1.5705268835774442,0.39010031853292687,27.18811235154975,2.2873260621438734,2.9415299804911847,0.0249115498562771,0.85,0.5040415565574434,612
Sotalol,0.08674341251120413,0.17893807664917905,0.19126685753664974,1.403925714900047,0.5046770272438353,1.1902738417189576,0.35766590217076827,54.24355243685413,19.767134976776,2.2919248811985873,0.07388505046629082,3.2,0.6647896083539866,272
Sunitinib,0.039478642107957415,0.39999999999999997,0.34599340446982757,1.7766076044373815,1.77636217019663,1.9999999999999998,1.9999999999999998,20.561378284442867,30.108798596773752,0.20456947057526337,0.7091819607254212,0.15,0.6067425801407165,296
Vandetanib,0.1063066294936257,0.39999999999999997,0.35508918595009875,1.8596012665166137,0.5378425241420831,1.6655399817411438,0.06509023690648506,19.708624048140766,11.605533000423467,0.25236591020551025,0.9999999999999999,1.2,0.29605483236427,296
Vincristine,0.0802276824377639,0.3999050247010869,0.34083369216094567,1.7445384012533531,0.5410491684146583,1.9999259033545846,1.1378340986349709,0.019178986270120428,34.19677121556885,0.9181295414647543,0.001052285570652846,0.063,0.012004727807604976,263
Vioxx,0.002718341645253228,0.004658618075401578,0.004263538747882678,1.5074802077593656,1.7519927273539044,1.0505832324861732,0.8561554224509442,54.457970892513764,6.33766737913506,0.15194278447437934,0.078389912375601,0.66,0.17500740033643636,588
Vorinostat,0.044494312898179775,0.07705255847765091,0.21584030512545588,0.4186893727024266,0.23872925729969188,0.5500629367603874,0.16338877697152548,27.795317413506726,16.909673715588426,0.11417645571013765,0.007415625037690901,1.5,0.633173633838554,296
