Drug,R0,A,B,mu_c,sigma_c,mu_tox,sigma_tox,kappa,tau,m,lam,Cmax_used,R2,N_points
Amiodarone,23.65360798631559,99.99999999978893,89.03272198807413,1.824788838391417,1.999999999999996,1.2041746573687804,1.644115243974282,2.3282643492516444,58.34933717948065,1.4499908116266602,0.03594476229998079,2.8,0.7824152228937313,255
Bortezomib,20.473443510255052,10.780842075767367,16.27722339660208,1.0982192520372265,1.4136365790760108,1.4449923187317801,0.030352252455404634,4.960629575971146,61.350944467270544,4.079050628424767,0.05858829267967867,0.29,0.11342717261263535,296
Chlorpromazine,24.999999999999996,17.31497441791687,15.587741642014635,3.827552857700253e-18,0.1146668382626663,6.101005210175252e-10,0.35911033280528826,30.792119941885062,56.47229310445062,4.189020615556297,0.9999999999999999,2.5,0.04092825489811469,272
Cobimetinib,24.999999999999996,24.931031063893276,17.62311250935546,1.9999999999999998,1.9999999999999998,0.47340037714691185,0.42894684026122903,0.8857364415109521,27.004718948400292,3.2303343432353055,0.9999999999999581,0.53,0.23220314910077655,296
Dactinomycin,24.999999999999996,99.99999986510552,61.03751018160376,1.9999999999999998,1.9999999999999998,1.629655793212588,1.4136904425609116,1.652225656649874,37.303136486714074,1.1909441341690168,0.10997809425676143,0.034,-1.3824974719739052,272
Daunorubicin,24.999999999999996,21.101116215962417,20.65952010665665,1.9999999999999998,1.301778496161304,1.774020231066105,1.9999999998581586,4.427080306057635,49.382696500054976,5.99999985619413,0.9999960881333255,0.24,0.1384081680460314,259
Doxorubicin,24.999999999999996,58.00784311343177,66.11597586652834,1.117093254670163,0.25302566657443937,1.2130916929931828,0.5194274983001309,37.39434490185835,12.230201005966482,5.999999829969562,0.15403341625371839,0.13,-0.10981239578242308,259
Epirubicin,24.999999999999996,99.30816168282769,99.99999577613836,1.9999999999999998,1.9999999999999998,1.6219322577882438,1.8274050670006958,2.7720886212194267,48.53655538339911,2.303931817743872,0.02595156523263942,0.45,-0.1263769671103403,296
Erlotinib,24.999999999999996,99.99550047719434,77.77217211973718,1.1334946657948535,0.6438826720220068,1.1282099776498924,0.8278023629874779,3.2970417263691343,49.38287386396437,0.9725131082870048,0.1369975421148277,0.65,0.09239353918409099,296
Etomoxir,24.999999999999996,20.64573434000225,89.34503229134825,0.7788811238904569,0.9298644302994626,0.6484805750801383,0.045857906959184916,1.0839245203179293,26.55072879324906,2.337175884913204,0.43388839012909036,0.1,-0.4472085191427604,272
Gemcitibine,16.88671881812464,37.28085246902056,99.80065892182657,1.9999999999999998,1.1147611575376153,1.9984129903600603,0.011223713705472663,5.372947075780192,35.75578417552297,5.999999999998178,0.00010285501298288278,20.0,0.29005774998060685,264
Ibrutinib,24.999999999999996,93.99298869111134,99.99999961908809,1.8575120332281816,1.5606976333951135,1.9999999999999998,1.608270775082873,0.5726429186605984,21.939750699873542,1.7609403459803499,0.02986067877135453,0.53,0.10282112668314558,296
Ibuprofen,5.000000035628698,47.30228419487354,99.99999999999999,0.7881181109587697,1.040649821402627,0.18033213924829358,0.35672463371853996,55.33827071403135,8.552852144756606,0.14451423246208656,0.0019728200558804068,150.0,0.5214285070419368,648
Isoproterenol,20.624621770720218,9.0,9.0,0.5,0.3,1.5,0.3,1.0,24.0,2.0,0.1,0.013,0.0,238
Mexiletine,24.999999999999996,99.99999999999943,78.80484937684774,1.8018276172239498,0.561870763095964,1.390799753300744,0.07984707464723952,2.5717566411460178,54.65591539903195,1.7126074644710474,0.04185425690084524,3.6,0.39476709567256674,272
Nifedipine,24.999999999999996,79.56314256196136,99.99999996471391,1.9999999999999998,1.9999999999999998,1.8503109399173876,1.7446996876298975,5.559159968622397,92.3366211212573,1.703744658687949,0.02744765654925503,0.39,0.20132391969655805,272
