# Equation: Hormesis V0 (Legacy) (Eq12)
# R(C,t) = R_0 + E_b (C/EC_{50,b})^{n_b}/(1+(C/EC_{50,b})^{n_b})(1-e^{-t/\tau_b}) - E_t (C/TC_{50})^{n_t}/(1+(C/TC_{50})^{n_t})(1-e^{-t/\tau_t})
# Parameters: ['R0', 'E_benefit', 'E_tox', 'EC50_b_norm', 'TC50_norm', 'nb', 'nt', 'tau_b', 'tau_t']
#
Drug,Contractility,,,,,,,,,,,,,,,,O2,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points,,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.118345974093176,0.0999999999999911,0.090568863410167,1.9999999113364009,0.0612866979488292,0.2971907848472941,5.9999999999987175,3.781754882665466,29.51129747017886,0.29,0.3872819373831044,296,,9.729432485281674,49.999995382511145,23.12312868611316,0.0756072192491095,0.1696238011421163,0.8763391190124968,5.999999916848346,32.81188144160551,29.769985761771352,0.29,0.3196284874148255,296
Doxorubicin,true,true,most,0.1082202613443165,0.0999999999999999,0.0609175069975699,2.0,1.2637211725590372,1.0173667276172662,5.999999999999999,0.2721929600530378,0.2582597563906895,0.13,0.2359876529455862,259,,14.045393439200623,49.9999999996767,10.138899034746087,1.999999999971505,0.0107101533523691,1.64148077182727,4.502541504394046,27.523714310054896,5.214636847719909,0.13,0.6993954594711156,259
Epirubicin,true,true,most,0.0859518785704886,0.0999999999993306,0.0616756099352629,2.0,0.010000000994099,1.0556741801096676,5.99999936937847,6.506197099380649,67.7306054555153,0.45,0.472289352658427,296,,17.96597055256123,49.99999999999999,6.522194437240195e-15,1.5867523050246222,1.9999907984898049,1.0630418026510158,0.1007622329248613,31.57976432832462,93.0797164786404,0.45,0.6806239628110878,296
Ibrutinib,true,true,most,0.1113803203375889,0.0999999999999999,0.1040502277044376,1.303834746788895,2.0,5.999999999999999,1.5477076472652267,0.5439979079365779,1.81069242776036,0.53,0.4645459195561709,296,,21.007029894275384,49.99999999999999,18.53854946995865,1.9999999999642637,1.06684313275723,0.774979680151385,3.483864100637665,21.44917224083607,4.9438926799761935,0.53,0.4490900092011683,296
Isoproterenol,true,true,most,0.0886379236395056,0.0999999600751931,0.1071629902276021,2.0,1.99999999999994,2.5069600832479138,1.4095191599080714,11.240828782296546,16.681320348929905,0.013,0.0276841524725319,238,,19.17924485082841,49.9999995747453,48.249506302442605,1.999999900011264,1.9999999999862452,3.9208229358318847,1.5536792795882612,12.314965998650893,5.728383826566875,0.013,0.1704987853871667,238
Panobinostat,true,true,most,0.1222966385282487,0.0999999999999999,0.0928508037838792,0.258351736926716,0.0323450519180957,5.999999999999999,1.1090426285543251,11.769740685267005,20.51080538520896,0.063,0.7672203247912441,259,,15.50438346484044,49.99999999999918,21.572823387584087,0.1759478979820473,0.262710760666199,1.3686434733127766,5.999999999999999,52.08488577628712,14.846610410535147,0.063,0.3299433493308681,259
Sotalol,true,true,most,0.0904038338830361,0.0999999999975095,0.1088934531380926,1.2678385995784769,1.9966226508158529,5.999999999999999,5.999999999999999,4.197561996526442,7.48415779605529,3.2,0.5630958539744398,272,,24.9999999999995,49.99999999999985,23.187670595633534,0.7142471401310088,0.2042941167917192,0.8506950545827142,3.551682519513641,13.032542231827868,5.868446825899412,3.2,0.5061472305498874,272
Sunitinib,true,true,most,0.0770406996179435,0.0999999999999999,0.1466335065744761,0.977853756209744,1.6954622884149908,5.999999999999999,5.168774126976974,1.7216648821119662,2.363243057600134,0.15,0.6376370741961037,296,,23.060564785437556,49.99999999999999,17.65081081246728,1.7014839710794576,0.8629973461441071,5.995733662118187,5.999999999999999,44.49072231418607,5.433867347612282,0.15,0.5530167393787717,296
Vandetanib,true,true,most,0.1480616867839952,0.0999999999999999,0.1999948519699498,0.5682180714901314,0.9661967369938926,5.999999999999999,0.8064834849828314,5.401630991763807,11.097287771185044,1.2,0.5650815361404748,296,,7.210337899303062,49.99999999999999,0.7246953658121151,0.1176399839948854,2.0,0.5753380504213382,5.9999999999999885,26.1310595078752,95.9999999999845,1.2,0.4631489363400465,296
Cobimetinib,false,true,most,0.0560328813155167,0.0999999999985893,0.086683016810708,0.3418165636590693,0.5701636265758535,5.999999999999999,5.999999999999971,2.3739112581010247,5.673819669275744,0.53,0.5038800617451284,296,,14.604152055638243,49.99999999999999,3.3016621685651895e-19,0.7826601663339574,1.9738582458205527,0.7891850568382037,0.1367085402356962,27.54338185602913,94.80933189781292,0.53,0.6172379792541298,296
Daunorubicin,false,true,most,0.1086508238544822,0.0999999999999999,0.0293541556811537,2.0,0.0100000000025879,1.9739670271554803,4.544854871785393,9.007201254721805,96.0,0.24,0.7747496244364349,259,,8.862142432948337,49.99999999999999,4.942209018380457,2.0,0.6804983485293054,1.1694670205304365,5.990305540006366,27.61031703950834,3.845061715122218,0.24,0.6792072197917625,259
Ibuprofen,false,true,most,0.0046873237289049,0.0999999999999994,0.1043777522844324,0.3781110425445292,0.3525490087566571,4.673772190376196,5.999999999999999,83.11842471608657,95.99999967549844,150.0,0.1341358784491885,648,,25.0,45.86547297490599,36.02350368133625,2.0,2.0,0.3466488887774688,5.999999999999999,0.1,96.0,150.0,0.1421947317929323,648
Rosiglitazone,false,true,most,0.0039426513631227,0.0999999618153498,0.1015148912999647,0.7474554550184509,0.7778816358730443,5.999999999999999,4.961359650529337,8.432399062865178,9.030710467333876,0.85,0.4264409722842455,612,,25.0,49.99999979125364,23.60130128181426,1.2016491937844438,2.0,0.50318279872707,1.0742345423096815,0.5992346521491102,0.4944038381648458,0.85,0.1839904963129621,612
Vioxx,false,true,most,0.0046892678499041,0.0036399512875578,0.0093995461863629,0.0174920683472702,0.9217770765507142,5.999999999999992,0.1000000000000023,4.482656817428603,10.368616957322294,0.66,0.1666209928594979,588,,24.999999999999662,11.552527123755192,21.928439490381297,0.0418375777266184,1.5751664143175594,3.6727267116149247,5.999999999999999,2.190925943602439,95.99999999999996,0.66,0.3460870048389339,588
Mexiletine,true,false,most,0.0708881123520569,0.0856546449402757,0.0787974641337689,0.3554965656964862,1.4093009472947435,5.999999999999999,5.999999999999999,2.2920191937442764,50.81966830071595,3.6,0.3934658866279383,272,,23.325276875777018,49.999965538687206,30.06842983535422,1.0884363707279738,0.9797869332356628,2.351592309523438,5.999999999999999,11.45105302324441,6.450713495191006,3.6,0.4215893268309287,272
Amiodarone,true,true,less,0.0978815157334298,0.0999999999999999,0.1999999999999999,0.9111233063682718,1.150029827282839,5.999999999999999,1.2572954207287108,6.823841576093231,8.147945629404743,2.8,0.6130666766734463,255,,23.422873545642148,49.99999999999999,11.039334561168555,1.140573082658603,0.217494609132876,1.7333066801710717,5.999999999999994,28.72061954678914,2.4251131224327964,2.8,0.7489054991116095,255
Chlorpromazine,true,true,less,0.1315514133196851,0.0999999987732889,0.1459194607821746,0.0167795257683545,0.0838535631529096,0.6123067324535489,5.999999997625084,7.025517085265123,10.843715753773282,2.5,0.7327091099562969,272,,22.34014512739263,49.9999999995649,10.940041372277404,2.0,0.2127605439034033,2.316828040463637,1.5743290143866842,14.283477682233633,4.503050915428147,2.5,0.7095165306534081,272
Gemcitibine,true,true,less,0.0839726548819312,0.0623604288390013,0.1999999999999999,0.3062777286434558,0.961217219191714,5.999999999999999,0.8414566412395761,6.948644880139801,49.35533137064668,20.0,0.2397401136757447,264,,25.0,49.99999999999999,21.111303417946743,0.458159387254325,0.1326322499500827,1.6327871995778045,5.999998854151783,15.928917044292636,3.506456947152136,20.0,0.3338693881607918,264
Nifedipine,true,true,less,0.0840929926775606,0.0999999999993041,0.1235771741900147,0.2047052167074052,0.1681426031398271,5.999999999999999,1.0405294048525455,5.719983329404174,9.017265028660944,0.39,0.5263520027573632,272,,17.223328108930477,49.99999999825457,22.00055584406617,1.99999999996082,0.6661111329497449,1.103889448624276,3.144998929011973,13.438613528597548,6.492871767553627,0.39,0.4683528092323656,272
Vincristine,false,true,less,0.0728298185796147,0.0999953168861183,0.1444029524506408,2.0,1.8369800956885565,2.7146558231962223,1.4419254655280975,46.3588875689987,95.99950352606972,0.063,0.0294816378633243,263,,23.709619328481967,49.99999999999999,29.17046799957355,2.0,0.0100020480276383,0.2616324331766508,5.999988261854237,15.423755488126387,5.912267553679615,0.063,0.1328232891630171,263
Vorinostat,false,true,less,0.0773066570406735,0.0755273534452728,0.1999999999598301,0.0598578802928885,1.252607393143504,4.050736109141431,0.3468257828341592,5.6032138192586265,8.043741891016294,1.5,0.6867249329389589,296,,18.249581414980906,49.999999998859145,16.610416476036512,0.1146254274323023,0.056070091308296,0.8430258305706655,5.999998496752624,39.44105492472086,6.94112586342958,1.5,0.4995445978589897,296
Dactinomycin,false,false,no,0.0779088047721498,0.0955340656683624,0.0853395115750718,1.999999539017308,0.9911947810202604,1.368737587411619,5.999999999999999,5.079270192356328,15.426344998591231,0.034,0.3809951653921105,272,,23.955428729277248,49.99999999999995,2.753675547210188e-13,0.3641619025450662,1.9992717254783732,1.1752656835471589,0.1000000107405314,33.1289501923556,94.97369145860269,0.034,0.8426779028738728,272
Erlotinib,false,false,no,0.084310262299341,0.0999999999999999,0.108410903704668,1.846633733501175,2.0,5.999999999999999,1.1307259391707782,32.19851837630447,18.544774438623243,0.65,0.396100712358303,296,,16.880613639522853,49.99999999999999,12.494803392818284,1.9969285163159345,1.4244174933468976,1.01603725285159,5.999999999999999,24.988304899304232,3.2344408038915566,0.65,0.6661287634602977,296
Etomoxir,false,false,no,0.1039647168481598,0.0999999999999999,0.1459698752430105,1.75911617045489,1.92413627965928,2.787492837987946,5.999999999999999,0.370243626665532,1.4061513143155824,0.1,0.3490739567453235,272,,24.999999999371248,49.99999999999999,27.677504437203265,1.9999999998981737,1.7997630354658996,0.7921234751690839,5.99999991588472,15.85086448663573,5.066698413764388,0.1,0.3620667494610594,272
Plicamycin,false,false,no,0.0764696814765648,0.0999998852960014,0.1067226216148704,1.2288793337048178,0.68768368134645,5.999999999999999,2.085684279605503,7.792290479989747,11.034174420701207,0.15,0.1881483734162748,272,,17.32399725099386,49.99999999999999,6.878021728277516,1.9999999999915088,0.9566315381850984,0.7681516402024867,5.999279907901551,37.88589784348823,2.94948793732614,0.15,0.5693620463126383,272
