Drug,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points
Amiodarone,0.09788151573342982,0.09999999999999999,0.19999999999999998,0.9111233063682718,1.150029827282839,5.999999999999999,1.2572954207287108,6.823841576093231,8.147945629404743,2.8,0.6130666766734463,255
Bortezomib,0.11834597409317607,0.09999999999999114,0.09056886341016701,1.9999999113364006,0.06128669794882921,0.2971907848472941,5.9999999999987175,3.781754882665466,29.51129747017886,0.29,0.38728193738310446,296
Chlorpromazine,0.13155141331968515,0.0999999987732889,0.14591946078217466,0.016779525768354578,0.08385356315290966,0.6123067324535489,5.999999997625084,7.025517085265123,10.843715753773282,2.5,0.7327091099562969,272
Cobimetinib,0.0560328813155167,0.09999999999858936,0.08668301681070802,0.3418165636590693,0.5701636265758535,5.999999999999999,5.999999999999971,2.3739112581010247,5.673819669275744,0.53,0.5038800617451284,296
Dactinomycin,0.07790880477214983,0.09553406566836249,0.08533951157507187,1.9999995390173078,0.9911947810202605,1.368737587411619,5.999999999999999,5.0792701923563275,15.426344998591233,0.034,0.38099516539211054,272
Daunorubicin,0.10865082385448227,0.09999999999999999,0.029354155681153737,1.9999999999999998,0.010000000002587913,1.9739670271554803,4.544854871785393,9.007201254721803,95.99999999999999,0.24,0.7747496244364349,259
Doxorubicin,0.1082202613443165,0.09999999999999999,0.06091750699756998,1.9999999999999998,1.2637211725590372,1.0173667276172662,5.999999999999999,0.2721929600530378,0.25825975639068954,0.13,0.2359876529455862,259
Epirubicin,0.08595187857048864,0.09999999999933067,0.06167560993526295,1.9999999999999998,0.01000000099409909,1.0556741801096676,5.99999936937847,6.506197099380649,67.7306054555153,0.45,0.472289352658427,296
Erlotinib,0.084310262299341,0.09999999999999999,0.10841090370466804,1.846633733501175,1.9999999999999998,5.999999999999999,1.1307259391707782,32.19851837630447,18.544774438623243,0.65,0.396100712358303,296
Etomoxir,0.10396471684815985,0.09999999999999999,0.14596987524301058,1.7591161704548899,1.92413627965928,2.787492837987946,5.999999999999999,0.370243626665532,1.4061513143155824,0.1,0.3490739567453235,272
Gemcitibine,0.08397265488193122,0.06236042883900134,0.19999999999999998,0.30627772864345587,0.961217219191714,5.999999999999999,0.8414566412395761,6.948644880139801,49.35533137064668,20.0,0.23974011367574477,264
Ibrutinib,0.11138032033758899,0.09999999999999999,0.10405022770443768,1.3038347467888953,1.9999999999999998,5.999999999999999,1.5477076472652267,0.5439979079365779,1.81069242776036,0.53,0.46454591955617097,296
Ibuprofen,0.004687323728904933,0.09999999999999942,0.10437775228443248,0.3781110425445292,0.3525490087566571,4.673772190376196,5.999999999999999,83.11842471608657,95.99999967549844,150.0,0.1341358784491885,648
Isoproterenol,0.08863792363950562,0.0999999600751931,0.10716299022760212,1.9999999999999998,1.9999999999999398,2.5069600832479138,1.4095191599080714,11.240828782296546,16.681320348929905,0.013,0.027684152472531975,238
Mexiletine,0.07088811235205698,0.08565464494027573,0.07879746413376895,0.35549656569648624,1.4093009472947435,5.999999999999999,5.999999999999999,2.2920191937442764,50.81966830071595,3.6,0.39346588662793835,272
Nifedipine,0.08409299267756061,0.09999999999930412,0.1235771741900147,0.20470521670740527,0.1681426031398271,5.999999999999999,1.0405294048525455,5.719983329404174,9.017265028660944,0.39,0.5263520027573632,272
Panobinostat,0.12229663852824871,0.09999999999999999,0.09285080378387923,0.258351736926716,0.03234505191809578,5.999999999999999,1.1090426285543253,11.769740685267003,20.51080538520896,0.063,0.7672203247912441,259
Plicamycin,0.07646968147656481,0.09999988529600141,0.10672262161487049,1.2288793337048178,0.68768368134645,5.999999999999999,2.085684279605503,7.792290479989747,11.034174420701207,0.15,0.18814837341627488,272
Rosiglitazone,0.00394265136312277,0.09999996181534986,0.10151489129996477,0.7474554550184509,0.7778816358730443,5.999999999999999,4.961359650529337,8.432399062865178,9.030710467333876,0.85,0.4264409722842455,612
Sotalol,0.09040383388303615,0.09999999999750951,0.10889345313809265,1.2678385995784769,1.9966226508158529,5.999999999999999,5.999999999999999,4.197561996526442,7.48415779605529,3.2,0.5630958539744398,272
Sunitinib,0.07704069961794358,0.09999999999999999,0.14663350657447616,0.9778537562097439,1.6954622884149908,5.999999999999999,5.168774126976974,1.7216648821119662,2.3632430576001346,0.15,0.6376370741961037,296
Vandetanib,0.14806168678399523,0.09999999999999999,0.1999948519699498,0.5682180714901314,0.9661967369938926,5.999999999999999,0.8064834849828314,5.401630991763807,11.097287771185043,1.2,0.5650815361404748,296
Vincristine,0.07282981857961474,0.09999531688611833,0.14440295245064083,1.9999999999999998,1.8369800956885565,2.7146558231962223,1.4419254655280977,46.3588875689987,95.99950352606973,0.063,0.02948163786332436,263
Vioxx,0.0046892678499041406,0.0036399512875578497,0.009399546186362979,0.017492068347270264,0.9217770765507142,5.999999999999992,0.10000000000000238,4.482656817428603,10.368616957322294,0.66,0.16662099285949794,588
Vorinostat,0.07730665704067352,0.07552735344527282,0.19999999995983012,0.059857880292888514,1.252607393143504,4.050736109141431,0.34682578283415927,5.6032138192586265,8.043741891016294,1.5,0.6867249329389589,296
