# Equation: Modified Hill (Hormesis) (Eq4)
# R(C,t) = R_0 + E_b C^{n_b}/(EC_{50,b}^{n_b}+C^{n_b})(1-e^{-t/\tau_b}) - E_t C^{n_t}/(TC_{50}^{n_t}+C^{n_t})(1-e^{-t/\tau_t})
# Parameters: ['R0', 'E_benefit', 'E_tox', 'EC50_b_norm', 'TC50_norm', 'nb', 'nt', 'tau_b', 'tau_t']
#
Drug,Contractility,,,,,,,,,,,,,,,,O2,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points,,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.1163812415703845,0.1401285696526039,0.1054733164956702,1.9999999999551488,0.0582398741171264,0.2167242524149993,5.999999999999999,5.187943971357803,23.61980524283055,0.29,0.3884719114877147,296,,9.477617655106076,99.99999999974472,73.90255230857127,0.1139548396438774,0.1496922239652539,1.8067485681100108,4.600291305848368,39.64620436643224,40.65596713054693,0.29,0.3261471406811582,296
Doxorubicin,true,true,most,0.1050886455076713,0.1999999999999998,0.1362234861002721,2.0,1.2575112264262285,0.8862058850919289,5.999999999999999,0.8545962090010223,0.1,0.13,0.3583502628799372,259,,14.586083342418137,99.9999999999969,36.37405052907907,1.999999999999999,0.0131367907524272,0.6522615715200675,5.9603802571277,29.69228316291832,14.706259828659617,0.13,0.7952912162317443,259
Epirubicin,true,true,most,0.0817653490137782,0.1999999999999999,0.0936540907289062,2.0,0.01,0.5087265343934056,5.999999999999999,9.370386481697937,25.97343694051996,0.45,0.5100624901932023,296,,16.052273173620634,99.99999999999862,28.324966077331897,1.9999999997848743,1.01526240871993,0.8366568395523694,1.5924095621439172,26.115488401763965,5.494094090656609,0.45,0.7857259175230972,296
Ibrutinib,true,true,most,0.1089863721328067,0.1988848953918561,0.1999999998401163,1.3511771069475904,1.724925995321602,5.999999999999999,2.122937580866721,0.5091939986625151,1.136400806293218,0.53,0.6286560659823037,296,,16.295121294878218,99.99999999887628,49.88329522622924,1.999999999991473,1.0972207918426349,0.7416611973707159,2.044086817733234,17.17221589100638,9.752163841506984,0.53,0.5424993216008462,296
Isoproterenol,true,true,most,0.0885609547830426,0.1930598192092935,0.1999970867904065,2.0,1.51037439489584,2.62659483733221,1.4931625178738617,12.319765690163324,15.106179373377184,0.013,0.0280474928853662,238,,19.187695550226334,99.99999999899686,98.25867142083816,1.9999999999886933,2.0,2.811034269449701,1.8598416840391807,10.282440828775954,7.016870527039515,0.013,0.1743389167725156,238
Panobinostat,true,true,most,0.1248504166669108,0.1999999999999999,0.1960812962067498,0.2358768640745177,0.1398370213543693,5.999999999999999,2.561973227675636,16.0478138723025,20.39703527254495,0.063,0.7686090945963584,259,,13.929766087752094,99.99997211801738,14.775974440634394,0.970280149206813,0.285207131724871,0.3409420586858697,5.999999999999999,95.99982053529224,18.54540307110466,0.063,0.338332336032723,259
Sotalol,true,true,most,0.0900622382259685,0.1917408736431258,0.1999994785331109,1.414961920519576,1.7797984277089376,5.999999999999999,5.999999999999999,4.874064438642145,6.668853945049978,3.2,0.5778226358593435,272,,25.0,99.99999998775428,81.99816751544839,0.7183223382577347,0.615789138447556,5.999999999999999,5.999999999999999,9.711845304425964,7.846759725017501,3.2,0.5125090155882803,272
Sunitinib,true,true,most,0.0944339464063904,0.1324965888028684,0.1999999999994633,0.7234327471940353,0.9712061337418374,5.999999999999999,1.632208312419548,1.1547321763011296,1.7333551833024023,0.15,0.7078499283149635,296,,16.736138702344252,99.9999997602352,38.66559287338106,1.122921740962047,0.3912820445504956,0.7550525161167426,2.427322266411085,36.81296584329272,14.869964188513976,0.15,0.6148242327847081,296
Vandetanib,true,true,most,0.142963522273903,0.1466159863569585,0.1999999999998497,0.5391658034160322,0.536092821782525,5.999999999999999,1.2580196633207956,5.056141716756528,8.328040310951321,1.2,0.6359183393496893,296,,7.115213761426535,99.99999999404044,34.215147335576404,1.3475253954777875,1.9204176075843244,0.481240564909133,5.999999999877931,30.546667525138208,95.99999876702854,1.2,0.5166716913999412,296
Cobimetinib,false,true,most,0.0550403161454788,0.199996441810507,0.1859635676100114,0.3839132758158751,0.4927754409372274,5.999999999999999,5.999999999999999,3.2128948517310856,4.774810416934729,0.53,0.5310851476684064,296,,7.597761893264363,99.99999999965316,44.507169133841096,0.3159771785036731,0.2500064833043295,1.055772523798536,5.999999999999709,16.880437551920913,10.0421418434635,0.53,0.7439252185965514,296
Daunorubicin,false,true,most,0.0952235025507541,0.1999999999999999,0.1747103505865474,2.0,1.5921030816091295,2.1985860340100376,5.317300645719911,17.399372349004402,96.0,0.24,0.8398598816283753,259,,9.993760061340868,99.99999965777783,37.93231033018634,1.9999999989988948,0.7093916352487114,0.8657081230675099,2.0633334196375337,24.1451183531378,9.154693639428205,0.24,0.8096016715688146,259
Ibuprofen,false,true,most,0.0046862268060262,0.1949454457175315,0.1999999853824055,0.3719268763376459,0.3581733632716312,5.152592324170389,5.999999999999999,88.68840249634235,96.0,150.0,0.1345361330585255,648,,25.0,99.99999835278734,60.248145733981495,0.0732677812250984,0.01,0.3784430312622786,0.7773356965311513,8.502742371285969,24.387022183414157,150.0,0.4228234378560965,648
Rosiglitazone,false,true,most,0.0039408921678538,0.1984916263294445,0.1999999955827903,0.7419945905359409,0.7582193280234651,5.999999999999999,5.395661929624499,8.590645502378084,8.894558872152349,0.85,0.4282187001115484,612,,25.0,32.486756496052216,1.0968778315476198e-20,1.999999999999753,0.5084975407197186,0.1695317294928517,4.683965789644088,0.7226819669537599,95.99981952844334,0.85,0.1574697607969957,612
Vioxx,false,true,most,0.0046892612696777,0.0036399392056296,0.0093996038435225,0.0174921208084927,0.9220211227464732,5.999999999999999,0.1,4.482236507640865,10.367987353368044,0.66,0.166620992997307,588,,25.0,11.552584660886616,21.928524618807952,0.0418383502397414,1.5751548124753771,3.6726079771465256,5.999999999999999,2.1909691757235845,96.0,0.66,0.34608700490301,588
Mexiletine,true,false,most,0.0740971221398737,0.1999999999999999,0.1520532892716406,1.0223282420929765,1.4750371342854929,1.698241390923945,5.999999999999999,3.5007610190930114,8.39140085985683,3.6,0.399913785000404,272,,22.74981828499109,99.99990856879948,78.30152623600621,1.0321812673600117,0.9843883262606176,3.1100106363321816,5.999999999999999,10.71397965283126,8.377506579272197,3.6,0.5004553545855324,272
Amiodarone,true,true,less,0.0970419355692369,0.1047498023463035,0.1999999999959051,0.9110588014627242,1.1152602896585342,5.999999999999999,1.3113630956263926,6.542083426740809,7.71986844219839,2.8,0.6137521647739089,255,,15.667485254571346,99.9999999999985,24.325589116831694,1.2443278223478274,0.2210988305220622,0.7818244422900247,5.999999999997643,25.69360733766085,10.041963023077509,2.8,0.8144497232471332,255
Chlorpromazine,true,true,less,0.1808928584072668,0.0345792452533444,0.1205074918064096,0.6903129991052952,0.0918551551207628,5.999999999999999,5.999999999936585,1.5515698670389793,1.698640319862689,2.5,0.6633561438874573,272,,18.40947329526532,99.99999642722564,50.57451350493287,2.0,1.3776938292266037,2.7833477606679007,5.347210310495367,12.247595437573766,8.897609043570313,2.5,0.7797639912606656,272
Gemcitibine,true,true,less,0.0839731562081547,0.0623590089480733,0.1999999999999999,0.3062763869107717,0.9612398136086416,5.999999999999999,0.8414204120152863,6.948648400564641,49.35623195014368,20.0,0.2397401146476945,264,,22.351188970844483,99.99999988110474,45.616049426925045,0.4515376542931269,0.1156366351116425,0.8956312411875427,2.3494573371893046,14.320235473466123,6.851599893274259,20.0,0.3605434048429606,264
Nifedipine,true,true,less,0.0830011283380757,0.1814006800724906,0.1999999999995707,0.1937130578560766,0.1803970378044694,5.999999999999977,1.883174671521352,5.967552723798783,7.800486584979657,0.39,0.5740629552980474,272,,17.755474804794364,99.99999999781356,58.12754043672008,1.99999999999986,0.6256926787791801,0.7962218923794326,1.391633723249294,12.05705110334533,8.145579253755153,0.39,0.5282335379586263,272
Vincristine,false,true,less,0.0737499916682057,0.154898573420493,0.1999999999132034,1.999999999999998,1.9013712755792849,4.705608357721305,5.999999999999999,57.46661222138066,95.99999999999996,0.063,0.0194125808885972,263,,20.540660093084536,99.99999999998586,92.26168813165783,1.9999999946306408,1.80078211199107,5.999999999999999,3.191608872239212,13.560483782294906,10.47599451446406,0.063,0.1603267076753631,263
Vorinostat,false,true,less,0.0773054118528416,0.0755189311136753,0.1999999999996794,0.0598596005812622,1.2533126621114588,4.051140609066439,0.3468245188948501,5.603220762216864,8.044288644421854,1.5,0.6867249327616847,296,,13.96860231153176,99.99999993043836,27.63871509149812,1.069616347253784,0.6912246359105028,0.8596454463427537,5.521581398257182,44.51708487890343,14.415846704636913,1.5,0.5713067079092775,296
Dactinomycin,false,false,no,0.0779083070127201,0.0955422459441669,0.0853466690755289,1.9999916802637043,0.9912422881385272,1.368824183294148,5.999999999999999,5.079646300959602,15.425752567891148,0.034,0.3809951376549226,272,,14.157658159727765,99.99999998152882,32.20657007889588,0.4924666755396991,1.9999999985874937,0.6699462388896322,1.1495114481214108,43.099957311571686,95.99999999951646,0.034,0.9176060956262044,272
Erlotinib,false,false,no,0.0798677088101791,0.1999999999999997,0.1852811178776142,1.8962946821423596,2.0,5.999999999999999,1.9000394579742168,46.23797072937614,31.9092600389774,0.65,0.4167560613616452,296,,8.481862933598652,100.0,38.68825144669555,2.0,1.5704504596283826,0.913079870088116,5.999999999999999,22.78230014624964,11.584145098428342,0.65,0.8116845358168074,296
Etomoxir,false,false,no,0.0931170865404799,0.1646078473184309,0.1999999770919399,1.745857116401108,1.90212628432078,3.0558613759015167,5.999999999999999,6.718686083296892,7.186128440020563,0.1,0.3641272869303896,272,,25.0,100.0,77.12518279850863,1.191483631940497,1.4943239572733062,0.919936377274891,3.115822460821524,12.028749688509508,7.220798874811641,0.1,0.3804869919333283,272
Plicamycin,false,false,no,0.0724821719000705,0.19634541001455,0.1999996416567502,1.24979600686377,1.0836285445766185,5.999999999999999,3.0547740424450684,7.809908106718058,9.616381098475973,0.15,0.2101564844452839,272,,18.34265442082792,99.99999992078156,36.66509403808599,1.9999999995286224,0.7103678768008159,0.5115249898220533,1.6093610577354092,33.52049115933879,10.066685943567975,0.15,0.6883046527964535,272
