Drug,R0,E_benefit,E_tox,EC50_b_norm,TC50_norm,nb,nt,tau_b,tau_t,Cmax_used,R2,N_points
Amiodarone,0.09704193556923695,0.10474980234630356,0.19999999999590512,0.9110588014627242,1.1152602896585342,5.999999999999999,1.3113630956263926,6.542083426740809,7.71986844219839,2.8,0.6137521647739089,255
Bortezomib,0.11638124157038451,0.14012856965260395,0.10547331649567024,1.9999999999551492,0.05823987411712649,0.21672425241499937,5.999999999999999,5.187943971357803,23.61980524283055,0.29,0.38847191148771476,296
Chlorpromazine,0.18089285840726682,0.034579245253344465,0.12050749180640968,0.6903129991052952,0.0918551551207628,5.999999999999999,5.999999999936585,1.5515698670389793,1.698640319862689,2.5,0.6633561438874573,272
Cobimetinib,0.05504031614547885,0.19999644181050702,0.18596356761001143,0.3839132758158751,0.4927754409372274,5.999999999999999,5.999999999999999,3.2128948517310856,4.774810416934729,0.53,0.5310851476684064,296
Dactinomycin,0.07790830701272014,0.09554224594416696,0.08534666907552892,1.9999916802637043,0.9912422881385273,1.3688241832941481,5.999999999999999,5.079646300959602,15.425752567891148,0.034,0.38099513765492266,272
Daunorubicin,0.09522350255075418,0.19999999999999998,0.1747103505865474,1.9999999999999998,1.5921030816091295,2.1985860340100376,5.317300645719911,17.399372349004402,95.99999999999999,0.24,0.8398598816283753,259
Doxorubicin,0.10508864550767139,0.19999999999999987,0.13622348610027218,1.9999999999999998,1.2575112264262283,0.8862058850919289,5.999999999999999,0.8545962090010223,0.10000000000000002,0.13,0.3583502628799372,259
Epirubicin,0.08176534901377823,0.19999999999999998,0.09365409072890626,1.9999999999999998,0.010000000000000002,0.5087265343934056,5.999999999999999,9.370386481697937,25.97343694051996,0.45,0.5100624901932023,296
Erlotinib,0.07986770881017913,0.1999999999999997,0.18528111787761428,1.8962946821423594,1.9999999999999998,5.999999999999999,1.9000394579742166,46.23797072937614,31.909260038977397,0.65,0.4167560613616452,296
Etomoxir,0.09311708654047997,0.16460784731843092,0.1999999770919399,1.745857116401108,1.9021262843207796,3.0558613759015167,5.999999999999999,6.718686083296892,7.186128440020563,0.1,0.36412728693038965,272
Gemcitibine,0.0839731562081547,0.06235900894807339,0.19999999999999998,0.3062763869107717,0.9612398136086416,5.999999999999999,0.8414204120152863,6.948648400564641,49.35623195014368,20.0,0.2397401146476945,264
Ibrutinib,0.10898637213280675,0.19888489539185614,0.19999999984011638,1.3511771069475904,1.724925995321602,5.999999999999999,2.122937580866721,0.5091939986625151,1.136400806293218,0.53,0.6286560659823037,296
Ibuprofen,0.004686226806026203,0.1949454457175315,0.1999999853824055,0.37192687633764593,0.35817336327163124,5.152592324170389,5.999999999999999,88.68840249634235,95.99999999999999,150.0,0.13453613305852552,648
Isoproterenol,0.08856095478304264,0.19305981920929358,0.19999708679040656,1.9999999999999998,1.51037439489584,2.62659483733221,1.4931625178738617,12.319765690163324,15.106179373377184,0.013,0.028047492885366232,238
Mexiletine,0.07409712213987377,0.19999999999999998,0.15205328927164063,1.0223282420929765,1.4750371342854929,1.6982413909239453,5.999999999999999,3.5007610190930114,8.39140085985683,3.6,0.399913785000404,272
Nifedipine,0.08300112833807574,0.1814006800724906,0.1999999999995707,0.19371305785607662,0.18039703780446942,5.999999999999977,1.8831746715213522,5.967552723798783,7.800486584979657,0.39,0.5740629552980474,272
Panobinostat,0.12485041666691088,0.19999999999999998,0.19608129620674988,0.2358768640745177,0.13983702135436935,5.999999999999999,2.561973227675636,16.0478138723025,20.39703527254495,0.063,0.7686090945963584,259
Plicamycin,0.07248217190007057,0.19634541001455005,0.19999964165675024,1.24979600686377,1.0836285445766185,5.999999999999999,3.0547740424450684,7.809908106718058,9.616381098475973,0.15,0.2101564844452839,272
Rosiglitazone,0.003940892167853851,0.1984916263294445,0.19999999558279033,0.7419945905359409,0.7582193280234651,5.999999999999999,5.395661929624499,8.590645502378084,8.894558872152349,0.85,0.4282187001115484,612
Sotalol,0.09006223822596857,0.1917408736431258,0.19999947853311098,1.414961920519576,1.7797984277089376,5.999999999999999,5.999999999999999,4.874064438642145,6.668853945049978,3.2,0.5778226358593435,272
Sunitinib,0.09443394640639044,0.1324965888028684,0.1999999999994633,0.7234327471940353,0.9712061337418374,5.999999999999999,1.6322083124195481,1.1547321763011296,1.7333551833024023,0.15,0.7078499283149635,296
Vandetanib,0.14296352227390308,0.14661598635695858,0.1999999999998497,0.5391658034160322,0.536092821782525,5.999999999999999,1.2580196633207956,5.056141716756528,8.328040310951321,1.2,0.6359183393496893,296
Vincristine,0.07374999166820576,0.154898573420493,0.19999999991320347,1.999999999999998,1.9013712755792849,4.705608357721305,5.999999999999999,57.46661222138066,95.99999999999997,0.063,0.01941258088859721,263
Vioxx,0.0046892612696777455,0.00363993920562962,0.009399603843522559,0.0174921208084927,0.9220211227464732,5.999999999999999,0.10000000000000002,4.482236507640865,10.367987353368044,0.66,0.16662099299730704,588
Vorinostat,0.07730541185284162,0.07551893111367534,0.19999999999967946,0.05985960058126229,1.2533126621114588,4.051140609066439,0.34682451889485016,5.603220762216864,8.044288644421854,1.5,0.6867249327616847,296
