# Equation: Modified Hill (Simple) (Eq10)
# R(C,t) = R_0 + E_{max}(1-e^{-\kappa C^n (t/\tau)^m})
# Parameters: ['R0', 'Emax', 'kappa', 'tau', 'n', 'm']
#
Drug,Contractility,,,,,,,,,,,,,O2,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,kappa,tau,n,m,Cmax_used,R2,N_points,,R0,Emax,kappa,tau,n,m,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.094415513406194,0.0387786044189564,1.2317138864862332e-05,74.11661390472429,5.999999843408252,0.5000000000000001,0.29,0.118469135748527,296,,13.044256384674172,16.108830291143576,37.43411480316875,49.674542296908,0.7078918328034227,5.826829560917007,0.29,0.2964899514286483,296
Doxorubicin,true,true,most,0.1029677734436498,0.0896158551974352,1.0000000000000002e-06,96.0,4.091659103319605,0.5000000000000001,0.13,0.4006862760329478,259,,11.822564229942689,97.3955177790309,0.1222185118218211,88.78097941917689,0.5166679808855228,0.9329257948670384,0.13,0.7960065711971114,259
Epirubicin,true,true,most,0.0786952402984182,0.0788018863088182,3.3423006977547034e-05,95.98954679881288,5.999999998419399,0.5000000000000001,0.45,0.4975071645630909,296,,15.85733596834436,74.61391177793048,0.3865834391781836,92.20277380069568,0.5000000000000419,1.0159870344447062,0.45,0.7480709954561741,296
Ibrutinib,true,true,most,0.0993016594497475,0.0359405375842117,0.196900722827548,93.86587037806044,5.999985674237153,0.5000000121864545,0.53,0.2036194745738432,296,,17.741403950303965,15.326221528835193,13.150363844315294,45.22369683316072,0.5000000000000001,5.999999999999999,0.53,0.2997971206641335,296
Isoproterenol,true,true,most,0.0888017661376665,0.0032442493050807,8.017160649364795,10.47733751299559,3.5891383389326106,1.207333257625974,0.013,0.0002414760354856,238,,13.635940455532571,9.0929703713085,0.8279782427751081,36.66577172522658,0.5000000000006533,5.999999999891056,0.013,0.1093913685206511,238
Panobinostat,true,true,most,0.0767870142766282,0.0616384869398711,162.07464522194397,21.504970696454688,5.189160119619234,0.5000000000000001,0.063,0.6158138461496758,259,,15.877050544986613,15.054334060617991,6.519512788570262,69.97383710341717,0.5000000000000001,5.999999999999999,0.063,0.2684032580060186,259
Sotalol,true,true,most,0.0909639638628239,0.0106221629977538,0.5334444715594185,59.99007031369221,5.998335778093251,0.5000001368238944,3.2,0.0360869119411648,272,,24.587403839389168,25.126997314450676,0.1324122588573205,24.036369129727813,0.9454127386940308,0.7046133763477611,3.2,0.4298003080733231,272
Sunitinib,true,true,most,0.0670228933389462,2.053539411368825e-15,1.0880560174882489e-06,95.99988296549672,0.5000001773468398,5.999961817719838,0.15,-2.220446049250313e-16,296,,17.41521161844209,65.85309909983928,0.1339197506136935,62.71467031745095,0.6117679714237368,1.4700045934063333,0.15,0.5251906517086753,296
Vandetanib,true,true,most,0.1128287352554443,0.014574823390401,25.37079567483744,92.12361091982268,5.999999652935581,0.5000000000082508,1.2,0.0317014059060662,296,,12.269661782713143,39.53726144641528,2.277944557485838,86.29375051635118,0.5000000000000446,1.2973745531803589,1.2,0.4574037016529344,296
Cobimetinib,false,true,most,0.0674450397990376,0.0179756764259118,0.0429794155059454,94.736054479505,5.999999999999999,0.5000000000000001,0.53,0.0657613610357195,296,,15.074433904726606,76.3695395503572,0.2195734220873511,37.94995731335234,0.5000000000003756,0.7675192502525925,0.53,0.640004800960966,296
