Drug,R0,Emax,kappa,tau,n,m,Cmax_used,R2,N_points
Amiodarone,0.06968432912052391,3.155927103028143e-10,1.0550196663645071e-06,95.99999601510915,0.5000000003688025,5.999987907400582,2.8,-1.7763568394002505e-15,255
Bortezomib,0.094415513406194,0.03877860441895648,1.2317138864862333e-05,74.11661390472429,5.999999843408252,0.5000000000000001,0.29,0.11846913574852702,296
Chlorpromazine,0.09660778227722801,1.3080957490610151e-12,1.0088749630690837e-06,95.9966197880036,0.5000193245036869,5.982177580575126,2.5,0.0,272
Cobimetinib,0.0674450397990376,0.017975676425911826,0.0429794155059454,94.73605447950501,5.999999999999999,0.5000000000000001,0.53,0.0657613610357195,296
Dactinomycin,0.06765523592034192,0.028868147605242478,1.8898067907824517e-06,82.42457296893016,5.996344811981143,0.5000000000015042,0.034,0.22340046752688014,272
Daunorubicin,0.11005411150641263,0.0894706537931821,0.04079426422923213,59.022409245406735,2.221406389113355,0.5000000000000001,0.24,0.7708889217008406,259
Doxorubicin,0.10296777344364987,0.08961585519743526,1.0000000000000002e-06,95.99999999999999,4.091659103319605,0.5000000000000001,0.13,0.4006862760329478,259
Epirubicin,0.0786952402984182,0.07880188630881829,3.3423006977547034e-05,95.98954679881287,5.999999998419399,0.5000000000000001,0.45,0.49750716456309096,296
Erlotinib,0.06870409689497728,0.01052388977979092,0.0802583427231174,95.42847690185145,5.999999856834315,0.5000000000001943,0.65,0.06801719562839859,296
Etomoxir,0.06206254991295595,0.030860085269805135,1.000000000971472e-06,95.99999868255243,2.67033261475296,0.5000000352097896,0.1,0.030659398153431106,272
Gemcitibine,0.07471602375405592,0.01464969279462344,48.47100804856826,0.5962391150400289,5.999999961855449,0.5000000000000017,20.0,0.05737125518438557,264
Ibrutinib,0.09930165944974756,0.035940537584211764,0.19690072282754803,93.86587037806045,5.999985674237153,0.5000000121864545,0.53,0.20361947457384322,296
Ibuprofen,0.004628846833712417,0.003245961631466149,0.30244324212663165,53.22602337077175,5.9999999999768,3.1854618764179357,150.0,0.07838934707042522,648
Isoproterenol,0.08880176613766654,0.003244249305080765,8.017160649364795,10.47733751299559,3.5891383389326106,1.207333257625974,0.013,0.00024147603548563268,238
Mexiletine,0.07127140017825907,0.054723201085005946,78.40565267543604,0.5363654726019916,5.999999999999999,0.5000000000006587,3.6,0.28949150072808916,272
Nifedipine,0.047456713829403294,0.028621365334276665,110.45135954944725,0.013658928542193725,5.99999956710836,0.5000001458946044,0.39,0.14178742217249118,272
Panobinostat,0.07678701427662828,0.061638486939871104,162.07464522194397,21.504970696454688,5.189160119619234,0.5000000000000001,0.063,0.6158138461496758,259
Plicamycin,0.05330848417870028,0.025199081930347964,2.1983056310006933e-05,92.9625377140165,5.930700128767233,0.5000000247765111,0.15,0.1072872661025045,272
Rosiglitazone,0.003729257489296674,2.3528201607826593e-12,1.0000052553509171e-06,95.99999989741016,0.5000000004879122,5.999999917469221,0.85,-6.661338147750939e-16,612
Sotalol,0.0909639638628239,0.010622162997753868,0.5334444715594185,59.99007031369221,5.998335778093251,0.5000001368238944,3.2,0.03608691194116487,272
Sunitinib,0.06702289333894625,2.053539411368825e-15,1.0880560174882489e-06,95.99988296549672,0.5000001773468398,5.999961817719838,0.15,-2.220446049250313e-16,296
Vandetanib,0.1128287352554443,0.014574823390401096,25.370795674837442,92.12361091982268,5.999999652935581,0.5000000000082508,1.2,0.03170140590606629,296
Vincristine,0.07023750743540194,0.02230027657549518,1.0000000000000002e-06,95.8783034807082,3.6484775735194765,0.5000000000000007,0.063,0.11571357688483086,263
Vioxx,0.0038925459334612092,2.2305939924227326e-10,1.0000000224042158e-06,95.95675903194598,0.500107442217102,5.957970648266559,0.66,-1.84297022087776e-14,588
Vorinostat,0.06144004025971605,9.221172791688386e-18,1.0009392376769322e-06,95.99992254159699,0.501307227205372,5.9898127467909354,1.5,-2.220446049250313e-16,296
