Drug,R0,Emax,kappa,tau,n,m,Cmax_used,R2,N_points
Amiodarone,20.017558796192326,43.514912344355686,0.059700064936921725,24.303434933733357,1.7409534990804396,1.367866535516968,2.8,0.7402366446149196,255
Bortezomib,13.044256384674172,16.108830291143576,37.43411480316875,49.674542296907994,0.7078918328034227,5.826829560917007,0.29,0.2964899514286483,296
Chlorpromazine,19.19996761604186,43.26497537697193,0.014131868601731285,95.80846086808673,3.7324330856727634,0.8725796477109553,2.5,0.7781510216499253,272
Cobimetinib,15.074433904726606,76.3695395503572,0.21957342208735112,37.94995731335234,0.5000000000003756,0.7675192502525925,0.53,0.640004800960966,296
Dactinomycin,22.40084833543883,49.228355149487314,0.7709355290585538,51.45530911168527,0.5000000000000001,1.7718239604791142,0.034,0.9242432125690634,272
Daunorubicin,9.832274943604487,70.6751592265949,0.1456805155554802,95.3326275279091,0.8229136764472968,1.1855167913205817,0.24,0.8366432957255832,259
Doxorubicin,11.822564229942689,97.3955177790309,0.12221851182182118,88.78097941917689,0.5166679808855228,0.9329257948670385,0.13,0.7960065711971114,259
Epirubicin,15.85733596834436,74.61391177793048,0.3865834391781836,92.20277380069568,0.5000000000000419,1.0159870344447062,0.45,0.7480709954561741,296
Erlotinib,14.198090162804608,68.2822338391014,0.2514575085974947,89.35539971807013,0.5000000000000004,0.9791638555331451,0.65,0.6799062354207451,296
Etomoxir,22.915368027999683,23.817914227089567,0.3622147524666296,93.5947584365399,0.5000000000000001,1.03533280170774,0.1,0.25048321325719447,272
Gemcitibine,23.460629154922774,20.068241393400314,1.3949589358298136,26.832321249771383,5.9999999999999885,2.9317198047587563,20.0,0.2609714262483699,264
Ibrutinib,17.741403950303965,15.326221528835191,13.150363844315294,45.223696833160716,0.5000000000000001,5.999999999999999,0.53,0.29979712066413355,296
Ibuprofen,24.999999999999996,19.194792948925706,8.533818527163987,64.6715395622471,0.966438612656135,0.5000000000000001,150.0,-0.08735203597326446,648
Isoproterenol,13.635940455532571,9.0929703713085,0.8279782427751081,36.665771725226584,0.5000000000006533,5.999999999891056,0.013,0.10939136852065112,238
Mexiletine,17.7219616449584,24.27733934398134,1.341831072955807,83.40112563655205,0.5057332442903774,0.8157987098793579,3.6,0.320290565565597,272
Nifedipine,19.416758094633828,51.92630323349412,0.000264972528034515,77.67261403853796,2.838083581062178,0.5000000000000001,0.39,0.6159370078274208,272
Panobinostat,15.877050544986611,15.054334060617993,6.519512788570262,69.97383710341717,0.5000000000000001,5.999999999999999,0.063,0.2684032580060186,259
Plicamycin,17.73898500456862,64.48841731600272,0.15720782926627003,85.90288147094249,0.5358165773477821,1.5327339421053165,0.15,0.7459945510127688,272
Rosiglitazone,24.999999999999996,19.79798109588347,2.5541168331909616,73.87795675724439,0.5000000000000001,0.5000000000000001,0.85,-0.010481281891504324,612
Sotalol,24.587403839389168,25.126997314450673,0.13241225885732053,24.036369129727813,0.9454127386940308,0.7046133763477611,3.2,0.42980030807332315,272
Sunitinib,17.41521161844209,65.85309909983928,0.13391975061369352,62.71467031745095,0.6117679714237368,1.4700045934063333,0.15,0.5251906517086753,296
Vandetanib,12.269661782713143,39.53726144641528,2.277944557485838,86.29375051635118,0.5000000000000446,1.2973745531803587,1.2,0.4574037016529344,296
Vincristine,18.35420540165196,99.99999999969539,1.0000000000000002e-06,95.99999999999999,2.4417846401773646,0.5000000000000001,0.063,0.5414430975013013,263
Vioxx,24.99999999999053,7.26208976583196,999.9999980268713,0.010000000000048626,3.763198427165058,0.6799438854049542,0.66,0.10676474523890578,588
Vorinostat,15.990825107227003,51.81042689502641,0.14538396291201042,35.94120782379182,0.5000000000000001,1.6896178707220588,1.5,0.5155158870703955,296
